Date,Term,0
2005-05-11,30,2.07
2005-05-11,61,2.08
2005-05-11,91,2.0735
2005-05-11,122,2.08
2005-05-11,152,2.073
2005-05-11,182,2.073
2005-05-11,213,2.074
2005-05-11,243,2.079
2005-05-11,273,2.0815
2005-05-11,304,2.0855
2005-05-11,335,2.092
2005-05-11,365,2.1012
2005-05-11,547,2.1625
2005-05-11,730,2.2565
2005-05-11,1095,2.436
2005-05-11,2190,2.888
2005-05-11,2555,3.025
2005-05-11,2920,3.145
2005-05-11,3285,3.25
2005-05-12,30,2.0695
2005-05-12,61,2.0725
2005-05-12,91,2.073
2005-05-12,122,2.0755
2005-05-12,152,2.0765
2005-05-12,182,2.08
2005-05-12,213,2.0825
2005-05-12,243,2.0885
2005-05-12,273,2.0925
2005-05-12,304,2.096
2005-05-12,335,2.1085
2005-05-12,365,2.1185
2005-05-12,547,2.19
2005-05-12,730,2.2875
2005-05-12,1095,2.471
2005-05-12,2190,2.9210000000000003
2005-05-12,2555,3.052
2005-05-12,2920,3.1660000000000004
2005-05-12,3285,3.2689999999999997
2005-05-23,30,2.0715
2005-05-23,61,2.0725
2005-05-23,91,2.0755
2005-05-23,122,2.0755
2005-05-23,152,2.0775
2005-05-23,182,2.083
2005-05-23,213,2.0865
2005-05-23,243,2.0955
2005-05-23,273,2.1033
2005-05-23,304,2.1118
2005-05-23,335,2.1218
2005-05-23,365,2.1343
2005-05-23,547,2.2175
2005-05-23,730,2.3183
2005-05-23,1095,2.487
2005-05-23,2190,2.904
2005-05-23,2555,3.0260000000000002
2005-05-23,2920,3.1319999999999997
2005-05-23,3285,3.2289999999999996
2005-05-24,30,2.0695
2005-05-24,61,2.0705
2005-05-24,91,2.0725
2005-05-24,122,2.076
2005-05-24,152,2.0788
2005-05-24,182,2.0785
2005-05-24,213,2.0825
2005-05-24,243,2.0865
2005-05-24,273,2.0925
2005-05-24,304,2.0985
2005-05-24,335,2.1055
2005-05-24,365,2.1165
2005-05-24,547,2.1845
2005-05-24,730,2.2725
2005-05-24,1095,2.44
2005-05-24,2190,2.865
2005-05-24,2555,2.991
2005-05-24,2920,3.1010000000000004
2005-05-24,3285,3.201
2005-05-25,30,2.076
2005-05-25,61,2.076
2005-05-25,91,2.076
2005-05-25,122,2.075
2005-05-25,152,2.07
2005-05-25,182,2.077
2005-05-25,213,2.075
2005-05-25,243,2.08
2005-05-25,273,2.08
2005-05-25,304,2.085
2005-05-25,335,2.09
2005-05-25,365,2.1
2005-05-25,547,2.155
2005-05-25,730,2.24
2005-05-25,1095,2.423
2005-05-25,2190,2.86
2005-05-25,2555,2.9930000000000003
2005-05-25,2920,3.109
2005-05-25,3285,3.214
2005-05-26,30,2.076
2005-05-26,61,2.076
2005-05-26,91,2.0765
2005-05-26,122,2.0755
2005-05-26,152,2.0745
2005-05-26,182,2.07
2005-05-26,213,2.076
2005-05-26,243,2.0803
2005-05-26,273,2.083
2005-05-26,304,2.0865
2005-05-26,335,2.0935
2005-05-26,365,2.1025
2005-05-26,547,2.162
2005-05-26,730,2.248
2005-05-26,1095,2.417
2005-05-26,2190,2.8680000000000003
2005-05-26,2555,3.0010000000000003
2005-05-26,2920,3.117
2005-05-26,3285,3.222
2005-05-27,30,2.075
2005-05-27,61,2.077
2005-05-27,91,2.077
2005-05-27,122,2.0755
2005-05-27,152,2.0745
2005-05-27,182,2.0683
2005-05-27,213,2.0683
2005-05-27,243,2.0708
2005-05-27,273,2.0765
2005-05-27,304,2.081
2005-05-27,335,2.089
2005-05-27,365,2.0925
2005-05-27,547,2.151
2005-05-27,730,2.235
2005-05-27,1095,2.41
2005-05-27,2190,2.864
2005-05-27,2555,3.0010000000000003
2005-05-27,2920,3.12
2005-05-27,3285,3.227
2005-05-30,30,2.075
2005-05-30,61,2.0735
2005-05-30,91,2.0755
2005-05-30,122,2.075
2005-05-30,152,2.0748
2005-05-30,182,2.0739
2005-05-30,213,2.0763
2005-05-30,243,2.08
2005-05-30,273,2.0793
2005-05-30,304,2.0825
2005-05-30,335,2.09
2005-05-30,365,2.099
2005-05-30,547,2.1590000000000003
2005-05-30,730,2.2451
2005-05-30,1095,2.421
2005-05-30,2190,2.877
2005-05-30,2555,3.013
2005-05-30,2920,3.1319999999999997
2005-05-30,3285,3.24
2005-05-31,30,2.073
2005-05-31,61,2.0745
2005-05-31,91,2.0755
2005-05-31,122,2.0715
2005-05-31,152,2.066
2005-05-31,182,2.0638
2005-05-31,213,2.0615
2005-05-31,243,2.0593
2005-05-31,273,2.0566
2005-05-31,304,2.0580000000000003
2005-05-31,335,2.06
2005-05-31,365,2.0647
2005-05-31,547,2.1115
2005-05-31,730,2.195
2005-05-31,1095,2.365
2005-05-31,2190,2.822
2005-05-31,2555,2.957
