Date,Term,Value
2013-01-02,AED,0.20563987933052
2013-01-02,AUD,0.7929333777375999
2013-01-02,BRL,0.37022502276884006
2013-01-02,CAD,0.7677130595668601
2013-01-02,CHF,0.82661023674117
2013-01-02,CNH,0.12171710926952999
2013-01-02,CNY,0.12123254705944
2013-01-02,CZK,0.03969599221323
2013-01-02,DKK,0.1340448433619
2013-01-02,GBP,1.2304057878288301
2013-01-02,HKD,0.09744812592636999
2013-01-02,HUF,0.0034366109380100005
2013-01-02,IDR,7.827103816e-05
2013-01-02,ILS,0.20364400584051
2013-01-02,INR,0.01392543348134
2013-01-02,JPY,0.00866585069017
2013-01-02,KRW,0.00071021676071
2013-01-02,MXN,0.05930533291344999
2013-01-02,MYR,0.24882740087338
2013-01-02,NOK,0.13673212945250998
2013-01-02,NZD,0.63004826169685
2013-01-02,PHP,0.0184945030638
2013-01-02,PLN,0.24568274005045998
2013-01-02,RON,0.22678411059807999
2013-01-02,RUB,0.025047772363840003
2013-01-02,SAR,0.20140419001277
2013-01-02,SEK,0.11685410064410001
2013-01-02,SGD,0.61898424685092
2013-01-02,THB,0.024911464654620002
2013-01-02,TRY,0.42505079356983
2013-01-02,TWD,0.02605884242974
2013-01-02,USD,0.75531553306394
2013-01-02,ZAR,0.08888944197875001
2013-01-03,AED,0.20788248818708
2013-01-03,AUD,0.8033806256728299
2013-01-03,BRL,0.37514161596002005
2013-01-03,CAD,0.7751517359523101
2013-01-03,CHF,0.82708197209425
2013-01-03,CNH,0.12304613201285002
2013-01-03,CNY,0.12255637899824999
2013-01-03,CZK,0.03959463017626
2013-01-03,DKK,0.13405364827004
2013-01-03,GBP,1.23383673872273
2013-01-03,HKD,0.09851469395917999
2013-01-03,HUF,0.00345011763004
2013-01-03,IDR,7.908469744e-05
2013-01-03,ILS,0.2033834877014
2013-01-03,INR,0.014016756752359999
2013-01-03,JPY,0.00879022351341
2013-01-03,KRW,0.00071805260285
2013-01-03,MXN,0.05989573350711
2013-01-03,MYR,0.25187647977432004
2013-01-03,NOK,0.13706760311253
2013-01-03,NZD,0.6358572627616601
2013-01-03,PHP,0.01873313783431
2013-01-03,PLN,0.24466866968751003
2013-01-03,RON,0.22656625250356
2013-01-03,RUB,0.025248004839540004
2013-01-03,SAR,0.20360876169223
2013-01-03,SEK,0.11706777990321
2013-01-03,SGD,0.62479694099418
2013-01-03,THB,0.025142008348659997
2013-01-03,TRY,0.42873924936332003
2013-01-03,TWD,0.02633974477841
2013-01-03,USD,0.7635627839499101
2013-01-03,ZAR,0.08914658194175999
2013-01-04,AED,0.20871118754579
2013-01-04,AUD,0.80125636998814
2013-01-04,BRL,0.37648901405057
2013-01-04,CAD,0.7778469197261999
2013-01-04,CHF,0.82746522577389
2013-01-04,CNH,0.12335772853716999
2013-01-04,CNY,0.12304088156330999
2013-01-04,CZK,0.03942637774491001
2013-01-04,DKK,0.13405724244252
2013-01-04,GBP,1.2294527705718201
2013-01-04,HKD,0.09890864204369001
2013-01-04,HUF,0.0034323875766900003
2013-01-04,IDR,7.935886135e-05
2013-01-04,ILS,0.20308527144377
2013-01-04,INR,0.01395225343543
2013-01-04,JPY,0.008705997169680001
2013-01-04,KRW,0.00072127450879
2013-01-04,MXN,0.06006171942288
2013-01-04,MYR,0.25146604705433
2013-01-04,NOK,0.1367598046523
2013-01-04,NZD,0.63494079177117
2013-01-04,PHP,0.01876638070456
2013-01-04,PLN,0.24270843193363
2013-01-04,RON,0.22618447153129
2013-01-04,RUB,0.02522146972566
2013-01-04,SAR,0.20441495418039002
2013-01-04,SEK,0.11708381679192999
2013-01-04,SGD,0.62374082321314
2013-01-04,THB,0.025167647995210003
2013-01-04,TRY,0.42950714055621003
2013-01-04,TWD,0.02643015553882
2013-01-04,USD,0.7666066158150899
2013-01-04,ZAR,0.08908074902657
2013-01-07,AED,0.20783193878101996
2013-01-07,AUD,0.80007040619575
2013-01-07,BRL,0.37712083328619006
2013-01-07,CAD,0.77434741871288
2013-01-07,CHF,0.8272530236098
2013-01-07,CNH,0.12284967499213001
2013-01-07,CNY,0.12254211159665
2013-01-07,CZK,0.039113989900769995
2013-01-07,DKK,0.13405706272932
2013-01-07,GBP,1.22783753253769
2013-01-07,HKD,0.09849276521393
2013-01-07,HUF,0.00343365736186
2013-01-07,IDR,7.896434939e-05
2013-01-07,ILS,0.20192760087798
2013-01-07,INR,0.013825734087719999
2013-01-07,JPY,0.008700072567309999
2013-01-07,KRW,0.0007183475076500001
2013-01-07,MXN,0.05982922346454
2013-01-07,MYR,0.2508667446026
2013-01-07,NOK,0.13651802584013
2013-01-07,NZD,0.6373526918590899
2013-01-07,PHP,0.01867844055941
2013-01-07,PLN,0.24237606100120998
2013-01-07,RON,0.22707352186491
2013-01-07,RUB,0.02514080105632
2013-01-07,SAR,0.20355653986451
2013-01-07,SEK,0.11730439199374001
2013-01-07,SGD,0.62094445651836
2013-01-07,THB,0.02507020912064
2013-01-07,TRY,0.42862898732115
2013-01-07,TWD,0.02631011202846
2013-01-07,USD,0.7633879155693001
2013-01-07,ZAR,0.08912147613683
2013-01-08,AED,0.20832769112503
2013-01-08,AUD,0.802349278688
2013-01-08,BRL,0.37551210463269
2013-01-08,CAD,0.77515774460103
2013-01-08,CHF,0.82728724240343
2013-01-08,CNH,0.12326010769784
2013-01-08,CNY,0.12294119599654
2013-01-08,CZK,0.03903278324432
2013-01-08,DKK,0.13403837518682002
2013-01-08,GBP,1.2274607519424598
2013-01-08,HKD,0.09872067872441001
2013-01-08,HUF,0.00342034134459
2013-01-08,IDR,7.91312027e-05
2013-01-08,ILS,0.20258908855169003
2013-01-08,INR,0.01388619458141
2013-01-08,JPY,0.0087807537118
2013-01-08,KRW,0.00071961136784
2013-01-08,MXN,0.05977790118593
2013-01-08,MYR,0.25120578778135
2013-01-08,NOK,0.13650982597727002
2013-01-08,NZD,0.63867156314865
2013-01-08,PHP,0.01872274903877
2013-01-08,PLN,0.24253536772
2013-01-08,RON,0.22699775045228998
2013-01-08,RUB,0.025237179008320003
2013-01-08,SAR,0.20403957551607002
2013-01-08,SEK,0.11674223780861
2013-01-08,SGD,0.62218848577988
2013-01-08,THB,0.02514206523964
2013-01-08,TRY,0.43007977979915
2013-01-08,TWD,0.02634437311852
2013-01-08,USD,0.7651987603780099
2013-01-08,ZAR,0.08900606042265
2013-01-09,AED,0.20871118754579
2013-01-09,AUD,0.80582125272972
2013-01-09,BRL,0.37568562626794005
2013-01-09,CAD,0.77642765635312
2013-01-09,CHF,0.82737622451681
2013-01-09,CNH,0.12359638919328998
2013-01-09,CNY,0.123125870346
2013-01-09,CZK,0.03917855115367
2013-01-09,DKK,0.13403855484992
2013-01-09,GBP,1.2271896130671103
2013-01-09,HKD,0.09888888449383
2013-01-09,HUF,0.0034485227287300003
2013-01-09,IDR,7.935885977e-05
2013-01-09,ILS,0.2028541580031
2013-01-09,INR,0.01397514464624
2013-01-09,JPY,0.00872830057195
2013-01-09,KRW,0.0007228864363799999
2013-01-09,MXN,0.060117975515149996
2013-01-09,MYR,0.25214830354621
2013-01-09,NOK,0.13688185863663002
2013-01-09,NZD,0.6429545045392601
2013-01-09,PHP,0.01881243140517
2013-01-09,PLN,0.24483220424882002
2013-01-09,RON,0.2276079316812
2013-01-09,RUB,0.02522819533384
2013-01-09,SAR,0.20441202923909998
2013-01-09,SEK,0.11664120000467
2013-01-09,SGD,0.62457840957354
2013-01-09,THB,0.025225617926740003
2013-01-09,TRY,0.43140452370784
2013-01-09,TWD,0.02643015553882
2013-01-09,USD,0.7666066158150899
2013-01-09,ZAR,0.08918848291282
2013-01-10,AED,0.20608061461483
2013-01-10,AUD,0.80008961003632
2013-01-10,BRL,0.3718439742684
2013-01-10,CAD,0.7671888665551699
2013-01-10,CHF,0.8257297386565401
2013-01-10,CNH,0.12227525191209
2013-01-10,CNY,0.12162298577133
2013-01-10,CZK,0.03898261609218
2013-01-10,DKK,0.13402238709953998
2013-01-10,GBP,1.21924455607306
2013-01-10,HKD,0.09765272153252
2013-01-10,HUF,0.0034158936613199998
2013-01-10,IDR,7.835868642000001e-05
2013-01-10,ILS,0.20136850032823
2013-01-10,INR,0.01388762357207
2013-01-10,JPY,0.008584088876220001
2013-01-10,KRW,0.00071506367803
2013-01-10,MXN,0.05980821896507
2013-01-10,MYR,0.25028783100566
2013-01-10,NOK,0.13675849543774002
2013-01-10,NZD,0.63776323677598
2013-01-10,PHP,0.01859130347161
2013-01-10,PLN,0.24439241601455
2013-01-10,RON,0.2287293171515
2013-01-10,RUB,0.02502255783589
2013-01-10,SAR,0.2018358993404
2013-01-10,SEK,0.11658762026013
2013-01-10,SGD,0.61882336924572
2013-01-10,THB,0.025014702391330003
2013-01-10,TRY,0.4271697017074
2013-01-10,TWD,0.02615566860036
2013-01-10,USD,0.75694497010067
2013-01-10,ZAR,0.08759720004310001
2013-01-11,AED,0.20400377814996998
2013-01-11,AUD,0.79071385646962
2013-01-11,BRL,0.36778092026142
2013-01-11,CAD,0.76169583961732
2013-01-11,CHF,0.82130126973176
2013-01-11,CNH,0.12110161415433
2013-01-11,CNY,0.12054437841291
2013-01-11,CZK,0.03901773629239
2013-01-11,DKK,0.13400981487884
2013-01-11,GBP,1.2081964044075
2013-01-11,HKD,0.09666356054424999
2013-01-11,HUF,0.0033778850474
2013-01-11,IDR,7.777023709e-05
2013-01-11,ILS,0.20050205715111
2013-01-11,INR,0.01368364186297
2013-01-11,JPY,0.00841077837885
2013-01-11,KRW,0.000710050451
2013-01-11,MXN,0.05925838135730999
2013-01-11,MYR,0.24807678472640998
2013-01-11,NOK,0.13562521869566999
2013-01-11,NZD,0.6284525612584101
2013-01-11,PHP,0.01846061031885
2013-01-11,PLN,0.24287466452936998
2013-01-11,RON,0.22792905935956
2013-01-11,RUB,0.02467291121601
2013-01-11,SAR,0.19979381278520997
2013-01-11,SEK,0.11573966907714
2013-01-11,SGD,0.6118378384992801
2013-01-11,THB,0.02473807328011
2013-01-11,TRY,0.42256675498311996
2013-01-11,TWD,0.02589653815078
2013-01-11,USD,0.74931624892286
2013-01-11,ZAR,0.08563366773281
2013-01-14,AED,0.20369585764104
2013-01-14,AUD,0.78987069816671
2013-01-14,BRL,0.36825088196086
2013-01-14,CAD,0.75904785037649
2013-01-14,CHF,0.81578045716337
2013-01-14,CNH,0.12095949693622998
2013-01-14,CNY,0.12030408059411
2013-01-14,CZK,0.03911619308692
2013-01-14,DKK,0.13400586409661
2013-01-14,GBP,1.2020097603192499
2013-01-14,HKD,0.09651075033248
2013-01-14,HUF,0.0033740471733
2013-01-14,IDR,7.765386248999999e-05
2013-01-14,ILS,0.20088469620207
2013-01-14,INR,0.013742215550219998
2013-01-14,JPY,0.00838360632731
2013-01-14,KRW,0.00070821616517
2013-01-14,MXN,0.05912646559727
2013-01-14,MYR,0.24803432795098998
2013-01-14,NOK,0.13580830386293
2013-01-14,NZD,0.62833409780649
2013-01-14,PHP,0.018414839561630002
2013-01-14,PLN,0.24274319226717003
2013-01-14,RON,0.22802833023975
2013-01-14,RUB,0.024731673706129997
2013-01-14,SAR,0.19949487896646
2013-01-14,SEK,0.11584921529534
2013-01-14,SGD,0.61009834785367
2013-01-14,THB,0.024758272605419997
2013-01-14,TRY,0.4224471518613
2013-01-14,TWD,0.02585108225556
2013-01-14,USD,0.7481949796116899
2013-01-14,ZAR,0.08587996042651
2013-01-15,AED,0.20398838082183
2013-01-15,AUD,0.7904700925640501
2013-01-15,BRL,0.36766327926232
2013-01-15,CAD,0.76148123329501
2013-01-15,CHF,0.8076565844203
2013-01-15,CNH,0.12098499827459
2013-01-15,CNY,0.12058391555267
2013-01-15,CZK,0.03910236608417
2013-01-15,DKK,0.13401663950596002
2013-01-15,GBP,1.2052984921715901
2013-01-15,HKD,0.09664945339902001
2013-01-15,HUF,0.0033926967046500004
2013-01-15,IDR,7.764353125e-05
2013-01-15,ILS,0.20130566856632
2013-01-15,INR,0.01371768832809
2013-01-15,JPY,0.00844855472264
2013-01-15,KRW,0.0007084732881000001
2013-01-15,MXN,0.05920242493133
2013-01-15,MYR,0.24884102293568
2013-01-15,NOK,0.13465492655247002
2013-01-15,NZD,0.6283656836932799
2013-01-15,PHP,0.01844105583896
2013-01-15,PLN,0.24288764260541
2013-01-15,RON,0.23000032200045
2013-01-15,RUB,0.02474369246164
2013-01-15,SAR,0.19978662788142004
2013-01-15,SEK,0.11556685542586001
2013-01-15,SGD,0.61146746075908
2013-01-15,THB,0.025008684265610003
2013-01-15,TRY,0.42402886788533
2013-01-15,TWD,0.025859739359689996
2013-01-15,USD,0.74926010564567
2013-01-15,ZAR,0.0850658409609
2013-01-16,AED,0.20472463512952
2013-01-16,AUD,0.7935878104912301
2013-01-16,BRL,0.36856440478691
2013-01-16,CAD,0.7627590520430501
2013-01-16,CHF,0.80843357909714
2013-01-16,CNH,0.12141187907302
2013-01-16,CNY,0.12096271808066002
2013-01-16,CZK,0.03914850437054
2013-01-16,DKK,0.13399939968269
2013-01-16,GBP,1.20292069143881
2013-01-16,HKD,0.09699509204833999
2013-01-16,HUF,0.0033903580251999996
2013-01-16,IDR,7.788342448e-05
2013-01-16,ILS,0.20195084516429
2013-01-16,INR,0.013748321845459998
2013-01-16,JPY,0.00849629366182
2013-01-16,KRW,0.00071001335599
2013-01-16,MXN,0.05949792084516
2013-01-16,MYR,0.24907716908852998
2013-01-16,NOK,0.13500979496062
2013-01-16,NZD,0.6319115323854699
2013-01-16,PHP,0.01846806990755
2013-01-16,PLN,0.24249478636209
2013-01-16,RON,0.23118874943070003
2013-01-16,RUB,0.024792763488189998
2013-01-16,SAR,0.20051049973232002
2013-01-16,SEK,0.11562992872571001
2013-01-16,SGD,0.6144242230605699
2013-01-16,THB,0.02520832792405
2013-01-16,TRY,0.42553553647265
2013-01-16,TWD,0.02594188498925
2013-01-16,USD,0.75196450727526
2013-01-16,ZAR,0.08523063836896
2013-01-17,AED,0.20382331779520002
2013-01-17,AUD,0.78832024721723
2013-01-17,BRL,0.36629097422409995
2013-01-17,CAD,0.75969946289248
2013-01-17,CHF,0.80244585496594
2013-01-17,CNH,0.12092441820277
2013-01-17,CNY,0.12043810565312
2013-01-17,CZK,0.0392021269506
2013-01-17,DKK,0.13399132004229
2013-01-17,GBP,1.1956573724233601
2013-01-17,HKD,0.09656293875785
2013-01-17,HUF,0.00340912139748
2013-01-17,IDR,7.758361186e-05
2013-01-17,ILS,0.20122100908312002
2013-01-17,INR,0.01377321492592
2013-01-17,JPY,0.00837267864345
2013-01-17,KRW,0.00070760549887
2013-01-17,MXN,0.05947039236781
2013-01-17,MYR,0.24830593277364998
2013-01-17,NOK,0.13460200207018
2013-01-17,NZD,0.62897433155753
2013-01-17,PHP,0.01844175641501
2013-01-17,PLN,0.24254595639509
2013-01-17,RON,0.23099115996831
2013-01-17,RUB,0.024738311951599996
2013-01-17,SAR,0.19962749509415
2013-01-17,SEK,0.11520870056107001
2013-01-17,SGD,0.6120363059936701
2013-01-17,THB,0.02514334219385
2013-01-17,TRY,0.42694173099254995
2013-01-17,TWD,0.025846919551200002
2013-01-17,USD,0.74864308440951
2013-01-17,ZAR,0.08490715826778998
2013-01-18,AED,0.20488150678055
2013-01-18,AUD,0.78959004484871
2013-01-18,BRL,0.36830106402177
2013-01-18,CAD,0.75715129397156
2013-01-18,CHF,0.8045440648784301
2013-01-18,CNH,0.1215915934685
2013-01-18,CNY,0.12107519617209
2013-01-18,CZK,0.039038741266059995
2013-01-18,DKK,0.13397857414642
2013-01-18,GBP,1.19347408371027
2013-01-18,HKD,0.09706749394056
2013-01-18,HUF,0.0034093572263800003
2013-01-18,IDR,7.814437736e-05
2013-01-18,ILS,0.20182653009738002
2013-01-18,INR,0.01397326802042
2013-01-18,JPY,0.008366561830859999
2013-01-18,KRW,0.00071091014534
2013-01-18,MXN,0.05939561399028
2013-01-18,MYR,0.24976085398231
2013-01-18,NOK,0.13385465258694002
2013-01-18,NZD,0.6282511999597901
2013-01-18,PHP,0.018558085043169997
2013-01-18,PLN,0.24034417285553
2013-01-18,RON,0.23023013804599
2013-01-18,RUB,0.024845418020430002
2013-01-18,SAR,0.20066419849703
2013-01-18,SEK,0.11505970448066
2013-01-18,SGD,0.61288404846687
2013-01-18,THB,0.025312155833779996
2013-01-18,TRY,0.42678684984358006
2013-01-18,TWD,0.02598292090643
2013-01-18,USD,0.7525303834142301
2013-01-18,ZAR,0.08458533730095
2013-01-21,AED,0.20449395924844
2013-01-21,AUD,0.7890853711463
2013-01-21,BRL,0.36769842845692
2013-01-21,CAD,0.75576649838266
2013-01-21,CHF,0.80596413459601
2013-01-21,CNH,0.12126529751496
2013-01-21,CNY,0.12073313991884
2013-01-21,CZK,0.03906271362422
2013-01-21,DKK,0.13399652681003
2013-01-21,GBP,1.18962645729241
2013-01-21,HKD,0.09688026180921999
2013-01-21,HUF,0.0034122305877600004
2013-01-21,IDR,7.80990092e-05
2013-01-21,ILS,0.20104301114179998
2013-01-21,INR,0.01396777773355
2013-01-21,JPY,0.0083648010177
2013-01-21,KRW,0.0007059372648899999
2013-01-21,MXN,0.05907634140218
2013-01-21,MYR,0.24752597785138
2013-01-21,NOK,0.13399886100968
2013-01-21,NZD,0.6272581292653601
2013-01-21,PHP,0.018464042753860002
2013-01-21,PLN,0.24002342628641002
2013-01-21,RON,0.22978046774112001
2013-01-21,RUB,0.02481596480501
2013-01-21,SAR,0.20028440385347002
2013-01-21,SEK,0.11506698624604
2013-01-21,SGD,0.6115085916957099
2013-01-21,THB,0.025251881202020002
2013-01-21,TRY,0.42580370449223
2013-01-21,TWD,0.02592965595495
2013-01-21,USD,0.75111728696436
2013-01-21,ZAR,0.08472120792108999
2013-01-22,AED,0.20490963485103
2013-01-22,AUD,0.7943001024647101
2013-01-22,BRL,0.36757408455674
2013-01-22,CAD,0.75745525333091
2013-01-22,CHF,0.8096444851065899
2013-01-22,CNH,0.12144310231263
2013-01-22,CNY,0.12100765494425
2013-01-22,CZK,0.03905272156464
2013-01-22,DKK,0.13399383360377998
2013-01-22,GBP,1.1941866991485501
2013-01-22,HKD,0.09707588033261999
2013-01-22,HUF,0.00339663621605
2013-01-22,IDR,7.823737759999999e-05
2013-01-22,ILS,0.20134944397351
2013-01-22,INR,0.014011795690079999
2013-01-22,JPY,0.00849820632608
2013-01-22,KRW,0.00070777094562
2013-01-22,MXN,0.05934809676588
2013-01-22,MYR,0.24737657145967004
2013-01-22,NOK,0.13466997775252
2013-01-22,NZD,0.63252307127902
2013-01-22,PHP,0.018538021203419998
2013-01-22,PLN,0.23962656595960996
2013-01-22,RON,0.22954838650439002
2013-01-22,RUB,0.024871736455099998
2013-01-22,SAR,0.20069158319569
2013-01-22,SEK,0.11522409935083
2013-01-22,SGD,0.6130531271840001
2013-01-22,THB,0.025311707348060004
2013-01-22,TRY,0.42498215074967
2013-01-22,TWD,0.025957702961330004
2013-01-22,USD,0.75264366085877
2013-01-22,ZAR,0.08498256157836
2013-01-23,AED,0.20503315386098
