Date,Term,Value
2013-01-02,AED,[0.20588951]
2013-01-02,AUD,[0.76682204]
2013-01-02,BRL,[0.35327811]
2013-01-02,CAD,[0.76237242]
2013-01-02,CHF,[0.82853933]
2013-01-02,CNH,[0.11709528]
2013-01-02,CNY,[0.1163395]
2013-01-02,CZK,[0.03974087]
2013-01-02,DKK,[0.13440092]
2013-01-02,GBP,[1.20204866]
2013-01-02,HKD,[0.09766209]
2013-01-02,HUF,[0.00325388]
2013-01-02,IDR,[7.52715087e-05]
2013-01-02,ILS,[0.20087266]
2013-01-02,INR,[0.01286685]
2013-01-02,JPY,[0.0086642]
2013-01-02,KRW,[0.00069225]
2013-01-02,MXN,[0.05658895]
2013-01-02,MYR,[0.24235856]
2013-01-02,NOK,[0.13464644]
2013-01-02,NZD,[0.61536419]
2013-01-02,PHP,[0.01837221]
2013-01-02,PLN,[0.23620951]
2013-01-02,RON,[0.21343608]
2013-01-02,RUB,[0.02331608]
2013-01-02,SAR,[0.20168991]
2013-01-02,SEK,[0.11592362]
2013-01-02,SGD,[0.62026414]
2013-01-02,THB,[0.02438331]
2013-01-02,TRY,[0.40344686]
2013-01-02,TWD,[0.02603976]
2013-01-02,USD,[0.75540514]
2013-01-02,ZAR,[0.0847493]
2013-01-03,AED,[0.20816377]
2013-01-03,AUD,[0.78164693]
2013-01-03,BRL,[0.35613841]
2013-01-03,CAD,[0.77007098]
2013-01-03,CHF,[0.8297885]
2013-01-03,CNH,[0.11844939]
2013-01-03,CNY,[0.11730367]
2013-01-03,CZK,[0.03951941]
2013-01-03,DKK,[0.13456692]
2013-01-03,GBP,[1.2303296]
2013-01-03,HKD,[0.09866555]
2013-01-03,HUF,[0.00327201]
2013-01-03,IDR,[7.61339237e-05]
2013-01-03,ILS,[0.19508885]
2013-01-03,INR,[0.01296314]
2013-01-03,JPY,[0.00880194]
2013-01-03,KRW,[0.00070062]
2013-01-03,MXN,[0.05609062]
2013-01-03,MYR,[0.24548365]
2013-01-03,NOK,[0.13527376]
2013-01-03,NZD,[0.6216215]
2013-01-03,PHP,[0.01904389]
