Date,Currency,Term,Value
2013-01-02,AUD,0.75,0.028541860504554623
2013-01-02,AUD,1.0,0.028201384417828195
2013-01-02,AUD,2.0,0.02979076874685215
2013-01-02,AUD,3.0,0.031245923298302548
2013-01-02,AUD,4.0,0.03271521966443386
2013-01-02,AUD,5.0,0.0340439785682019
2013-01-03,AUD,0.75,0.028835122547736083
2013-01-03,AUD,1.0,0.02841884859369865
2013-01-03,AUD,2.0,0.029500960825756872
2013-01-03,AUD,3.0,0.030947181919525984
2013-01-03,AUD,4.0,0.03235466105792536
2013-01-03,AUD,5.0,0.033687315124354064
2013-01-04,AUD,0.75,0.028743732027330975
2013-01-04,AUD,1.0,0.02834980995690902
2013-01-04,AUD,2.0,0.030214708211453584
2013-01-04,AUD,3.0,0.03154369231579353
2013-01-04,AUD,4.0,0.03296480130523671
2013-01-04,AUD,5.0,0.03429938393688157
2013-01-07,AUD,0.75,0.029330327205560933
2013-01-07,AUD,1.0,0.02921509614940266
2013-01-07,AUD,2.0,0.030149007900893088
2013-01-07,AUD,3.0,0.03143390347853503
2013-01-07,AUD,4.0,0.03292782974626924
2013-01-07,AUD,5.0,0.034231496225283556
2013-01-08,AUD,0.75,0.029450149497407423
2013-01-08,AUD,1.0,0.029235021840014194
2013-01-08,AUD,2.0,0.030058805984012706
2013-01-08,AUD,3.0,0.03135824409250879
2013-01-08,AUD,4.0,0.032883748585632505
2013-01-08,AUD,5.0,0.03421305475443756
2013-01-09,AUD,0.75,0.02944971180797424
2013-01-09,AUD,1.0,0.029183275619600508
2013-01-09,AUD,2.0,0.02978521619799345
2013-01-09,AUD,3.0,0.03111974069363186
2013-01-09,AUD,4.0,0.0325397445780011
2013-01-09,AUD,5.0,0.03386837758958568
2013-01-10,AUD,0.75,0.02939656503362621
2013-01-10,AUD,1.0,0.029087284798480773
2013-01-10,AUD,2.0,0.030063604409753187
2013-01-10,AUD,3.0,0.0314629415275092
2013-01-10,AUD,4.0,0.0329207780691477
2013-01-10,AUD,5.0,0.03422659974720142
2013-01-11,AUD,0.75,0.02965421276625412
2013-01-11,AUD,1.0,0.029485044559900708
2013-01-11,AUD,2.0,0.03046166408597566
2013-01-11,AUD,3.0,0.03181689821820661
2013-01-11,AUD,4.0,0.03323036687948336
2013-01-11,AUD,5.0,0.03453745195495772
2013-01-14,AUD,0.75,0.029781841766528608
2013-01-14,AUD,1.0,0.02958171574428367
2013-01-14,AUD,2.0,0.03034538295493072
2013-01-14,AUD,3.0,0.03169353109661203
2013-01-14,AUD,4.0,0.03314775579214908
