Date,Currency,Term,Value
2013-01-02,BRL,0.75,0.055643689528305826
2013-01-02,BRL,1.0,0.05551735627033459
2013-01-02,BRL,2.0,0.05941765205829376
2013-01-02,BRL,3.0,0.05356547822825271
2013-01-02,BRL,4.0,0.06122399761550865
2013-01-02,BRL,5.0,0.06022448688344284
2013-01-03,BRL,0.75,0.0567607270789379
2013-01-03,BRL,1.0,0.05551759508567795
2013-01-03,BRL,2.0,0.06083265678835475
2013-01-03,BRL,3.0,0.053337409315303695
2013-01-03,BRL,4.0,0.06108053072321985
2013-01-03,BRL,5.0,0.06015745055015815
2013-01-04,BRL,0.75,0.05765419429184375
2013-01-04,BRL,1.0,0.05700988047778335
2013-01-04,BRL,2.0,0.06235453999771233
2013-01-04,BRL,3.0,0.05490693267494085
2013-01-04,BRL,4.0,0.061116924459821476
2013-01-04,BRL,5.0,0.06018320750401979
2013-01-07,BRL,0.75,0.0588048515663628
2013-01-07,BRL,1.0,0.058327208964867934
2013-01-07,BRL,2.0,0.06320276366021564
2013-01-07,BRL,3.0,0.061841602701114724
2013-01-07,BRL,4.0,0.06114341389471973
2013-01-07,BRL,5.0,0.061290228309766485
2013-01-08,BRL,0.75,0.056983496636136374
2013-01-08,BRL,1.0,0.05700154563603349
2013-01-08,BRL,2.0,0.06261718390420015
2013-01-08,BRL,3.0,0.055208032443278376
2013-01-08,BRL,4.0,0.06127288781903267
2013-01-08,BRL,5.0,0.061301115491052445
2013-01-09,BRL,0.75,0.05612582463562217
2013-01-09,BRL,1.0,0.056770741702889434
2013-01-09,BRL,2.0,0.06162852774179728
2013-01-09,BRL,3.0,0.05563502493912071
2013-01-09,BRL,4.0,0.06112639651471164
2013-01-09,BRL,5.0,0.06069592408437501
2013-01-10,BRL,0.75,0.05656807681330246
2013-01-10,BRL,1.0,0.057081094824976565
2013-01-10,BRL,2.0,0.06254907231927685
2013-01-10,BRL,3.0,0.05779460487752658
2013-01-10,BRL,4.0,0.061999592769367076
2013-01-10,BRL,5.0,0.05903692768379422
2013-01-11,BRL,0.75,0.05674110852977585
2013-01-11,BRL,1.0,0.056881223340907686
2013-01-11,BRL,2.0,0.06256147445357135
2013-01-11,BRL,3.0,0.06230725139251273
2013-01-11,BRL,4.0,0.06197082425221792
2013-01-11,BRL,5.0,0.05647693713910159
2013-01-14,BRL,0.75,0.05692344602974753
2013-01-14,BRL,1.0,0.05775661064350917
2013-01-14,BRL,2.0,0.0630947617076702
2013-01-14,BRL,3.0,0.056517722056476316
2013-01-14,BRL,4.0,0.062166368919037485
2013-01-14,BRL,5.0,0.05728424225607423
2013-01-15,BRL,0.75,0.05669145342025911
2013-01-15,BRL,1.0,0.05771032276882673
2013-01-15,BRL,2.0,0.062924318250424
2013-01-15,BRL,3.0,0.05650578396509395
2013-01-15,BRL,4.0,0.06186913727390894
2013-01-15,BRL,5.0,0.056532078213521804
2013-01-16,BRL,0.75,0.05661527952348297
2013-01-16,BRL,1.0,0.05688958391099239
2013-01-16,BRL,2.0,0.06317449015524707
2013-01-16,BRL,3.0,0.06248366811596622
2013-01-16,BRL,4.0,0.06188654492102565
2013-01-16,BRL,5.0,0.05687601811593392
2013-01-17,BRL,0.75,0.05676044394783237
2013-01-17,BRL,1.0,0.05758131808749648
2013-01-17,BRL,2.0,0.06348479201051341
