Date,Currency,Term,Value
2013-01-02,CHF,0.75,0.0006041456908903207
2013-01-02,CHF,1.0,-0.00020723334197688596
2013-01-02,CHF,2.0,0.0006843055243887421
2013-01-02,CHF,3.0,0.0012472205600459736
2013-01-02,CHF,4.0,0.00221345773354849
2013-01-02,CHF,5.0,0.0034179416936165946
2013-01-03,CHF,0.75,0.0006103869788357652
2013-01-03,CHF,1.0,-0.00020126984945767202
2013-01-03,CHF,2.0,0.0007280187981405692
2013-01-03,CHF,3.0,0.0012943561313144738
2013-01-03,CHF,4.0,0.0022474192153101448
2013-01-03,CHF,5.0,0.0034793839406170417
2013-01-04,CHF,0.75,0.0007265671455604317
2013-01-04,CHF,1.0,-9.909439176718668e-05
2013-01-04,CHF,2.0,0.0008521634821655157
2013-01-04,CHF,3.0,0.00146872784247754
2013-01-04,CHF,4.0,0.0024749731892507905
2013-01-04,CHF,5.0,0.003732891653258037
2013-01-07,CHF,0.75,0.0006900684459489537
2013-01-07,CHF,1.0,-0.00014898790347019642
2013-01-07,CHF,2.0,0.0008146279929958506
2013-01-07,CHF,3.0,0.0013707857836624563
2013-01-07,CHF,4.0,0.0023633555593423512
2013-01-07,CHF,5.0,0.0035933924434601414
2013-01-08,CHF,0.75,0.0006901842451620256
2013-01-08,CHF,1.0,-0.0001731704916330754
2013-01-08,CHF,2.0,0.0007785235716382765
2013-01-08,CHF,3.0,0.0013468183058447064
2013-01-08,CHF,4.0,0.002338426176006144
2013-01-08,CHF,5.0,0.0035684122322955127
2013-01-09,CHF,0.75,0.0006729108366541316
2013-01-09,CHF,1.0,-0.00015453348442099688
2013-01-09,CHF,2.0,0.0007344956273487844
2013-01-09,CHF,3.0,0.0013474160120054747
2013-01-09,CHF,4.0,0.002338552247266287
2013-01-09,CHF,5.0,0.0035684218338116855
2013-01-10,CHF,0.75,0.0006799253331540597
2013-01-10,CHF,1.0,-0.000171029136200581
2013-01-10,CHF,2.0,0.0008519394161961033
2013-01-10,CHF,3.0,0.0015187529876771128
2013-01-10,CHF,4.0,0.0025711731622093765
2013-01-10,CHF,5.0,0.003854386185432059
2013-01-11,CHF,0.75,0.000772841007325596
2013-01-11,CHF,1.0,9.019340954218155e-05
2013-01-11,CHF,2.0,0.0011255294925947427
2013-01-11,CHF,3.0,0.0018159028630981716
2013-01-11,CHF,4.0,0.002848130494260682
2013-01-11,CHF,5.0,0.004156572008952083
2013-01-14,CHF,0.75,0.0007633506050103013
2013-01-14,CHF,1.0,7.12236108174601e-05
2013-01-14,CHF,2.0,0.0011138992713979096
2013-01-14,CHF,3.0,0.0017689003131427996
2013-01-14,CHF,4.0,0.002762881919445902
2013-01-14,CHF,5.0,0.0039928093323343
2013-01-15,CHF,0.75,0.0007266533307849372
2013-01-15,CHF,1.0,0.0007381275802548225
2013-01-15,CHF,2.0,0.0010437740839310617
2013-01-15,CHF,3.0,0.0016914426584112188
2013-01-15,CHF,4.0,0.002688252325740783
2013-01-15,CHF,5.0,0.003916997139806882
2013-01-16,CHF,0.75,0.0007095174233254401
2013-01-16,CHF,1.0,0.0007116795527815286
2013-01-16,CHF,2.0,0.001019892716396859
2013-01-16,CHF,3.0,0.0016934333573754975
2013-01-16,CHF,4.0,0.002737946845525777
2013-01-16,CHF,5.0,0.0039922399890189
2013-01-17,CHF,0.75,0.00093473313836239
2013-01-17,CHF,1.0,0.0003829148220657202
2013-01-17,CHF,2.0,0.0014753898801539932
2013-01-17,CHF,3.0,0.002164555098610741
2013-01-17,CHF,4.0,0.0031944676108076704
2013-01-17,CHF,5.0,0.004428415263907359
2013-01-18,CHF,0.75,0.0009717332134531034
2013-01-18,CHF,1.0,0.0004782997364274334
2013-01-18,CHF,2.0,0.0015257054856341037
2013-01-18,CHF,3.0,0.002238861340898862
2013-01-18,CHF,4.0,0.003222910584124228
2013-01-18,CHF,5.0,0.00448108280731384
2013-01-21,CHF,0.75,0.00103689020749055
2013-01-21,CHF,1.0,0.00051413560964192
2013-01-21,CHF,2.0,0.0016370452535916066
2013-01-21,CHF,3.0,0.0023168020070944884
2013-01-21,CHF,4.0,0.0032862983401322787
2013-01-21,CHF,5.0,0.004516957396455275
2013-01-22,CHF,0.75,0.0009383688159333048
2013-01-22,CHF,1.0,0.0003188667471921273
2013-01-22,CHF,2.0,0.0013776209887222902
2013-01-22,CHF,3.0,0.0021436964467199835
2013-01-22,CHF,4.0,0.003162148858755987
2013-01-22,CHF,5.0,0.004418014150467389
2013-01-23,CHF,0.75,0.0008909444082767971
2013-01-23,CHF,1.0,0.0002592528983695534
2013-01-23,CHF,2.0,0.0012091817104515766
2013-01-23,CHF,3.0,0.0019453267274069897
2013-01-23,CHF,4.0,0.003012356482344207
2013-01-23,CHF,5.0,0.004268398651167875
2013-01-24,CHF,0.75,0.0009705191152136267
2013-01-24,CHF,1.0,0.0003357031910644353
2013-01-24,CHF,2.0,0.0013495577070515275
2013-01-24,CHF,3.0,0.002088861003330372
2013-01-24,CHF,4.0,0.003168365476576733
2013-01-24,CHF,5.0,0.004453209013493173
2013-01-25,CHF,0.75,0.0011017421144074115
2013-01-25,CHF,1.0,0.0006270183976239258
2013-01-25,CHF,2.0,0.0017485401879713308
2013-01-25,CHF,3.0,0.002586088575145369
