Date,Currency,Term,Value
2013-01-02,CNH,0.75,0.04187504726925942
2013-01-02,CNH,1.0,0.04089799104447115
2013-01-02,CNH,2.0,0.0403391787472074
2013-01-02,CNH,3.0,0.03930474661568574
2013-01-02,CNH,4.0,0.03930758543107676
2013-01-02,CNH,5.0,0.039326245163230265
2013-01-03,CNH,0.75,0.041909602235538454
2013-01-03,CNH,1.0,0.04092468323352182
2013-01-03,CNH,2.0,0.040352664366790025
2013-01-03,CNH,3.0,0.039321193917466836
2013-01-03,CNH,4.0,0.03931055800140062
2013-01-03,CNH,5.0,0.03934012024835981
2013-01-04,CNH,0.75,0.04190990349696329
2013-01-04,CNH,1.0,0.04092490607204443
2013-01-04,CNH,2.0,0.04035277649186985
2013-01-04,CNH,3.0,0.03932125391437827
2013-01-04,CNH,4.0,0.039312014896893344
2013-01-04,CNH,5.0,0.03933787131457406
2013-01-07,CNH,0.75,0.04187522917867685
2013-01-07,CNH,1.0,0.04087621345629613
2013-01-07,CNH,2.0,0.04033979724529691
2013-01-07,CNH,3.0,0.03930971928301129
2013-01-07,CNH,4.0,0.039307644766669377
2013-01-07,CNH,5.0,0.039326324088884174
2013-01-08,CNH,0.75,0.04187522690607854
2013-01-08,CNH,1.0,0.04087622597684595
2013-01-08,CNH,2.0,0.040338327867528855
2013-01-08,CNH,3.0,0.039307201191532505
2013-01-08,CNH,4.0,0.039307525125423376
2013-01-08,CNH,5.0,0.03932629327536806
2013-01-09,CNH,0.75,0.04187499517470244
2013-01-09,CNH,1.0,0.04089811747329508
2013-01-09,CNH,2.0,0.04033918161989493
2013-01-09,CNH,3.0,0.03930476635849499
2013-01-09,CNH,4.0,0.03930759545386987
2013-01-09,CNH,5.0,0.039326262582691646
2013-01-10,CNH,0.75,0.04190960216154495
2013-01-10,CNH,1.0,0.040924683546897975
2013-01-10,CNH,2.0,0.040352661450173584
2013-01-10,CNH,3.0,0.039321205270778065
2013-01-10,CNH,4.0,0.03930914513752696
2013-01-10,CNH,5.0,0.03934238527476062
2013-01-11,CNH,0.75,0.041909903422679085
2013-01-11,CNH,1.0,0.040924906385279874
2013-01-11,CNH,2.0,0.040352773578173455
2013-01-11,CNH,3.0,0.03932126525614941
2013-01-11,CNH,4.0,0.03931060861680724
2013-01-11,CNH,5.0,0.03934017589182255
2013-01-14,CNH,0.75,0.04187522884422178
2013-01-14,CNH,1.0,0.04087621529892767
2013-01-14,CNH,2.0,0.04033978057783584
2013-01-14,CNH,3.0,0.039312118382003866
2013-01-14,CNH,4.0,0.03930621630639583
2013-01-14,CNH,5.0,0.0393262528233958
2013-01-15,CNH,0.75,0.041875225305133976
2013-01-15,CNH,1.0,0.04087623479701715
2013-01-15,CNH,2.0,0.04033751461550538
2013-01-15,CNH,3.0,0.03930954924793321
2013-01-15,CNH,4.0,0.039307430597608765
2013-01-15,CNH,5.0,0.039326232918148296
2013-01-16,CNH,0.75,0.04187488100850852
2013-01-16,CNH,1.0,0.04090884863661019
2013-01-16,CNH,2.0,0.04033854113108978
2013-01-16,CNH,3.0,0.039307043836356595
2013-01-16,CNH,4.0,0.039307503399541796
2013-01-16,CNH,5.0,0.03932616942130527
2013-01-17,CNH,0.75,0.04192690916638702
2013-01-17,CNH,1.0,0.040949252608887494
2013-01-17,CNH,2.0,0.0403592203247898
2013-01-17,CNH,3.0,0.03932942552087133
2013-01-17,CNH,4.0,0.039314894247995086
2013-01-17,CNH,5.0,0.039343594466259395
2013-01-18,CNH,0.75,0.04192690723557404
2013-01-18,CNH,1.0,0.04094926037144263
2013-01-18,CNH,2.0,0.04035914708188286
2013-01-18,CNH,3.0,0.03933422902953334
2013-01-18,CNH,4.0,0.03931626742409264
2013-01-18,CNH,5.0,0.03934360990523725
2013-01-21,CNH,0.75,0.04187522917867685
2013-01-21,CNH,1.0,0.04087621345629613
2013-01-21,CNH,2.0,0.04033979724529691
2013-01-21,CNH,3.0,0.03930971928301129
2013-01-21,CNH,4.0,0.039307644766669377
2013-01-21,CNH,5.0,0.039326324088884174
2013-01-22,CNH,0.75,0.04187522690607854
2013-01-22,CNH,1.0,0.04087622597684595
2013-01-22,CNH,2.0,0.040338327867528855
2013-01-22,CNH,3.0,0.039307201191532505
2013-01-22,CNH,4.0,0.039307525125423376
2013-01-22,CNH,5.0,0.03932629327536806
2013-01-23,CNH,0.75,0.04187499517470244
2013-01-23,CNH,1.0,0.04089811747329508
2013-01-23,CNH,2.0,0.04033918161989493
2013-01-23,CNH,3.0,0.03930476635849499
2013-01-23,CNH,4.0,0.03930759545386987
2013-01-23,CNH,5.0,0.039326262582691646
2013-01-24,CNH,0.75,0.041909602235538454
2013-01-24,CNH,1.0,0.04092468323352182
2013-01-24,CNH,2.0,0.040352664366790025
2013-01-24,CNH,3.0,0.039321193917466836
2013-01-24,CNH,4.0,0.03931055800140062
2013-01-24,CNH,5.0,0.03934012024835981
2013-01-25,CNH,0.75,0.04190990349706109
2013-01-25,CNH,1.0,0.04092490607163198
2013-01-25,CNH,2.0,0.04035277649570638
2013-01-25,CNH,3.0,0.039321253899444276
2013-01-25,CNH,4.0,0.03931201498016444
2013-01-25,CNH,5.0,0.03933785389634388
2013-01-28,CNH,0.75,0.04187523011994804
2013-01-28,CNH,1.0,0.040876208270499426
2013-01-28,CNH,2.0,0.04033984415324482
2013-01-28,CNH,3.0,0.03930254363415236
2013-01-28,CNH,4.0,0.03930770025244087
2013-01-28,CNH,5.0,0.03932638520980621
2013-01-29,CNH,0.75,0.04187554312413449
2013-01-29,CNH,1.0,0.040876319799468604
2013-01-29,CNH,2.0,0.04034062957106603
2013-01-29,CNH,3.0,0.03930026977373
2013-01-29,CNH,4.0,0.039307821606163605
2013-01-29,CNH,5.0,0.039326451967485736
2013-01-30,CNH,0.75,0.04187530713314042
2013-01-30,CNH,1.0,0.04089818621814931
2013-01-30,CNH,2.0,0.040339266685379765
2013-01-30,CNH,3.0,0.03930478266759004
2013-01-30,CNH,4.0,0.039307613399427614
2013-01-30,CNH,5.0,0.03932626545931424
2013-01-31,CNH,0.75,0.04190960223612094
2013-01-31,CNH,1.0,0.040924683231054894
2013-01-31,CNH,2.0,0.04035266438974993
2013-01-31,CNH,3.0,0.03932119042536055
2013-01-31,CNH,4.0,0.03931055377514145
2013-01-31,CNH,5.0,0.039340108768068933
2013-02-01,CNH,0.75,0.04190990349249325
2013-02-01,CNH,1.0,0.04092490609089328
2013-02-01,CNH,2.0,0.040352768945243256
2013-02-01,CNH,3.0,0.0393212454258964
2013-02-01,CNH,4.0,0.03931200700866951
2013-02-01,CNH,5.0,0.039337847472343
2013-02-04,CNH,0.75,0.04187554057175584
2013-02-04,CNH,1.0,0.04087633385000271
2013-02-04,CNH,2.0,0.04033988742093955
2013-02-04,CNH,3.0,0.039309757753638194
2013-02-04,CNH,4.0,0.03930765999041468
2013-02-04,CNH,5.0,0.03932632778262611
2013-02-05,CNH,0.75,0.041875538305979614
2013-02-05,CNH,1.0,0.040876346322825365
2013-02-05,CNH,2.0,0.04033843190449209
2013-02-05,CNH,3.0,0.039307234064804145
2013-02-05,CNH,4.0,0.03930755693728693
2013-02-05,CNH,5.0,0.039326310817300696
2013-02-06,CNH,0.75,0.04187530713314042
2013-02-06,CNH,1.0,0.04089818621814931
2013-02-06,CNH,2.0,0.040339266685379765
2013-02-06,CNH,3.0,0.03930478266759004
2013-02-06,CNH,4.0,0.039307613399427614
2013-02-06,CNH,5.0,0.03932626545931424
2013-02-07,CNH,0.75,0.04190960223612094
2013-02-07,CNH,1.0,0.040924683231054894
2013-02-07,CNH,2.0,0.04035266438974993
2013-02-07,CNH,3.0,0.03932119042536055
2013-02-07,CNH,4.0,0.03931055377514145
2013-02-07,CNH,5.0,0.039340108768068933
2013-02-08,CNH,0.75,0.04190990349249325
2013-02-08,CNH,1.0,0.04092490609089328
2013-02-08,CNH,2.0,0.040352768945243256
2013-02-08,CNH,3.0,0.0393212454258964
2013-02-08,CNH,4.0,0.03931200700866951
2013-02-08,CNH,5.0,0.039337847472343
2013-02-11,CNH,0.75,0.04187554026167186
2013-02-11,CNH,1.0,0.04087633555697733
2013-02-11,CNH,2.0,0.04033987198218463
2013-02-11,CNH,3.0,0.03931214321916355
2013-02-11,CNH,4.0,0.039307624071041186
2013-02-11,CNH,5.0,0.03932628760234559
2013-02-12,CNH,0.75,0.041875536708268574
2013-02-12,CNH,1.0,0.04087635511803035
2013-02-12,CNH,2.0,0.04033762568825601
2013-02-12,CNH,3.0,0.039309576459791135
2013-02-12,CNH,4.0,0.03930745957560178
