Date,Currency,Term,Value
2013-01-02,CNY,0.75,0.04070537324962558
2013-01-02,CNY,1.0,0.041056233386585865
2013-01-02,CNY,2.0,0.04129758665485889
2013-01-02,CNY,3.0,0.04149539884923556
2013-01-02,CNY,4.0,0.041598211697503
2013-01-02,CNY,5.0,0.04191678314868468
2013-01-03,CNY,0.75,0.0407246573376713
2013-01-03,CNY,1.0,0.04105758490470399
2013-01-03,CNY,2.0,0.04129870437114387
2013-01-03,CNY,3.0,0.04149266119917214
2013-01-03,CNY,4.0,0.04159561515864925
2013-01-03,CNY,5.0,0.04191272595039771
2013-01-04,CNY,0.75,0.04068593576446223
2013-01-04,CNY,1.0,0.04131631550628623
2013-01-04,CNY,2.0,0.04161740077413527
2013-01-04,CNY,3.0,0.04224770653927841
2013-01-04,CNY,4.0,0.042783180696743604
2013-01-04,CNY,5.0,0.043106057282996636
2013-01-07,CNY,0.75,0.04057635731199139
2013-01-07,CNY,1.0,0.04118150003481292
2013-01-07,CNY,2.0,0.04165007142709655
2013-01-07,CNY,3.0,0.042272196246260205
2013-01-07,CNY,4.0,0.04248897874107869
2013-01-07,CNY,5.0,0.04280823781456456
2013-01-08,CNY,0.75,0.04038098156470978
2013-01-08,CNY,1.0,0.04088330231684863
2013-01-08,CNY,2.0,0.04125565955207822
2013-01-08,CNY,3.0,0.041464191447798275
2013-01-08,CNY,4.0,0.04178648156942216
2013-01-08,CNY,5.0,0.042108578185188095
2013-01-09,CNY,0.75,0.0403803433254537
2013-01-09,CNY,1.0,0.040762139044342074
2013-01-09,CNY,2.0,0.04135310405849779
2013-01-09,CNY,3.0,0.041772325877871434
2013-01-09,CNY,4.0,0.04219673422877251
2013-01-09,CNY,5.0,0.042516752049435336
2013-01-10,CNY,0.75,0.0402612456546433
2013-01-10,CNY,1.0,0.04067663702644165
2013-01-10,CNY,2.0,0.04140351836217153
2013-01-10,CNY,3.0,0.041939808756004636
2013-01-10,CNY,4.0,0.04236761746136732
2013-01-10,CNY,5.0,0.04280062259883503
2013-01-11,CNY,0.75,0.04024709809672473
2013-01-11,CNY,1.0,0.040472511115498586
2013-01-11,CNY,2.0,0.04119622569164607
2013-01-11,CNY,3.0,0.04173601685088442
2013-01-11,CNY,4.0,0.04237528273484137
2013-01-11,CNY,5.0,0.04281013195624513
2013-01-14,CNY,0.75,0.04037486770930714
2013-01-14,CNY,1.0,0.040584135133660375
2013-01-14,CNY,2.0,0.04135091535661732
2013-01-14,CNY,3.0,0.04207632699062424
2013-01-14,CNY,4.0,0.04260778726200855
2013-01-14,CNY,5.0,0.043142454873569706
2013-01-15,CNY,0.75,0.040080100306437765
2013-01-15,CNY,1.0,0.04038785022201361
2013-01-15,CNY,2.0,0.041153659855155275
2013-01-15,CNY,3.0,0.041778020852235885
2013-01-15,CNY,4.0,0.042414742582377596
2013-01-15,CNY,5.0,0.04294780992579604
2013-01-16,CNY,0.75,0.039979379071508524
2013-01-16,CNY,1.0,0.040168467235264245
2013-01-16,CNY,2.0,0.040852453918423924
2013-01-16,CNY,3.0,0.041583494311775916
2013-01-16,CNY,4.0,0.04221795916359637
2013-01-16,CNY,5.0,0.04275045146396041
2013-01-17,CNY,0.75,0.0394245643471331
2013-01-17,CNY,1.0,0.039726246019349945
2013-01-17,CNY,2.0,0.04018562474691772
2013-01-17,CNY,3.0,0.040930672637756696
2013-01-17,CNY,4.0,0.041470580270126345
2013-01-17,CNY,5.0,0.04211863632928376
2013-01-18,CNY,0.75,0.03821239316098036
2013-01-18,CNY,1.0,0.038622076606797826
2013-01-18,CNY,2.0,0.039192422056690365
2013-01-18,CNY,3.0,0.039729487894561294
2013-01-18,CNY,4.0,0.040272149492735464
2013-01-18,CNY,5.0,0.041133890363941446
2013-01-21,CNY,0.75,0.037998375816927055
2013-01-21,CNY,1.0,0.038014948179692414
2013-01-21,CNY,2.0,0.038371254960723224
2013-01-21,CNY,3.0,0.038997798741094984
2013-01-21,CNY,4.0,0.03952730326196127
2013-01-21,CNY,5.0,0.040274591568853005
2013-01-22,CNY,0.75,0.038397506062991395
2013-01-22,CNY,1.0,0.038403183234920917
2013-01-22,CNY,2.0,0.03886648550352206
2013-01-22,CNY,3.0,0.03949601869385335
2013-01-22,CNY,4.0,0.03991759396227792
2013-01-22,CNY,5.0,0.04088068638020311
2013-01-23,CNY,0.75,0.03829908176408177
2013-01-23,CNY,1.0,0.03829280282033701
2013-01-23,CNY,2.0,0.03886810774059881
2013-01-23,CNY,3.0,0.03960228790832845
2013-01-23,CNY,4.0,0.04002105822051208
2013-01-23,CNY,5.0,0.04098340268386296
2013-01-24,CNY,0.75,0.03801933833051146
2013-01-24,CNY,1.0,0.03802219939162843
2013-01-24,CNY,2.0,0.03862919775273731
2013-01-24,CNY,3.0,0.0393731312480615
2013-01-24,CNY,4.0,0.039794099397047006
2013-01-24,CNY,5.0,0.040759093691292846
2013-01-25,CNY,0.75,0.03801699725216103
2013-01-25,CNY,1.0,0.03800816104294301
2013-01-25,CNY,2.0,0.03882658443070877
2013-01-25,CNY,3.0,0.0394685924776937
2013-01-25,CNY,4.0,0.03989144161318796
2013-01-25,CNY,5.0,0.0408581245698463
2013-01-28,CNY,0.75,0.03859015696334164
2013-01-28,CNY,1.0,0.038619071838715525
2013-01-28,CNY,2.0,0.03936871160845703
2013-01-28,CNY,3.0,0.04010492425504446
2013-01-28,CNY,4.0,0.04073062194464074
2013-01-28,CNY,5.0,0.04158493734449734
2013-01-29,CNY,0.75,0.03849609731051652
2013-01-29,CNY,1.0,0.038613740028652546
2013-01-29,CNY,2.0,0.03947342069803628
2013-01-29,CNY,3.0,0.0402074358831
2013-01-29,CNY,4.0,0.040830079599264
2013-01-29,CNY,5.0,0.04189984645841961
2013-01-30,CNY,0.75,0.039002953834405676
2013-01-30,CNY,1.0,0.03908566841872644
2013-01-30,CNY,2.0,0.040168780450289175
2013-01-30,CNY,3.0,0.04089961176581701
2013-01-30,CNY,4.0,0.04163233615084021
