Date,Currency,Term,Value
2013-01-02,CZK,0.75,0.005511598529353106
2013-01-02,CZK,1.0,0.0059380188665088835
2013-01-02,CZK,2.0,0.005807126877733005
2013-01-02,CZK,3.0,0.006205421762508971
2013-01-02,CZK,4.0,0.007219819668162155
2013-01-02,CZK,5.0,0.00839493121757699
2013-01-03,CZK,0.75,0.00553110476927768
2013-01-03,CZK,1.0,0.005964599680786588
2013-01-03,CZK,2.0,0.005997349416416187
2013-01-03,CZK,3.0,0.006444064580896426
2013-01-03,CZK,4.0,0.007451621735156067
2013-01-03,CZK,5.0,0.008680905307517531
2013-01-04,CZK,0.75,0.005594907862285239
2013-01-04,CZK,1.0,0.006053217467792868
2013-01-04,CZK,2.0,0.006047919621486753
2013-01-04,CZK,3.0,0.006543174348245325
2013-01-04,CZK,4.0,0.007706379058692533
2013-01-04,CZK,5.0,0.00898808954149884
2013-01-07,CZK,0.75,0.005562957152660497
2013-01-07,CZK,1.0,0.005942160718817651
2013-01-07,CZK,2.0,0.005854650202926795
2013-01-07,CZK,3.0,0.00630065134183943
2013-01-07,CZK,4.0,0.007421601696850391
2013-01-07,CZK,5.0,0.008699759625821396
2013-01-08,CZK,0.75,0.005575527338662811
2013-01-08,CZK,1.0,0.006011320828480153
2013-01-08,CZK,2.0,0.005757658253901156
2013-01-08,CZK,3.0,0.00625260477751546
2013-01-08,CZK,4.0,0.0073207794232932385
2013-01-08,CZK,5.0,0.008598174395288805
2013-01-09,CZK,0.75,0.005561236774429635
2013-01-09,CZK,1.0,0.0059801252258806
2013-01-09,CZK,2.0,0.0057558784876632066
2013-01-09,CZK,3.0,0.006255746320872876
2013-01-09,CZK,4.0,0.007269781651731106
2013-01-09,CZK,5.0,0.008598576768187562
2013-01-10,CZK,0.75,0.005463523535337887
2013-01-10,CZK,1.0,0.005876107372464087
2013-01-10,CZK,2.0,0.005996616176007582
2013-01-10,CZK,3.0,0.006444061911542651
2013-01-10,CZK,4.0,0.007550917995532174
2013-01-10,CZK,5.0,0.008884394165055081
2013-01-11,CZK,0.75,0.005465223275169595
2013-01-11,CZK,1.0,0.005876528238853253
2013-01-11,CZK,2.0,0.006095814612600394
2013-01-11,CZK,3.0,0.006644076853558678
2013-01-11,CZK,4.0,0.007908469252013101
2013-01-11,CZK,5.0,0.009141470516508753
2013-01-14,CZK,0.75,0.005536281653001467
2013-01-14,CZK,1.0,0.005971825551185907
2013-01-14,CZK,2.0,0.005855037456446815
2013-01-14,CZK,3.0,0.0064000757390758715
2013-01-14,CZK,4.0,0.007675044310675446
2013-01-14,CZK,5.0,0.00895452623176293
2013-01-15,CZK,0.75,0.0054908534559495615
2013-01-15,CZK,1.0,0.005882760107833873
2013-01-15,CZK,2.0,0.005655878773606775
2013-01-15,CZK,3.0,0.00625334319114192
2013-01-15,CZK,4.0,0.007271149699355297
2013-01-15,CZK,5.0,0.00849719614914152
2013-01-16,CZK,0.75,0.005499616886796738
2013-01-16,CZK,1.0,0.005900612815788688
2013-01-16,CZK,2.0,0.005655499384965713
2013-01-16,CZK,3.0,0.00625656020121649
2013-01-16,CZK,4.0,0.007169995884730831
2013-01-16,CZK,5.0,0.008395212951706778
2013-01-17,CZK,0.75,0.005457391492368909
2013-01-17,CZK,1.0,0.005867989531317283
2013-01-17,CZK,2.0,0.005846562541748996
2013-01-17,CZK,3.0,0.0064434501299599056
2013-01-17,CZK,4.0,0.007554257925069207
2013-01-17,CZK,5.0,0.008732938020712379
2013-01-18,CZK,0.75,0.005471873671559527
