Date,Currency,Term,Value
2013-01-02,HUF,0.75,0.053522937089128246
2013-01-02,HUF,1.0,0.05220300442099119
2013-01-02,HUF,2.0,0.049503563300489904
2013-01-02,HUF,3.0,0.04901252820081182
2013-01-02,HUF,4.0,0.049128460806963765
2013-01-02,HUF,5.0,0.049502004976921636
2013-01-03,HUF,0.75,0.05361680248507603
2013-01-03,HUF,1.0,0.05206979858247706
2013-01-03,HUF,2.0,0.049285478482471036
2013-01-03,HUF,3.0,0.04873575683672176
2013-01-03,HUF,4.0,0.048844258759912364
2013-01-03,HUF,5.0,0.04926779667373384
2013-01-04,HUF,0.75,0.05411448312978619
2013-01-04,HUF,1.0,0.052525900736585536
2013-01-04,HUF,2.0,0.05023731759816807
2013-01-04,HUF,3.0,0.049940471030700324
2013-01-04,HUF,4.0,0.05009669918163281
2013-01-04,HUF,5.0,0.05067558846143541
2013-01-07,HUF,0.75,0.05373104139682461
2013-01-07,HUF,1.0,0.05233753562907972
2013-01-07,HUF,2.0,0.05008086768176418
2013-01-07,HUF,3.0,0.04978749273863019
2013-01-07,HUF,4.0,0.04995266450961084
2013-01-07,HUF,5.0,0.050533334749764576
2013-01-08,HUF,0.75,0.053628724447814524
2013-01-08,HUF,1.0,0.052158663542116776
2013-01-08,HUF,2.0,0.0499401107545641
2013-01-08,HUF,3.0,0.04964652077484488
2013-01-08,HUF,4.0,0.049861035616307205
2013-01-08,HUF,5.0,0.050441110904475964
2013-01-09,HUF,0.75,0.05317471807068065
2013-01-09,HUF,1.0,0.051819874051877365
2013-01-09,HUF,2.0,0.04951418822349018
2013-01-09,HUF,3.0,0.049220699495278214
2013-01-09,HUF,4.0,0.0493827924111116
2013-01-09,HUF,5.0,0.0499626358964307
2013-01-10,HUF,0.75,0.0538878478092003
2013-01-10,HUF,1.0,0.05212605952491636
2013-01-10,HUF,2.0,0.04999405379699062
2013-01-10,HUF,3.0,0.0496646010015585
2013-01-10,HUF,4.0,0.05015971015324335
2013-01-10,HUF,5.0,0.050782405709323575
2013-01-11,HUF,0.75,0.054158283968719585
2013-01-11,HUF,1.0,0.05274177842751862
2013-01-11,HUF,2.0,0.050798263877249436
2013-01-11,HUF,3.0,0.05062185022645966
2013-01-11,HUF,4.0,0.05091534853707863
2013-01-11,HUF,5.0,0.05153756338567582
2013-01-14,HUF,0.75,0.054258953277457674
2013-01-14,HUF,1.0,0.0526816418170052
2013-01-14,HUF,2.0,0.050693171133173974
2013-01-14,HUF,3.0,0.05058868506607501
2013-01-14,HUF,4.0,0.0507942418744271
2013-01-14,HUF,5.0,0.051422125806841884
2013-01-15,HUF,0.75,0.053542278777189006
2013-01-15,HUF,1.0,0.05201530925078739
2013-01-15,HUF,2.0,0.04983903009069873
2013-01-15,HUF,3.0,0.04978122609780221
2013-01-15,HUF,4.0,0.05008906323337406
2013-01-15,HUF,5.0,0.0507151729495631
2013-01-16,HUF,0.75,0.0538067840633416
2013-01-16,HUF,1.0,0.05239356231144457
2013-01-16,HUF,2.0,0.050557119821389856
2013-01-16,HUF,3.0,0.05044991468434816
2013-01-16,HUF,4.0,0.05080663272271271
2013-01-16,HUF,5.0,0.051432703134886154
2013-01-17,HUF,0.75,0.053926879066312675
2013-01-17,HUF,1.0,0.05249258885386844
2013-01-17,HUF,2.0,0.05022660921169925
2013-01-17,HUF,3.0,0.05004646241624113
2013-01-17,HUF,4.0,0.05039114939035514
2013-01-17,HUF,5.0,0.051012189012692444
2013-01-18,HUF,0.75,0.05383265340208214
2013-01-18,HUF,1.0,0.05238702893078665
2013-01-18,HUF,2.0,0.05003382904850672
2013-01-18,HUF,3.0,0.04980473087780779
2013-01-18,HUF,4.0,0.050151571165085326
2013-01-18,HUF,5.0,0.05082643456162392
2013-01-21,HUF,0.75,0.05373544043479222
2013-01-21,HUF,1.0,0.052335802327393474
2013-01-21,HUF,2.0,0.04997691937613904
2013-01-21,HUF,3.0,0.0497691766335004
2013-01-21,HUF,4.0,0.05013187401343651
2013-01-21,HUF,5.0,0.05081185666932454
2013-01-22,HUF,0.75,0.05379764135846841
2013-01-22,HUF,1.0,0.05239573364768949
2013-01-22,HUF,2.0,0.05021641082027646
2013-01-22,HUF,3.0,0.050257468549738754
2013-01-22,HUF,4.0,0.05071924730736108
2013-01-22,HUF,5.0,0.05144912367527287
2013-01-23,HUF,0.75,0.05369418550641747
2013-01-23,HUF,1.0,0.05223592469628315
2013-01-23,HUF,2.0,0.04996128291348792
2013-01-23,HUF,3.0,0.05006051499780251
