Date,Currency,Term,Value
2013-01-02,IDR,0.75,0.05288317960023319
2013-01-02,IDR,1.0,0.05413520733448577
2013-01-02,IDR,2.0,0.05362489533296053
2013-01-02,IDR,3.0,0.05361554130837159
2013-01-02,IDR,4.0,0.05469203742834002
2013-01-02,IDR,5.0,0.05469381440516847
2013-01-03,IDR,0.75,0.052779108724639284
2013-01-03,IDR,1.0,0.05406382876783074
2013-01-03,IDR,2.0,0.053598609885994096
2013-01-03,IDR,3.0,0.05358918821299729
2013-01-03,IDR,4.0,0.05466527794894988
2013-01-03,IDR,5.0,0.05468897023899703
2013-01-04,IDR,0.75,0.052781273469956376
2013-01-04,IDR,1.0,0.05406300254732114
2013-01-04,IDR,2.0,0.05359852099277267
2013-01-04,IDR,3.0,0.05358901901111286
2013-01-04,IDR,4.0,0.054667700036316255
2013-01-04,IDR,5.0,0.054686111451430056
2013-01-07,IDR,0.75,0.05251017880901737
2013-01-07,IDR,1.0,0.053698702728221644
2013-01-07,IDR,2.0,0.05363155974727862
2013-01-07,IDR,3.0,0.05361916544537375
2013-01-07,IDR,4.0,0.054698218505649064
2013-01-07,IDR,5.0,0.05470018332905737
2013-01-08,IDR,0.75,0.05248670296000243
2013-01-08,IDR,1.0,0.05366807469800117
2013-01-08,IDR,2.0,0.05363751819342803
2013-01-08,IDR,3.0,0.053622305049325074
2013-01-08,IDR,4.0,0.054698363996243955
2013-01-08,IDR,5.0,0.05470033282314637
2013-01-09,IDR,0.75,0.05255512208969787
2013-01-09,IDR,1.0,0.05374599900342299
2013-01-09,IDR,2.0,0.05363253206282678
2013-01-09,IDR,3.0,0.053623103875523645
2013-01-09,IDR,4.0,0.05469701397784692
2013-01-09,IDR,5.0,0.05469893279894374
2013-01-10,IDR,0.75,0.05248210053925654
2013-01-10,IDR,1.0,0.05371264854543196
2013-01-10,IDR,2.0,0.05360415990358659
2013-01-10,IDR,3.0,0.0535961575038644
2013-01-10,IDR,4.0,0.05466641195368978
2013-01-10,IDR,5.0,0.05469696481376245
2013-01-11,IDR,0.75,0.05245938102850407
2013-01-11,IDR,1.0,0.05370060510491215
2013-01-11,IDR,2.0,0.05360462493551289
2013-01-11,IDR,3.0,0.053596362855597934
2013-01-11,IDR,4.0,0.0546692427585694
2013-01-11,IDR,5.0,0.05469418264165054
2013-01-14,IDR,0.75,0.05255289961888096
2013-01-14,IDR,1.0,0.05376843556671459
2013-01-14,IDR,2.0,0.05363004653898049
2013-01-14,IDR,3.0,0.053614640681394064
2013-01-14,IDR,4.0,0.05469466079755293
2013-01-14,IDR,5.0,0.054699194166706384
2013-01-15,IDR,0.75,0.05262430835590541
2013-01-15,IDR,1.0,0.05382138122165714
2013-01-15,IDR,2.0,0.053638261738834375
2013-01-15,IDR,3.0,0.053616099798198924
2013-01-15,IDR,4.0,0.054696344657344916
2013-01-15,IDR,5.0,0.054698259098358445
2013-01-16,IDR,0.75,0.05265879991240983
2013-01-16,IDR,1.0,0.053822215106312805
2013-01-16,IDR,2.0,0.05363341870728249
2013-01-16,IDR,3.0,0.05361823772823213
2013-01-16,IDR,4.0,0.05469567092564421
2013-01-16,IDR,5.0,0.054697717352741454
2013-01-17,IDR,0.75,0.05250618290063885
2013-01-17,IDR,1.0,0.05373550568958105
2013-01-17,IDR,2.0,0.05359023302952584
2013-01-17,IDR,3.0,0.05358107253271459
2013-01-17,IDR,4.0,0.05465939315986109
2013-01-17,IDR,5.0,0.054686051229673974
2013-01-18,IDR,0.75,0.05257888299787491
2013-01-18,IDR,1.0,0.05384798390134068
2013-01-18,IDR,2.0,0.05358893017432509
2013-01-18,IDR,3.0,0.053572879760632255
2013-01-18,IDR,4.0,0.05466085858844488
2013-01-18,IDR,5.0,0.05468489947028693
2013-01-21,IDR,0.75,0.05268474020735557
2013-01-21,IDR,1.0,0.05391206107160277
2013-01-21,IDR,2.0,0.053626547667393956
2013-01-21,IDR,3.0,0.053614343425928496
2013-01-21,IDR,4.0,0.05469530914804495
2013-01-21,IDR,5.0,0.05469714928421853
2013-01-22,IDR,0.75,0.052623590619603894
2013-01-22,IDR,1.0,0.053832998543444886
2013-01-22,IDR,2.0,0.0536346023450286
2013-01-22,IDR,3.0,0.05361875598828214
2013-01-22,IDR,4.0,0.054696138691840125
2013-01-22,IDR,5.0,0.0546980172792624
2013-01-23,IDR,0.75,0.052625927984003354
2013-01-23,IDR,1.0,0.05381718413987142
2013-01-23,IDR,2.0,0.053631001299816405
2013-01-23,IDR,3.0,0.05362160522603899
2013-01-23,IDR,4.0,0.05469602705650183
2013-01-23,IDR,5.0,0.0546979238361437
2013-01-24,IDR,0.75,0.0525184807262292
2013-01-24,IDR,1.0,0.053757295528017564
2013-01-24,IDR,2.0,0.053603619310352776
2013-01-24,IDR,3.0,0.05359525647141554
2013-01-24,IDR,4.0,0.05466861029837256
2013-01-24,IDR,5.0,0.05469337262494298
2013-01-25,IDR,0.75,0.05252102681582148
2013-01-25,IDR,1.0,0.053757224359142784
2013-01-25,IDR,2.0,0.05360351315153387
2013-01-25,IDR,3.0,0.05359511951125227
2013-01-25,IDR,4.0,0.05467113521834591
2013-01-25,IDR,5.0,0.05469031823712662
2013-01-28,IDR,0.75,0.05262234971952014
2013-01-28,IDR,1.0,0.05383686085570959
2013-01-28,IDR,2.0,0.0536283136561386
2013-01-28,IDR,3.0,0.053624588387157085
2013-01-28,IDR,4.0,0.054696145192341304
2013-01-28,IDR,5.0,0.05469777012777264
2013-01-29,IDR,0.75,0.05262605039701725
2013-01-29,IDR,1.0,0.053844476847203324
2013-01-29,IDR,2.0,0.05362476534140988
2013-01-29,IDR,3.0,0.05362725554066
2013-01-29,IDR,4.0,0.054695952583763516
2013-01-29,IDR,5.0,0.05469750490324167
2013-01-30,IDR,0.75,0.052644456183437924
2013-01-30,IDR,1.0,0.05385524498631197
2013-01-30,IDR,2.0,0.053630266395134414
2013-01-30,IDR,3.0,0.0536208708583999
2013-01-30,IDR,4.0,0.054695527630677705
2013-01-30,IDR,5.0,0.05469743031895075
2013-01-31,IDR,0.75,0.052538639913368476
2013-01-31,IDR,1.0,0.05379888600658463
2013-01-31,IDR,2.0,0.05360337910586137
2013-01-31,IDR,3.0,0.05359465727055901
2013-01-31,IDR,4.0,0.0546683525605685
2013-01-31,IDR,5.0,0.05469287914206801
2013-02-01,IDR,0.75,0.05255836581223595
2013-02-01,IDR,1.0,0.05383931220161207
2013-02-01,IDR,2.0,0.05360262834670258
2013-02-01,IDR,3.0,0.0535936183009143
2013-02-01,IDR,4.0,0.05467038544000008
2013-02-01,IDR,5.0,0.054689234830321995
2013-02-04,IDR,0.75,0.05267417242539413
2013-02-04,IDR,1.0,0.053927692011423424
2013-02-04,IDR,2.0,0.05362635265836345
2013-02-04,IDR,3.0,0.053614208373771184
2013-02-04,IDR,4.0,0.05469515213000907
2013-02-04,IDR,5.0,0.05469702480777925
2013-02-05,IDR,0.75,0.05267625309908536
2013-02-05,IDR,1.0,0.053927450513692445
2013-02-05,IDR,2.0,0.05363326531817625
2013-02-05,IDR,3.0,0.05361700575599189
2013-02-05,IDR,4.0,0.0546950508754335
2013-02-05,IDR,5.0,0.05469686910838322
2013-02-06,IDR,0.75,0.05273357405917081
2013-02-06,IDR,1.0,0.05397512783117106
2013-02-06,IDR,2.0,0.053627859202988216
2013-02-06,IDR,3.0,0.05361843890786416
2013-02-06,IDR,4.0,0.05469394247888617
2013-02-06,IDR,5.0,0.054695782726080645
2013-02-07,IDR,0.75,0.052625786858555894
2013-02-07,IDR,1.0,0.05391789607609353
2013-02-07,IDR,2.0,0.05360121248598351
2013-02-07,IDR,3.0,0.05359199163825661
2013-02-07,IDR,4.0,0.05466690877821165
2013-02-07,IDR,5.0,0.054690947462157205
2013-02-08,IDR,0.75,0.052625911414676194
2013-02-08,IDR,1.0,0.053917546407913255
2013-02-08,IDR,2.0,0.053600992285438985
2013-02-08,IDR,3.0,0.05359177548172381
2013-02-08,IDR,4.0,0.05466931497415502
2013-02-08,IDR,5.0,0.054687974203685825
2013-02-11,IDR,0.75,0.05229414628125482
2013-02-11,IDR,1.0,0.05344332817149552
2013-02-11,IDR,2.0,0.05363752391719048
2013-02-11,IDR,3.0,0.05362208459212776
2013-02-11,IDR,4.0,0.0547016028713463
2013-02-11,IDR,5.0,0.05470370619702942
2013-02-12,IDR,0.75,0.05226736995793037
2013-02-12,IDR,1.0,0.05340273066295946
2013-02-12,IDR,2.0,0.053644920790173224
2013-02-12,IDR,3.0,0.05362543074434199
2013-02-12,IDR,4.0,0.054702070216135164
2013-02-12,IDR,5.0,0.05470412866170233
2013-02-13,IDR,0.75,0.05223355066209636
2013-02-13,IDR,1.0,0.05332978169397922
2013-02-13,IDR,2.0,0.05364292393295176
2013-02-13,IDR,3.0,0.05362896824543377
2013-02-13,IDR,4.0,0.0547025228239153
2013-02-13,IDR,5.0,0.054704684136348616
2013-02-14,IDR,0.75,0.052114154649713876
2013-02-14,IDR,1.0,0.053275784113905614
2013-02-14,IDR,2.0,0.05359796289121445
2013-02-14,IDR,3.0,0.05359176892534078
2013-02-14,IDR,4.0,0.05466240900869914
2013-02-14,IDR,5.0,0.05469663755741576
2013-02-15,IDR,0.75,0.05211061286302341
2013-02-15,IDR,1.0,0.053256159959221665
2013-02-15,IDR,2.0,0.053597991664140844
2013-02-15,IDR,3.0,0.05358718453503505
2013-02-15,IDR,4.0,0.054665300957968455
2013-02-15,IDR,5.0,0.05469413740261508
2013-02-18,IDR,0.75,0.05218159840413537
2013-02-18,IDR,1.0,0.0533346721220955
2013-02-18,IDR,2.0,0.05364064734359667
2013-02-18,IDR,3.0,0.05362731420404476
2013-02-18,IDR,4.0,0.054700493559388705
2013-02-18,IDR,5.0,0.05470521528294568
2013-02-19,IDR,0.75,0.05223598671417477
2013-02-19,IDR,1.0,0.053435457213298294
2013-02-19,IDR,2.0,0.05364369734121555
2013-02-19,IDR,3.0,0.05362781893088077
2013-02-19,IDR,4.0,0.05470215622993272
2013-02-19,IDR,5.0,0.0547038418763268
2013-02-20,IDR,0.75,0.052246423256770036
2013-02-20,IDR,1.0,0.05342110939131925
2013-02-20,IDR,2.0,0.0536407569038748
2013-02-20,IDR,3.0,0.05363027228670675
2013-02-20,IDR,4.0,0.05470192408708142
2013-02-20,IDR,5.0,0.054703654145364704
2013-02-21,IDR,0.75,0.052164723797610967
2013-02-21,IDR,1.0,0.05336267120894703
2013-02-21,IDR,2.0,0.05361217277378244
2013-02-21,IDR,3.0,0.05360422069889598
2013-02-21,IDR,4.0,0.05467388328401481
2013-02-21,IDR,5.0,0.054699653861318094
2013-02-22,IDR,0.75,0.05219657404803224
2013-02-22,IDR,1.0,0.05336977871570917
2013-02-22,IDR,2.0,0.053611435821374134
2013-02-22,IDR,3.0,0.05360375981615137
2013-02-22,IDR,4.0,0.05467622786381104
2013-02-22,IDR,5.0,0.05469621029909313
2013-02-25,IDR,0.75,0.052301652640108526
2013-02-25,IDR,1.0,0.0534558331000193
2013-02-25,IDR,2.0,0.05363785831370935
2013-02-25,IDR,3.0,0.053624599181693884
2013-02-25,IDR,4.0,0.05470168083122355
2013-02-25,IDR,5.0,0.05470354037035846
2013-02-26,IDR,0.75,0.05231394864165628
2013-02-26,IDR,1.0,0.05345569324859017
2013-02-26,IDR,2.0,0.0536351064024994
2013-02-26,IDR,3.0,0.053626916629005594
2013-02-26,IDR,4.0,0.054701467510512955
2013-02-26,IDR,5.0,0.05470327687253893
2013-02-27,IDR,0.75,0.05224658665361152
2013-02-27,IDR,1.0,0.05342579179089288
2013-02-27,IDR,2.0,0.0536417480525775
2013-02-27,IDR,3.0,0.053627981685953764
2013-02-27,IDR,4.0,0.054702347398411844
