Date,Currency,Term,Value
2013-01-02,ILS,0.75,0.01693558051578393
2013-01-02,ILS,1.0,0.016860384164556236
2013-01-02,ILS,2.0,0.017932648777012353
2013-01-02,ILS,3.0,0.019831183873658523
2013-01-02,ILS,4.0,0.022344258739241257
2013-01-02,ILS,5.0,0.025001537796034166
2013-01-03,ILS,0.75,0.01694069808271647
2013-01-03,ILS,1.0,0.016957696631890062
2013-01-03,ILS,2.0,0.018025860556804274
2013-01-03,ILS,3.0,0.019912342675383967
2013-01-03,ILS,4.0,0.022406216523497054
2013-01-03,ILS,5.0,0.025069301928309095
2013-01-04,ILS,0.75,0.01723680368357048
2013-01-04,ILS,1.0,0.01715647947310912
2013-01-04,ILS,2.0,0.01841511766915055
2013-01-04,ILS,3.0,0.020404565835343415
2013-01-04,ILS,4.0,0.02300612715969436
2013-01-04,ILS,5.0,0.025774482404990143
2013-01-07,ILS,0.75,0.017134366983674872
2013-01-07,ILS,1.0,0.017056455294800273
2013-01-07,ILS,2.0,0.018231594624225383
2013-01-07,ILS,3.0,0.020213000916847513
2013-01-07,ILS,4.0,0.022739037558374434
2013-01-07,ILS,5.0,0.025499777113225087
2013-01-08,ILS,0.75,0.0170016138223467
2013-01-08,ILS,1.0,0.01695800031433383
2013-01-08,ILS,2.0,0.018026075277749017
2013-01-08,ILS,3.0,0.0199229648785914
2013-01-08,ILS,4.0,0.022442233230119017
2013-01-08,ILS,5.0,0.025202543302625908
2013-01-09,ILS,0.75,0.016802844195641643
2013-01-09,ILS,1.0,0.016761200647312603
2013-01-09,ILS,2.0,0.01773712371849004
2013-01-09,ILS,3.0,0.019534542798798325
2013-01-09,ILS,4.0,0.02204691682797743
2013-01-09,ILS,5.0,0.024806737471819204
2013-01-10,ILS,0.75,0.017068541380200607
2013-01-10,ILS,1.0,0.017242449293685076
2013-01-10,ILS,2.0,0.018223715714875216
2013-01-10,ILS,3.0,0.020007738420291035
2013-01-10,ILS,4.0,0.022493612060760393
2013-01-10,ILS,5.0,0.02525892880514738
2013-01-11,ILS,0.75,0.017135548778585315
2013-01-11,ILS,1.0,0.01715275302666656
2013-01-11,ILS,2.0,0.018124001920643208
2013-01-11,ILS,3.0,0.01991035886795906
2013-01-11,ILS,4.0,0.02240280872850589
2013-01-11,ILS,5.0,0.025168629999488684
2013-01-14,ILS,0.75,0.017033630507855373
2013-01-14,ILS,1.0,0.017054478082504276
2013-01-14,ILS,2.0,0.018035793598153577
2013-01-14,ILS,3.0,0.019810847385605748
2013-01-14,ILS,4.0,0.022233137986630163
2013-01-14,ILS,5.0,0.025000892261651395
2013-01-15,ILS,0.75,0.01683686325630221
2013-01-15,ILS,1.0,0.01676309030064099
2013-01-15,ILS,2.0,0.017727735257837187
2013-01-15,ILS,3.0,0.019522856618823328
2013-01-15,ILS,4.0,0.021946667582639447
2013-01-15,ILS,5.0,0.02460283863464082
2013-01-16,ILS,0.75,0.01700160230584682
2013-01-16,ILS,1.0,0.016956499597057213
2013-01-16,ILS,2.0,0.017928424107285967
2013-01-16,ILS,3.0,0.019725587699826796
2013-01-16,ILS,4.0,0.022041936297014043
2013-01-16,ILS,5.0,0.024698109659552048
2013-01-17,ILS,0.75,0.01713889028608358
2013-01-17,ILS,1.0,0.01715274688571215
2013-01-17,ILS,2.0,0.018119053484539495
2013-01-17,ILS,3.0,0.019902817764570625
