Date,Currency,Term,Value
2013-01-02,INR,0.75,0.0632076186376788
2013-01-02,INR,1.0,0.060155530833478806
2013-01-02,INR,2.0,0.05700091318004835
2013-01-02,INR,3.0,0.054748255394454784
2013-01-02,INR,4.0,0.052865772240226316
2013-01-02,INR,5.0,0.05398666612027497
2013-01-03,INR,0.75,0.06347600996628436
2013-01-03,INR,1.0,0.060468658613982186
2013-01-03,INR,2.0,0.05707092549721695
2013-01-03,INR,3.0,0.05475714387469217
2013-01-03,INR,4.0,0.052915855582645895
2013-01-03,INR,5.0,0.05345974917753375
2013-01-04,INR,0.75,0.06337810722507399
2013-01-04,INR,1.0,0.06030416787635943
2013-01-04,INR,2.0,0.057068658589758535
2013-01-04,INR,3.0,0.05475664615278308
2013-01-04,INR,4.0,0.05291271068557007
2013-01-04,INR,5.0,0.05346561461559777
2013-01-07,INR,0.75,0.06292462202032009
2013-01-07,INR,1.0,0.059995744323451713
2013-01-07,INR,2.0,0.057001268036032546
2013-01-07,INR,3.0,0.054712465018460915
2013-01-07,INR,4.0,0.05286964817436751
2013-01-07,INR,5.0,0.0534495501874377
2013-01-08,INR,0.75,0.0636039926175467
2013-01-08,INR,1.0,0.06057773903831683
2013-01-08,INR,2.0,0.05698687993392449
2013-01-08,INR,3.0,0.054689680657903104
2013-01-08,INR,4.0,0.05285938681949925
2013-01-08,INR,5.0,0.0534403157940611
2013-01-09,INR,0.75,0.06514190863258788
2013-01-09,INR,1.0,0.061879661756423524
2013-01-09,INR,2.0,0.056945566205010026
2013-01-09,INR,3.0,0.05465409297405643
2013-01-09,INR,4.0,0.05284043772556755
2013-01-09,INR,5.0,0.05342279532552427
2013-01-10,INR,0.75,0.06560674640449814
2013-01-10,INR,1.0,0.06225624402297986
2013-01-10,INR,2.0,0.057003845112087774
2013-01-10,INR,3.0,0.054706243813253355
2013-01-10,INR,4.0,0.05288524016486663
2013-01-10,INR,5.0,0.05342141190962104
2013-01-11,INR,0.75,0.06585338056186707
2013-01-11,INR,1.0,0.06264694871428537
2013-01-11,INR,2.0,0.05700619638793353
2013-01-11,INR,3.0,0.054703746269464476
2013-01-11,INR,4.0,0.05288326636831035
2013-01-11,INR,5.0,0.05342545125764355
2013-01-14,INR,0.75,0.06473044271625915
2013-01-14,INR,1.0,0.06173675493304921
2013-01-14,INR,2.0,0.057705256642781436
2013-01-14,INR,3.0,0.05542284988912421
2013-01-14,INR,4.0,0.05438715927036926
2013-01-14,INR,5.0,0.05334923870012373
2013-01-15,INR,0.75,0.06628795453585928
2013-01-15,INR,1.0,0.06301583389858713
2013-01-15,INR,2.0,0.0576771892221261
2013-01-15,INR,3.0,0.05538580380019931
2013-01-15,INR,4.0,0.05436182066858523
2013-01-15,INR,5.0,0.05413945197901297
2013-01-16,INR,0.75,0.06681357931766158
2013-01-16,INR,1.0,0.06374014886358663
2013-01-16,INR,2.0,0.05763038374863809
2013-01-16,INR,3.0,0.05534760678158142
2013-01-16,INR,4.0,0.054339217513896025
2013-01-16,INR,5.0,0.05411923240272096
2013-01-17,INR,0.75,0.06743688025707098
2013-01-17,INR,1.0,0.06437426293115857
2013-01-17,INR,2.0,0.05775670281677846
2013-01-17,INR,3.0,0.05543651027814864
2013-01-17,INR,4.0,0.05440913124066907
2013-01-17,INR,5.0,0.0541688653898701
2013-01-18,INR,0.75,0.06811980920724411
2013-01-18,INR,1.0,0.0650192502051065
2013-01-18,INR,2.0,0.057743991525694614
2013-01-18,INR,3.0,0.05542774956418419
2013-01-18,INR,4.0,0.05439937046388387
2013-01-18,INR,5.0,0.05415797879522664
2013-01-21,INR,0.75,0.06815451893802044
2013-01-21,INR,1.0,0.06496055010391807
2013-01-21,INR,2.0,0.05759990153745776
2013-01-21,INR,3.0,0.0553364889976973
2013-01-21,INR,4.0,0.0543315156159264
2013-01-21,INR,5.0,0.05410982524545821
2013-01-22,INR,0.75,0.0676456128748085
2013-01-22,INR,1.0,0.06462063442186308
2013-01-22,INR,2.0,0.05763114095635993
2013-01-22,INR,3.0,0.055340163051642036
2013-01-22,INR,4.0,0.05433661258934114
2013-01-22,INR,5.0,0.054114278871991786
2013-01-23,INR,0.75,0.0672591508366353
2013-01-23,INR,1.0,0.06432720948683864
2013-01-23,INR,2.0,0.05738370661482862
2013-01-23,INR,3.0,0.055358323749939126
2013-01-23,INR,4.0,0.053823074691846114
2013-01-23,INR,5.0,0.054134014613071456
2013-01-24,INR,0.75,0.06670938180635039
2013-01-24,INR,1.0,0.0638200326471582
2013-01-24,INR,2.0,0.05746317467316971
2013-01-24,INR,3.0,0.0554196516392538
2013-01-24,INR,4.0,0.053874604764603734
2013-01-24,INR,5.0,0.05415017951835941
2013-01-25,INR,0.75,0.06789317847175218
2013-01-25,INR,1.0,0.06491141502708768
2013-01-25,INR,2.0,0.057435169640528055
2013-01-25,INR,3.0,0.05539494559444017
2013-01-25,INR,4.0,0.053857117953898276
2013-01-25,INR,5.0,0.05414005900297186
2013-01-28,INR,0.75,0.06835961955754984
2013-01-28,INR,1.0,0.06534955008816312
2013-01-28,INR,2.0,0.05732853284647877
2013-01-28,INR,3.0,0.05532201956468565
2013-01-28,INR,4.0,0.05380071194814948
2013-01-28,INR,5.0,0.05411391411565627
2013-01-29,INR,0.75,0.06829069464165016
2013-01-29,INR,1.0,0.06552540702313316
2013-01-29,INR,2.0,0.0573261562214231
2013-01-29,INR,3.0,0.05532395515104
2013-01-29,INR,4.0,0.05380534280926785
2013-01-29,INR,5.0,0.054116390527030656
2013-01-30,INR,0.75,0.06980778354863693
2013-01-30,INR,1.0,0.06712085345631054
2013-01-30,INR,2.0,0.05801611018777957
2013-01-30,INR,3.0,0.0552708147669399
2013-01-30,INR,4.0,0.05375988111319352
2013-01-30,INR,5.0,0.0540827239674063
2013-01-31,INR,0.75,0.07016979102733402
2013-01-31,INR,1.0,0.06724548744321414
2013-01-31,INR,2.0,0.05809060832152104
2013-01-31,INR,3.0,0.05532626855139001
2013-01-31,INR,4.0,0.05380769122159724
2013-01-31,INR,5.0,0.05409543556937648
2013-02-01,INR,0.75,0.07007954353621061
2013-02-01,INR,1.0,0.06744999263170363
2013-02-01,INR,2.0,0.05809329494577967
2013-02-01,INR,3.0,0.055320928880632544
2013-02-01,INR,4.0,0.053804268793542526
2013-02-01,INR,5.0,0.05409664845294862
2013-02-04,INR,0.75,0.07095791311584955
2013-02-04,INR,1.0,0.0682193757060117
2013-02-04,INR,2.0,0.057968870652178456
2013-02-04,INR,3.0,0.05525373308780544
2013-02-04,INR,4.0,0.05374451010771407
2013-02-04,INR,5.0,0.054067459167864554
2013-02-05,INR,0.75,0.0692434491788271
2013-02-05,INR,1.0,0.06648779587427467
2013-02-05,INR,2.0,0.05804476596636111
2013-02-05,INR,3.0,0.05528838857290104
2013-02-05,INR,4.0,0.05376785196708434
2013-02-05,INR,5.0,0.054091123699275136
2013-02-06,INR,0.75,0.07124119732094544
2013-02-06,INR,1.0,0.06845213236378306
2013-02-06,INR,2.0,0.05797597620740322
2013-02-06,INR,3.0,0.05523909627355441
2013-02-06,INR,4.0,0.05373912133238107
2013-02-06,INR,5.0,0.05406292415814614
2013-02-07,INR,0.75,0.07091700121344041
2013-02-07,INR,1.0,0.06799881479145208
2013-02-07,INR,2.0,0.058126055226892175
2013-02-07,INR,3.0,0.055340512858753944
2013-02-07,INR,4.0,0.0538237844883163
2013-02-07,INR,5.0,0.0541017053666687
2013-02-08,INR,0.75,0.07093257783230263
2013-02-08,INR,1.0,0.0680291424545935
2013-02-08,INR,2.0,0.05813830069310737
2013-02-08,INR,3.0,0.05534855111150912
2013-02-08,INR,4.0,0.053826692431589565
2013-02-08,INR,5.0,0.054112879328211946
2013-02-11,INR,0.75,0.07097841761681364
2013-02-11,INR,1.0,0.06803025693108775
2013-02-11,INR,2.0,0.05797335618180953
2013-02-11,INR,3.0,0.05526268007112142
2013-02-11,INR,4.0,0.05374503603226814
2013-02-11,INR,5.0,0.05488080709039974
2013-02-12,INR,0.75,0.07153134325527495
2013-02-12,INR,1.0,0.06832233938264315
2013-02-12,INR,2.0,0.05800776732405963
2013-02-12,INR,3.0,0.05524904521058205
2013-02-12,INR,4.0,0.05373717798449221
2013-02-12,INR,5.0,0.054875187830434186
2013-02-13,INR,0.75,0.07073254725726386
2013-02-13,INR,1.0,0.0685399926043422
2013-02-13,INR,2.0,0.058006608205279156
2013-02-13,INR,3.0,0.05523961184889179
2013-02-13,INR,4.0,0.053738111757193556
2013-02-13,INR,5.0,0.05487047213239744
2013-02-14,INR,0.75,0.07082945808539681
2013-02-14,INR,1.0,0.06802699822789834
2013-02-14,INR,2.0,0.05813375302471448
2013-02-14,INR,3.0,0.05533928221353722
2013-02-14,INR,4.0,0.053819383326014034
2013-02-14,INR,5.0,0.05488490424404699
2013-02-15,INR,0.75,0.07067527503207695
2013-02-15,INR,1.0,0.0679896880900363
2013-02-15,INR,2.0,0.058137170318064646
2013-02-15,INR,3.0,0.05534775468203951
2013-02-15,INR,4.0,0.05381828361521156
2013-02-15,INR,5.0,0.05489581748508039
2013-02-18,INR,0.75,0.0707958792068504
2013-02-18,INR,1.0,0.06804569225889069
2013-02-18,INR,2.0,0.057972222360814785
2013-02-18,INR,3.0,0.05525663807234148
2013-02-18,INR,4.0,0.05374673699906862
2013-02-18,INR,5.0,0.05487956169626561
2013-02-19,INR,0.75,0.07076820293272491
2013-02-19,INR,1.0,0.06800014394906642
2013-02-19,INR,2.0,0.05800860063749736
2013-02-19,INR,3.0,0.055252620250836146
2013-02-19,INR,4.0,0.053743847915943936
2013-02-19,INR,5.0,0.054879323457890365
2013-02-20,INR,0.75,0.07118059900665223
2013-02-20,INR,1.0,0.06839349521390177
2013-02-20,INR,2.0,0.059546575368045425
2013-02-20,INR,3.0,0.057271761397929166
2013-02-20,INR,4.0,0.05363432140122453
2013-02-20,INR,5.0,0.05474879249960667
2013-02-21,INR,0.75,0.07133263169452655
2013-02-21,INR,1.0,0.06840999306375342
2013-02-21,INR,2.0,0.06188440739569824
2013-02-21,INR,3.0,0.05726176423381917
2013-02-21,INR,4.0,0.053622025783997156
2013-02-21,INR,5.0,0.0547030843517649
2013-02-22,INR,0.75,0.07124332376484514
2013-02-22,INR,1.0,0.06837492836061253
2013-02-22,INR,2.0,0.06188366509223143
2013-02-22,INR,3.0,0.05726141087943977
2013-02-22,INR,4.0,0.05361638262026186
2013-02-22,INR,5.0,0.0547162763684655
2013-02-25,INR,0.75,0.07159067792463394
2013-02-25,INR,1.0,0.06851852862710554
2013-02-25,INR,2.0,0.06178442895685706
2013-02-25,INR,3.0,0.05843693205144477
2013-02-25,INR,4.0,0.055836333931134935
2013-02-25,INR,5.0,0.055682173637344665
