Date,Currency,Term,Value
2013-01-02,JPY,0.75,0.0025492061595506917
2013-01-02,JPY,1.0,0.002398416524799289
2013-01-02,JPY,2.0,0.002182018762698082
2013-01-02,JPY,3.0,0.0022297196941710833
2013-01-02,JPY,4.0,0.0025567973200975548
2013-01-02,JPY,5.0,0.003156642373173334
2013-01-03,JPY,0.75,0.0025832005792540903
2013-01-03,JPY,1.0,0.0024227348245118253
2013-01-03,JPY,2.0,0.002186177062824906
2013-01-03,JPY,3.0,0.0022314553613094028
2013-01-03,JPY,4.0,0.0025532342046692934
2013-01-03,JPY,5.0,0.003151117979754596
2013-01-04,JPY,0.75,0.002616876605182079
2013-01-04,JPY,1.0,0.002479696668165025
2013-01-04,JPY,2.0,0.002263818222231746
2013-01-04,JPY,3.0,0.002359367057797893
2013-01-04,JPY,4.0,0.002732712171158661
2013-01-04,JPY,5.0,0.0033721616318324356
2013-01-07,JPY,0.75,0.0026081315701552833
2013-01-07,JPY,1.0,0.0024726062963049
2013-01-07,JPY,2.0,0.002281105961742759
2013-01-07,JPY,3.0,0.00235785530821145
2013-01-07,JPY,4.0,0.002696364022338762
2013-01-07,JPY,5.0,0.003306372797366347
2013-01-08,JPY,0.75,0.0026029297882059193
2013-01-08,JPY,1.0,0.0024687008237221524
2013-01-08,JPY,2.0,0.0022811998299675585
2013-01-08,JPY,3.0,0.002348393072849326
2013-01-08,JPY,4.0,0.0026764396668122487
2013-01-08,JPY,5.0,0.0032563302157216025
2013-01-09,JPY,0.75,0.002623064135351575
2013-01-09,JPY,1.0,0.002499933237175977
2013-01-09,JPY,2.0,0.002300653444164616
2013-01-09,JPY,3.0,0.0023488431566645387
2013-01-09,JPY,4.0,0.0026463889252460104
2013-01-09,JPY,5.0,0.003206112258709793
2013-01-10,JPY,0.75,0.0026285290634526473
2013-01-10,JPY,1.0,0.0024963416586901515
2013-01-10,JPY,2.0,0.0022938258516281345
2013-01-10,JPY,3.0,0.0023299925264659146
2013-01-10,JPY,4.0,0.0026214784434165183
2013-01-10,JPY,5.0,0.003188419158492218
2013-01-11,JPY,0.75,0.0025957047825094152
2013-01-11,JPY,1.0,0.0024748542763485632
2013-01-11,JPY,2.0,0.0020835065048127694
2013-01-11,JPY,3.0,0.002080549766561587
2013-01-11,JPY,4.0,0.0023625203435289153
2013-01-11,JPY,5.0,0.0029400792840830366
2013-01-14,JPY,0.75,0.0024926993664305024
2013-01-14,JPY,1.0,0.002322625682585457
2013-01-14,JPY,2.0,0.002081153911280033
2013-01-14,JPY,3.0,0.002078128990665364
2013-01-14,JPY,4.0,0.002365240477718864
2013-01-14,JPY,5.0,0.002945977568577712
2013-01-15,JPY,0.75,0.0024780932046901305
2013-01-15,JPY,1.0,0.002302341807312878
2013-01-15,JPY,2.0,0.0019833251163701234
2013-01-15,JPY,3.0,0.0019402064076713076
2013-01-15,JPY,4.0,0.002157655268301884
2013-01-15,JPY,5.0,0.002666544278379076
2013-01-16,JPY,0.75,0.0025000640507484447
2013-01-16,JPY,1.0,0.0023417689605001123
2013-01-16,JPY,2.0,0.0020316222512765177
2013-01-16,JPY,3.0,0.0019996535235756964
2013-01-16,JPY,4.0,0.002197334960751678
2013-01-16,JPY,5.0,0.002656404459573523
2013-01-17,JPY,0.75,0.0024795237505557555
2013-01-17,JPY,1.0,0.002327973857416697
2013-01-17,JPY,2.0,0.00207454025149924
2013-01-17,JPY,3.0,0.002030676077132019
2013-01-17,JPY,4.0,0.0022147741141668766
2013-01-17,JPY,5.0,0.0026514933868384436
2013-01-18,JPY,0.75,0.0024461956017188587
2013-01-18,JPY,1.0,0.0022885195344855857
2013-01-18,JPY,2.0,0.00198627506865468
2013-01-18,JPY,3.0,0.0019412586500726662
2013-01-18,JPY,4.0,0.002155695790162818
2013-01-18,JPY,5.0,0.0026511827776218985
2013-01-21,JPY,0.75,0.002424533866474134
2013-01-21,JPY,1.0,0.0022620754450607098
2013-01-21,JPY,2.0,0.0019922361519187567
2013-01-21,JPY,3.0,0.0019499584757769154
2013-01-21,JPY,4.0,0.002147755927972186
2013-01-21,JPY,5.0,0.0026067078135507587
2013-01-22,JPY,0.75,0.0024870848252891613
2013-01-22,JPY,1.0,0.002350431715931074
2013-01-22,JPY,2.0,0.0020519260989511363
2013-01-22,JPY,3.0,0.0019997328861685267
2013-01-22,JPY,4.0,0.002187430952211036
2013-01-22,JPY,5.0,0.002626465020432628
2013-01-23,JPY,0.75,0.0025291654513529185
2013-01-23,JPY,1.0,0.0024138927765854743
2013-01-23,JPY,2.0,0.002180873182515644
2013-01-23,JPY,3.0,0.002139633470925552
2013-01-23,JPY,4.0,0.002307296785293449
2013-01-23,JPY,5.0,0.002736355556313607
2013-01-24,JPY,0.75,0.002528511994452978
2013-01-24,JPY,1.0,0.002408494211189077
2013-01-24,JPY,2.0,0.0021439023045390962
2013-01-24,JPY,3.0,0.0021109948300236997
2013-01-24,JPY,4.0,0.0022754796250890295
2013-01-24,JPY,5.0,0.0026821792662257236
2013-01-25,JPY,0.75,0.0024819904605896106
2013-01-25,JPY,1.0,0.0023392249963550527
2013-01-25,JPY,2.0,0.0020952988133278077
2013-01-25,JPY,3.0,0.0020517892754086755
2013-01-25,JPY,4.0,0.002226621966696125
2013-01-25,JPY,5.0,0.002644168340413821
2013-01-28,JPY,0.75,0.002491159445571468
2013-01-28,JPY,1.0,0.002356730748024556
2013-01-28,JPY,2.0,0.00210111054080477
2013-01-28,JPY,3.0,0.002089759355008462
2013-01-28,JPY,4.0,0.002307098082117153
2013-01-28,JPY,5.0,0.00278632529504151
2013-01-29,JPY,0.75,0.002495262526190104
2013-01-29,JPY,1.0,0.002364067853882518
2013-01-29,JPY,2.0,0.00215119753972652
2013-01-29,JPY,3.0,0.0021602723117300003
2013-01-29,JPY,4.0,0.0024270327558852337
2013-01-29,JPY,5.0,0.002936419185888308
2013-01-30,JPY,0.75,0.0025373946241936075
2013-01-30,JPY,1.0,0.0024263977416060342
2013-01-30,JPY,2.0,0.002180572042026279
2013-01-30,JPY,3.0,0.0021990840608072312
2013-01-30,JPY,4.0,0.0024565246199985064
2013-01-30,JPY,5.0,0.0029960417043941113
2013-01-31,JPY,0.75,0.002511749649559449
2013-01-31,JPY,1.0,0.0023841391496914415
2013-01-31,JPY,2.0,0.002144159354531436
2013-01-31,JPY,3.0,0.0021307323897746793
2013-01-31,JPY,4.0,0.002363930816435534
2013-01-31,JPY,5.0,0.002861272776658869
2013-02-01,JPY,0.75,0.0025239133370397984
2013-02-01,JPY,1.0,0.0024049512712660203
2013-02-01,JPY,2.0,0.0021426987893184563
2013-02-01,JPY,3.0,0.002159444615155485
2013-02-01,JPY,4.0,0.002433535094674551
2013-02-01,JPY,5.0,0.0029819787055897313
2013-02-04,JPY,0.75,0.0025442853651169743
2013-02-04,JPY,1.0,0.0024384863409306753
2013-02-04,JPY,2.0,0.002180409360584971
2013-02-04,JPY,3.0,0.002227569014699905
2013-02-04,JPY,4.0,0.0025758300537945134
2013-02-04,JPY,5.0,0.0032059491041634054
2013-02-05,JPY,0.75,0.0025437270302501296
2013-02-05,JPY,1.0,0.002427547067203694
2013-02-05,JPY,2.0,0.0021912556949796134
2013-02-05,JPY,3.0,0.002238527322817713
