Date,Currency,Term,Value
2013-01-02,KRW,0.75,0.02785360460548591
2013-01-02,KRW,1.0,0.027706198375142356
2013-01-02,KRW,2.0,0.027825516480420268
2013-01-02,KRW,3.0,0.02815834320512637
2013-01-02,KRW,4.0,0.028594612340870816
2013-01-02,KRW,5.0,0.029089865363662083
2013-01-03,KRW,0.75,0.027492937977429906
2013-01-03,KRW,1.0,0.027292545450141516
2013-01-03,KRW,2.0,0.027329933633712528
2013-01-03,KRW,3.0,0.02766021915607476
2013-01-03,KRW,4.0,0.028067347373382553
2013-01-03,KRW,5.0,0.028484026851359513
2013-01-04,KRW,0.75,0.02759168817848618
2013-01-04,KRW,1.0,0.027366978550025917
2013-01-04,KRW,2.0,0.02740316006000151
2013-01-04,KRW,3.0,0.02781038803115119
2013-01-04,KRW,4.0,0.02821887905828189
2013-01-04,KRW,5.0,0.02866126503381613
2013-01-07,KRW,0.75,0.02760764297302454
2013-01-07,KRW,1.0,0.027408293861019856
2013-01-07,KRW,2.0,0.027428446176102822
2013-01-07,KRW,3.0,0.027859068104188978
2013-01-07,KRW,4.0,0.02835017139695854
2013-01-07,KRW,5.0,0.028792020701003534
2013-01-08,KRW,0.75,0.02758252375671475
2013-01-08,KRW,1.0,0.027384373902792525
2013-01-08,KRW,2.0,0.027202039578693327
2013-01-08,KRW,3.0,0.02753398810034083
2013-01-08,KRW,4.0,0.027894968462628466
2013-01-08,KRW,5.0,0.02828479280109156
2013-01-09,KRW,0.75,0.02755773710985014
2013-01-09,KRW,1.0,0.02738653254775564
2013-01-09,KRW,2.0,0.027203247626705916
2013-01-09,KRW,3.0,0.027509560317016128
2013-01-09,KRW,4.0,0.027895366423002034
2013-01-09,KRW,5.0,0.028285261122321364
2013-01-10,KRW,0.75,0.027221921432567915
2013-01-10,KRW,1.0,0.027046942187883196
2013-01-10,KRW,2.0,0.026809775199762666
2013-01-10,KRW,3.0,0.0270866231351094
2013-01-10,KRW,4.0,0.027467238842832364
2013-01-10,KRW,5.0,0.02790942621833612
2013-01-11,KRW,0.75,0.02758981168123332
2013-01-11,KRW,1.0,0.02746368343597022
2013-01-11,KRW,2.0,0.02725558082070682
2013-01-11,KRW,3.0,0.027583087182495566
2013-01-11,KRW,4.0,0.02799174772117839
2013-01-11,KRW,5.0,0.02840825042212292
2013-01-14,KRW,0.75,0.027508310483235095
2013-01-14,KRW,1.0,0.027384021310311167
2013-01-14,KRW,2.0,0.027179398337262052
2013-01-14,KRW,3.0,0.027506523875796437
2013-01-14,KRW,4.0,0.027894972003463678
2013-01-14,KRW,5.0,0.028285919668385725
2013-01-15,KRW,0.75,0.0274589854087154
2013-01-15,KRW,1.0,0.027310214000894114
2013-01-15,KRW,2.0,0.027103755525309966
2013-01-15,KRW,3.0,0.02735759737857626
2013-01-15,KRW,4.0,0.027693996264930635
2013-01-15,KRW,5.0,0.028031756771239737
2013-01-16,KRW,0.75,0.027459119239996017
2013-01-16,KRW,1.0,0.027267507970255032
2013-01-16,KRW,2.0,0.027028883218474624
2013-01-16,KRW,3.0,0.02725884909580975
2013-01-16,KRW,4.0,0.027516784257216778
2013-01-16,KRW,5.0,0.027802245204725864
2013-01-17,KRW,0.75,0.027445073577792606
2013-01-17,KRW,1.0,0.02725168512103332
2013-01-17,KRW,2.0,0.026983777851867348
2013-01-17,KRW,3.0,0.027185316047708713
2013-01-17,KRW,4.0,0.02738936595475539
2013-01-17,KRW,5.0,0.02764762383609378
2013-01-18,KRW,0.75,0.027541872573217885
2013-01-18,KRW,1.0,0.027372964181187467
2013-01-18,KRW,2.0,0.027181886855046612
2013-01-18,KRW,3.0,0.027407097461787308
2013-01-18,KRW,4.0,0.02769026527001675
2013-01-18,KRW,5.0,0.028000730596732082
2013-01-21,KRW,0.75,0.02753294718624471
2013-01-21,KRW,1.0,0.027360625559518608
2013-01-21,KRW,2.0,0.027204510906352217
2013-01-21,KRW,3.0,0.027407439365539646
2013-01-21,KRW,4.0,0.027665528386349527
2013-01-21,KRW,5.0,0.02800359588229053
2013-01-22,KRW,0.75,0.027533279583633826
2013-01-22,KRW,1.0,0.02733601441406143
2013-01-22,KRW,2.0,0.027153115371324945
2013-01-22,KRW,3.0,0.02738342291848596
2013-01-22,KRW,4.0,0.02766687415246237
2013-01-22,KRW,5.0,0.02797870799336495
2013-01-23,KRW,0.75,0.027508489288279193
2013-01-23,KRW,1.0,0.027315258173312505
2013-01-23,KRW,2.0,0.027128893611795216
2013-01-23,KRW,3.0,0.02735957706117407
2013-01-23,KRW,4.0,0.02759065088717291
2013-01-23,KRW,5.0,0.02787621353470138
2013-01-24,KRW,0.75,0.027467848609177437
2013-01-24,KRW,1.0,0.027223618218177887
2013-01-24,KRW,2.0,0.027031702091751306
2013-01-24,KRW,3.0,0.027260562921395677
2013-01-24,KRW,4.0,0.027514587628199482
2013-01-24,KRW,5.0,0.027825947786367974
2013-01-25,KRW,0.75,0.02741752967068966
2013-01-25,KRW,1.0,0.027221953780006546
2013-01-25,KRW,2.0,0.02703243512970955
2013-01-25,KRW,3.0,0.02726057828207294
2013-01-25,KRW,4.0,0.02751533610593989
2013-01-25,KRW,5.0,0.027852936954038465
2013-01-28,KRW,0.75,0.027484045239988916
2013-01-28,KRW,1.0,0.027335078282394416
2013-01-28,KRW,2.0,0.02720503717341475
2013-01-28,KRW,3.0,0.027460722903527267
2013-01-28,KRW,4.0,0.02779374514792629
2013-01-28,KRW,5.0,0.028157593350649393
2013-01-29,KRW,0.75,0.02745898506367655
2013-01-29,KRW,1.0,0.02735904176621036
2013-01-29,KRW,2.0,0.027331110442780984
2013-01-29,KRW,3.0,0.02761235782458
2013-01-29,KRW,4.0,0.027943976096368957
2013-01-29,KRW,5.0,0.02833384752449335
2013-01-30,KRW,0.75,0.02763138867725245
2013-01-30,KRW,1.0,0.027605520155168067
2013-01-30,KRW,2.0,0.0275535879848286
2013-01-30,KRW,3.0,0.02783342398506788
2013-01-30,KRW,4.0,0.02819309420588991
2013-01-30,KRW,5.0,0.028609391325869808
2013-01-31,KRW,0.75,0.027635319961468334
2013-01-31,KRW,1.0,0.02760920411936865
2013-01-31,KRW,2.0,0.027554870518227494
2013-01-31,KRW,3.0,0.02783238630725751
2013-01-31,KRW,4.0,0.02813762828389404
2013-01-31,KRW,5.0,0.028553433931703898
2013-02-01,KRW,0.75,0.027660476390039188
2013-02-01,KRW,1.0,0.027633230895957824
2013-02-01,KRW,2.0,0.027604348605693215
2013-02-01,KRW,3.0,0.027907390147496172
2013-02-01,KRW,4.0,0.02821399696033848
2013-02-01,KRW,5.0,0.02860377170176679
2013-02-04,KRW,0.75,0.027631892661586076
2013-02-04,KRW,1.0,0.02758068786892606
2013-02-04,KRW,2.0,0.027578980573539243
2013-02-04,KRW,3.0,0.027907136246436457
2013-02-04,KRW,4.0,0.02829483729360447
2013-02-04,KRW,5.0,0.028710823147189403
2013-02-05,KRW,0.75,0.027557812547956834
2013-02-05,KRW,1.0,0.027482226655010062
2013-02-05,KRW,2.0,0.027453463936412223
2013-02-05,KRW,3.0,0.027733507134441716
2013-02-05,KRW,4.0,0.028067964044983743
2013-02-05,KRW,5.0,0.028510425207438954
2013-02-06,KRW,0.75,0.02743455264906742
2013-02-06,KRW,1.0,0.02731145135465092
2013-02-06,KRW,2.0,0.027255005273910088
2013-02-06,KRW,3.0,0.027510213621668243
2013-02-06,KRW,4.0,0.027843742883612806
2013-02-06,KRW,5.0,0.028259995117430936
2013-02-07,KRW,0.75,0.02746805423603354
