Date,Currency,Term,Value
2013-01-02,MYR,0.75,0.031918996860839426
2013-01-02,MYR,1.0,0.03186354380672666
2013-01-02,MYR,2.0,0.03216486160248425
2013-01-02,MYR,3.0,0.03283174615895983
2013-01-02,MYR,4.0,0.03386657082711243
2013-01-02,MYR,5.0,0.03497256680232687
2013-01-03,MYR,0.75,0.031775551159924
2013-01-03,MYR,1.0,0.03175389539260308
2013-01-03,MYR,2.0,0.031959143318289966
2013-01-03,MYR,3.0,0.032622156171327354
2013-01-03,MYR,4.0,0.03365018369295261
2013-01-03,MYR,5.0,0.03470559590334681
2013-01-04,MYR,0.75,0.03187340225074764
2013-01-04,MYR,1.0,0.03194479815959624
2013-01-04,MYR,2.0,0.0322551686655559
2013-01-04,MYR,3.0,0.03317340197491134
2013-01-04,MYR,4.0,0.03430920741786705
2013-01-04,MYR,5.0,0.035470417804393
2013-01-07,MYR,0.75,0.03182539669601731
2013-01-07,MYR,1.0,0.03176438311941053
2013-01-07,MYR,2.0,0.03206674346239478
2013-01-07,MYR,3.0,0.03298207582048925
2013-01-07,MYR,4.0,0.034074575390656184
2013-01-07,MYR,5.0,0.03523228529160802
2013-01-08,MYR,0.75,0.031930579010093274
2013-01-08,MYR,1.0,0.031716964772370224
2013-01-08,MYR,2.0,0.03201151553913308
2013-01-08,MYR,3.0,0.03283314592727682
2013-01-08,MYR,4.0,0.03397445700865099
2013-01-08,MYR,5.0,0.03513262970401741
2013-01-09,MYR,0.75,0.03204615916453741
2013-01-09,MYR,1.0,0.03182329564128338
2013-01-09,MYR,2.0,0.032113763671603554
2013-01-09,MYR,3.0,0.032884963706354686
2013-01-09,MYR,4.0,0.03397080668411049
2013-01-09,MYR,5.0,0.03518281848407174
2013-01-10,MYR,0.75,0.03196889210443203
2013-01-10,MYR,1.0,0.03190401763230365
2013-01-10,MYR,2.0,0.032305639838953244
2013-01-10,MYR,3.0,0.03312389415716813
2013-01-10,MYR,4.0,0.03425127067480931
2013-01-10,MYR,5.0,0.035413222127461376
2013-01-11,MYR,0.75,0.03192600102977436
2013-01-11,MYR,1.0,0.03209351680310017
