Date,Currency,Term,Value
2013-01-02,NOK,0.75,0.021423728057780173
2013-01-02,NOK,1.0,0.0222469183431601
2013-01-02,NOK,2.0,0.02083389611192121
2013-01-02,NOK,3.0,0.021965587317519145
2013-01-02,NOK,4.0,0.023411116071686902
2013-01-02,NOK,5.0,0.02499164684361974
2013-01-03,NOK,0.75,0.021192325478988194
2013-01-03,NOK,1.0,0.02196507936954278
2013-01-03,NOK,2.0,0.020797379490324622
2013-01-03,NOK,3.0,0.021928990017823273
2013-01-03,NOK,4.0,0.023372349663768385
2013-01-03,NOK,5.0,0.025060363576232564
2013-01-04,NOK,0.75,0.021002245778905193
2013-01-04,NOK,1.0,0.02185550538946128
2013-01-04,NOK,2.0,0.02094564483623417
2013-01-04,NOK,3.0,0.022075661572206303
2013-01-04,NOK,4.0,0.023622861307197447
2013-01-04,NOK,5.0,0.025415375069114645
2013-01-07,NOK,0.75,0.021163775155214348
2013-01-07,NOK,1.0,0.02219585836942871
2013-01-07,NOK,2.0,0.02090701591642747
2013-01-07,NOK,3.0,0.022036167933849698
2013-01-07,NOK,4.0,0.02359725272291695
2013-01-07,NOK,5.0,0.025386220785687662
2013-01-08,NOK,0.75,0.0213611979656746
2013-01-08,NOK,1.0,0.022198522095167858
2013-01-08,NOK,2.0,0.020863176151768095
2013-01-08,NOK,3.0,0.021893118163958742
2013-01-08,NOK,4.0,0.02339780919559245
2013-01-08,NOK,5.0,0.025135451249915865
2013-01-09,NOK,0.75,0.021362262753885482
2013-01-09,NOK,1.0,0.022187063064526436
2013-01-09,NOK,2.0,0.02081055962994635
2013-01-09,NOK,3.0,0.02184877448014176
2013-01-09,NOK,4.0,0.023298351301067943
2013-01-09,NOK,5.0,0.024984203284727287
2013-01-10,NOK,0.75,0.021395784356544892
2013-01-10,NOK,1.0,0.022153485028641014
2013-01-10,NOK,2.0,0.02104139444156467
2013-01-10,NOK,3.0,0.022172240563755555
2013-01-10,NOK,4.0,0.02366684310359519
2013-01-10,NOK,5.0,0.02535410826531548
2013-01-11,NOK,0.75,0.02119275033494327
2013-01-11,NOK,1.0,0.022048334435830697
2013-01-11,NOK,2.0,0.02123608573365839
2013-01-11,NOK,3.0,0.022417536666536172
2013-01-11,NOK,4.0,0.024016649297795328
2013-01-11,NOK,5.0,0.025706619391879775
2013-01-14,NOK,0.75,0.021162848488972406
2013-01-14,NOK,1.0,0.022005525930057297
2013-01-14,NOK,2.0,0.021200951057360723
2013-01-14,NOK,3.0,0.022433640742376172
2013-01-14,NOK,4.0,0.02399312885564399
2013-01-14,NOK,5.0,0.025679291266114512
2013-01-15,NOK,0.75,0.021161538130004116
2013-01-15,NOK,1.0,0.02191110658342715
2013-01-15,NOK,2.0,0.02076192922627105
2013-01-15,NOK,3.0,0.02214540259698261
2013-01-15,NOK,4.0,0.02370044711864709
2013-01-15,NOK,5.0,0.02543722798589458
2013-01-16,NOK,0.75,0.020868212186534448
2013-01-16,NOK,1.0,0.021609624487571644
2013-01-16,NOK,2.0,0.020811354092865036
2013-01-16,NOK,3.0,0.022153191644862
2013-01-16,NOK,4.0,0.023651031944131862
2013-01-16,NOK,5.0,0.025387977724301486
2013-01-17,NOK,0.75,0.021293495081044375
2013-01-17,NOK,1.0,0.021967818663238995
2013-01-17,NOK,2.0,0.02133173855996899
2013-01-17,NOK,3.0,0.02266839781445518
2013-01-17,NOK,4.0,0.024210501022324984
2013-01-17,NOK,5.0,0.02595180387526824
2013-01-18,NOK,0.75,0.020706445977157574
2013-01-18,NOK,1.0,0.021567339898073544
2013-01-18,NOK,2.0,0.021384738137413657
2013-01-18,NOK,3.0,0.022720889467010785
2013-01-18,NOK,4.0,0.02421638628455216
2013-01-18,NOK,5.0,0.02590686803790585
2013-01-21,NOK,0.75,0.021065603411792106
2013-01-21,NOK,1.0,0.021812924997684807
2013-01-21,NOK,2.0,0.02139799970557818
2013-01-21,NOK,3.0,0.02278226251603719
2013-01-21,NOK,4.0,0.02434023701148544
2013-01-21,NOK,5.0,0.026027092144085558
2013-01-22,NOK,0.75,0.021163558788797568
2013-01-22,NOK,1.0,0.022004819419377767
2013-01-22,NOK,2.0,0.021448381249799805
2013-01-22,NOK,3.0,0.022884017507846337
2013-01-22,NOK,4.0,0.02448854581622091
2013-01-22,NOK,5.0,0.02617541813540915
2013-01-23,NOK,0.75,0.021264294916904767
2013-01-23,NOK,1.0,0.02199906515599685
2013-01-23,NOK,2.0,0.02139737793167178
2013-01-23,NOK,3.0,0.022840423713223847
2013-01-23,NOK,4.0,0.024439272740404704
2013-01-23,NOK,5.0,0.026126150694821864
2013-01-24,NOK,0.75,0.021099688120653697
2013-01-24,NOK,1.0,0.022043927026914222
2013-01-24,NOK,2.0,0.02138420491631255
2013-01-24,NOK,3.0,0.022714308098760787
2013-01-24,NOK,4.0,0.024308727327047114
2013-01-24,NOK,5.0,0.026051672784258805
2013-01-25,NOK,0.75,0.021097166397787866
2013-01-25,NOK,1.0,0.0219483758512369
2013-01-25,NOK,2.0,0.021966696629593378
2013-01-25,NOK,3.0,0.023404750602058735
2013-01-25,NOK,4.0,0.02500100679493355
2013-01-25,NOK,5.0,0.02674543166220226
