Date,Currency,Term,Value
2013-01-02,NZD,0.75,0.025953144151194155
2013-01-02,NZD,1.0,0.025832596031747344
2013-01-02,NZD,2.0,0.026522611900201096
2013-01-02,NZD,3.0,0.027786436706464124
2013-01-02,NZD,4.0,0.029322923657734982
2013-01-02,NZD,5.0,0.030937994284111137
2013-01-03,NZD,0.75,0.026153722485163896
2013-01-03,NZD,1.0,0.02612253385822
2013-01-03,NZD,2.0,0.027221766284467618
2013-01-03,NZD,3.0,0.028512635436901537
2013-01-03,NZD,4.0,0.030127367905853887
2013-01-03,NZD,5.0,0.03182319002776178
2013-01-04,NZD,0.75,0.026458774656319822
2013-01-04,NZD,1.0,0.026333307227859568
2013-01-04,NZD,2.0,0.027672964768844593
2013-01-04,NZD,3.0,0.02898936125212368
2013-01-04,NZD,4.0,0.03060447136210092
2013-01-04,NZD,5.0,0.032295912210342
2013-01-07,NZD,0.75,0.026516084632825194
2013-01-07,NZD,1.0,0.0262435732451
2013-01-07,NZD,2.0,0.02762871943186
2013-01-07,NZD,3.0,0.028994886763200004
2013-01-07,NZD,4.0,0.030569940125926353
2013-01-07,NZD,5.0,0.032292700913177604
2013-01-08,NZD,0.75,0.026309410863532588
2013-01-08,NZD,1.0,0.02624682275552
2013-01-08,NZD,2.0,0.02747897984051
2013-01-08,NZD,3.0,0.02884557211135
2013-01-08,NZD,4.0,0.030425689365389377
2013-01-08,NZD,5.0,0.03214821403655887
2013-01-09,NZD,0.75,0.02631641796437497
2013-01-09,NZD,1.0,0.026254773417869998
2013-01-09,NZD,2.0,0.027328520324830005
2013-01-09,NZD,3.0,0.02868752203119624
2013-01-09,NZD,4.0,0.03028000188600744
2013-01-09,NZD,5.0,0.032032347446315675
2013-01-10,NZD,0.75,0.026368541960529582
2013-01-10,NZD,1.0,0.026368005056500003
2013-01-10,NZD,2.0,0.027490314699744934
2013-01-10,NZD,3.0,0.028783317116466825
2013-01-10,NZD,4.0,0.030315016328631365
2013-01-10,NZD,5.0,0.031978004480762594
2013-01-11,NZD,0.75,0.026574363616774958
2013-01-11,NZD,1.0,0.026493759516754485
2013-01-11,NZD,2.0,0.027821693603871586
2013-01-11,NZD,3.0,0.02919283920892
2013-01-11,NZD,4.0,0.03072618589248431
2013-01-11,NZD,5.0,0.03239154669606304
2013-01-14,NZD,0.75,0.026531611966936458
2013-01-14,NZD,1.0,0.02667234467218
2013-01-14,NZD,2.0,0.02779924538007
2013-01-14,NZD,3.0,0.029217069133580003
2013-01-14,NZD,4.0,0.030767394315470285
2013-01-14,NZD,5.0,0.03241064408021651
2013-01-15,NZD,0.75,0.026646550208276415
2013-01-15,NZD,1.0,0.026621058438909998
2013-01-15,NZD,2.0,0.028025121001539997
2013-01-15,NZD,3.0,0.029441926366770003
2013-01-15,NZD,4.0,0.030970595246762628
2013-01-15,NZD,5.0,0.03258795319327476
2013-01-16,NZD,0.75,0.026621067026418876
2013-01-16,NZD,1.0,0.026601841670580002
2013-01-16,NZD,2.0,0.02786328629536
2013-01-16,NZD,3.0,0.02928454342703345
2013-01-16,NZD,4.0,0.03082642215194684
2013-01-16,NZD,5.0,0.03237340129315481
2013-01-17,NZD,0.75,0.026478939608384558
2013-01-17,NZD,1.0,0.026317806838360002
2013-01-17,NZD,2.0,0.02761302068001448
2013-01-17,NZD,3.0,0.02899088914762534
2013-01-17,NZD,4.0,0.030476524774294286
2013-01-17,NZD,5.0,0.03200967775463315
2013-01-18,NZD,0.75,0.026490360283671407
2013-01-18,NZD,1.0,0.026568384150018963
2013-01-18,NZD,2.0,0.027941724578969318
2013-01-18,NZD,3.0,0.029342470288329998
2013-01-18,NZD,4.0,0.030872698985556293
2013-01-18,NZD,5.0,0.03246942932316626
2013-01-21,NZD,0.75,0.026486283797024425
2013-01-21,NZD,1.0,0.026559598782930002
2013-01-21,NZD,2.0,0.027949326670189997
2013-01-21,NZD,3.0,0.02933989543107
2013-01-21,NZD,4.0,0.030859313470953068
2013-01-21,NZD,5.0,0.032423247414878065
2013-01-22,NZD,0.75,0.026595905844722757
2013-01-22,NZD,1.0,0.02661574802606
2013-01-22,NZD,2.0,0.028125806023340003
2013-01-22,NZD,3.0,0.02951660428187
2013-01-22,NZD,4.0,0.031040779752635316
2013-01-22,NZD,5.0,0.03260542760892519
2013-01-23,NZD,0.75,0.026577958904352234
2013-01-23,NZD,1.0,0.026596875139970003
2013-01-23,NZD,2.0,0.02795057314157
2013-01-23,NZD,3.0,0.0293299007197779
2013-01-23,NZD,4.0,0.03087130574440797
2013-01-23,NZD,5.0,0.03240928374703518
2013-01-24,NZD,0.75,0.026564695551883805
2013-01-24,NZD,1.0,0.02656315399034
2013-01-24,NZD,2.0,0.027816616635567854
2013-01-24,NZD,3.0,0.029184095797683128
2013-01-24,NZD,4.0,0.030726143746802357
2013-01-24,NZD,5.0,0.03223304488870872
2013-01-25,NZD,0.75,0.026508623308710948
2013-01-25,NZD,1.0,0.026628321547867775
2013-01-25,NZD,2.0,0.02807095040493468
2013-01-25,NZD,3.0,0.02943716058989791
2013-01-25,NZD,4.0,0.030974863020047948
2013-01-25,NZD,5.0,0.03248194136077174
2013-01-28,NZD,0.75,0.02685985454244136
2013-01-28,NZD,1.0,0.027043560080580002
2013-01-28,NZD,2.0,0.02857097222174
2013-01-28,NZD,3.0,0.0300788308646
2013-01-28,NZD,4.0,0.032054746618744724
2013-01-28,NZD,5.0,0.033089814979019985
2013-01-29,NZD,0.75,0.02686963976417714
2013-01-29,NZD,1.0,0.02706837606057
2013-01-29,NZD,2.0,0.02887151347581
2013-01-29,NZD,3.0,0.03038837720356
2013-01-29,NZD,4.0,0.03196782240500675
2013-01-29,NZD,5.0,0.03366543256507183
2013-01-30,NZD,0.75,0.026844025723377535
2013-01-30,NZD,1.0,0.026986931557419998
2013-01-30,NZD,2.0,0.028646896458740002
2013-01-30,NZD,3.0,0.030321880906139995
2013-01-30,NZD,4.0,0.0319268725111655
2013-01-30,NZD,5.0,0.033539339918159154
2013-01-31,NZD,0.75,0.02690055665656962
2013-01-31,NZD,1.0,0.0270853138735
2013-01-31,NZD,2.0,0.02872613805708884
2013-01-31,NZD,3.0,0.03032371246224121
2013-01-31,NZD,4.0,0.03189894558433519
