Date,Currency,Term,Value
2013-01-02,PHP,0.75,0.005295030852062831
2013-01-02,PHP,1.0,0.009622449341418397
2013-01-02,PHP,2.0,0.01223871883010012
2013-01-02,PHP,3.0,0.013269550595136924
2013-01-02,PHP,4.0,0.014435361699871327
2013-01-02,PHP,5.0,0.015984719057793372
2013-01-03,PHP,0.75,0.004649507894823951
2013-01-03,PHP,1.0,0.009077490595871356
2013-01-03,PHP,2.0,0.011900886133094589
2013-01-03,PHP,3.0,0.013153758304705896
2013-01-03,PHP,4.0,0.014184321117298754
2013-01-03,PHP,5.0,0.01598282655122821
2013-01-04,PHP,0.75,0.005346942872157129
2013-01-04,PHP,1.0,0.008975055099465706
2013-01-04,PHP,2.0,0.012063505648338009
2013-01-04,PHP,3.0,0.013443740555246612
2013-01-04,PHP,4.0,0.014211888849086899
2013-01-04,PHP,5.0,0.016002949731141147
2013-01-07,PHP,0.75,0.003981764037143403
2013-01-07,PHP,1.0,0.008589169268212554
2013-01-07,PHP,2.0,0.012063538995499109
2013-01-07,PHP,3.0,0.014055879267326776
2013-01-07,PHP,4.0,0.014973443291940714
2013-01-07,PHP,5.0,0.016510657706742933
2013-01-08,PHP,0.75,0.004006539054550978
2013-01-08,PHP,1.0,0.0074352509673111435
2013-01-08,PHP,2.0,0.011593087140662166
2013-01-08,PHP,3.0,0.013225797545774605
2013-01-08,PHP,4.0,0.015019175799297329
2013-01-08,PHP,5.0,0.015781058175589193
2013-01-09,PHP,0.75,0.004084685567036651
2013-01-09,PHP,1.0,0.007419987474427438
2013-01-09,PHP,2.0,0.01020149989448944
2013-01-09,PHP,3.0,0.012218721035483368
2013-01-09,PHP,4.0,0.014005895696734187
2013-01-09,PHP,5.0,0.015542972224328218
2013-01-10,PHP,0.75,0.002904338174197519
2013-01-10,PHP,1.0,0.00535262075678624
2013-01-10,PHP,2.0,0.009578184576487816
2013-01-10,PHP,3.0,0.011130647156728077
2013-01-10,PHP,4.0,0.013674552981171609
2013-01-10,PHP,5.0,0.01511211478940862
2013-01-11,PHP,0.75,0.002503988940662689
2013-01-11,PHP,1.0,0.0038276545919949307
2013-01-11,PHP,2.0,0.008492412699775478
2013-01-11,PHP,3.0,0.01060582732686227
2013-01-11,PHP,4.0,0.013149813742619594
2013-01-11,PHP,5.0,0.015108442818036655
2013-01-14,PHP,0.75,0.0030623024935071915
2013-01-14,PHP,1.0,0.004346896269521399
2013-01-14,PHP,2.0,0.007937598913517299
2013-01-14,PHP,3.0,0.010960220184146427
2013-01-14,PHP,4.0,0.013267428197191358
2013-01-14,PHP,5.0,0.015068518666040618
2013-01-15,PHP,0.75,0.0028976300958046637
2013-01-15,PHP,1.0,0.004232216431158689
2013-01-15,PHP,2.0,0.007667372215280847
2013-01-15,PHP,3.0,0.010469923181749158
2013-01-15,PHP,4.0,0.01328083713501505
2013-01-15,PHP,5.0,0.015337921844419808
2013-01-16,PHP,0.75,0.0032815963230507445
2013-01-16,PHP,1.0,0.004487292631294592
2013-01-16,PHP,2.0,0.007727620172403983
2013-01-16,PHP,3.0,0.00961899548563498
2013-01-16,PHP,4.0,0.013304678561523097
2013-01-16,PHP,5.0,0.01510615625884012
2013-01-17,PHP,0.75,0.0033446213813062816
2013-01-17,PHP,1.0,0.004517753684200893
2013-01-17,PHP,2.0,0.007717084672753299
2013-01-17,PHP,3.0,0.00972713184909739
2013-01-17,PHP,4.0,0.013001443735497342
2013-01-17,PHP,5.0,0.015332964171668573
2013-01-18,PHP,0.75,0.0034441351100362697
2013-01-18,PHP,1.0,0.005316408187124205
2013-01-18,PHP,2.0,0.007534921615765524
2013-01-18,PHP,3.0,0.009728607528842692
2013-01-18,PHP,4.0,0.01329068625728011
2013-01-18,PHP,5.0,0.015352256230289933
2013-01-21,PHP,0.75,0.0033739280192068943
2013-01-21,PHP,1.0,0.004687796986664749
2013-01-21,PHP,2.0,0.007501089291855114
2013-01-21,PHP,3.0,0.009869200879491984
