Date,Currency,Term,Value
2013-01-02,PLN,0.75,0.037072378808966515
2013-01-02,PLN,1.0,0.035619316705655525
2013-01-02,PLN,2.0,0.03343161761222227
2013-01-02,PLN,3.0,0.03312698959675027
2013-01-02,PLN,4.0,0.03333260108704558
2013-01-02,PLN,5.0,0.0336423325990582
2013-01-03,PLN,0.75,0.037155200746974315
2013-01-03,PLN,1.0,0.03577126556365441
2013-01-03,PLN,2.0,0.0340345368350899
2013-01-03,PLN,3.0,0.03392447560412636
2013-01-03,PLN,4.0,0.034170130900261345
2013-01-03,PLN,5.0,0.03452859783335447
2013-01-04,PLN,0.75,0.03710421088489651
2013-01-04,PLN,1.0,0.03596583712395925
2013-01-04,PLN,2.0,0.03419054707914379
2013-01-04,PLN,3.0,0.034118647339499784
2013-01-04,PLN,4.0,0.03446797245413213
2013-01-04,PLN,5.0,0.034929046753337245
2013-01-07,PLN,0.75,0.03667121367024872
2013-01-07,PLN,1.0,0.03564637924816762
2013-01-07,PLN,2.0,0.03392072951767874
2013-01-07,PLN,3.0,0.03381089010556501
2013-01-07,PLN,4.0,0.03411903793510125
2013-01-07,PLN,5.0,0.03453015957474799
2013-01-08,PLN,0.75,0.03657521697131596
2013-01-08,PLN,1.0,0.03539702531332936
2013-01-08,PLN,2.0,0.03338574954652793
2013-01-08,PLN,3.0,0.03322882641166356
2013-01-08,PLN,4.0,0.03358604176244838
2013-01-08,PLN,5.0,0.033946039285470464
2013-01-09,PLN,0.75,0.03745210975842841
2013-01-09,PLN,1.0,0.03609629136341354
2013-01-09,PLN,2.0,0.03478368328673886
2013-01-09,PLN,3.0,0.03458811794652389
2013-01-09,PLN,4.0,0.03458731872959469
2013-01-09,PLN,5.0,0.03479416455681299
2013-01-10,PLN,0.75,0.037802489419841406
2013-01-10,PLN,1.0,0.03658301551887048
2013-01-10,PLN,2.0,0.03490468248767804
2013-01-10,PLN,3.0,0.03473910515468894
2013-01-10,PLN,4.0,0.034888666819959495
2013-01-10,PLN,5.0,0.035143683097846344
2013-01-11,PLN,0.75,0.03778285667222659
2013-01-11,PLN,1.0,0.036581186304843964
2013-01-11,PLN,2.0,0.03519414742976549
2013-01-11,PLN,3.0,0.03503002830711904
