Date,Currency,Term,Value
2013-01-02,RON,0.75,0.062269312320309536
2013-01-02,RON,1.0,0.05510470698194549
2013-01-02,RON,2.0,0.05519099403276603
2013-01-02,RON,3.0,0.05566431559865638
2013-01-02,RON,4.0,0.05594873767357451
2013-01-02,RON,5.0,0.05615726772490523
2013-01-03,RON,0.75,0.0623590175216982
2013-01-03,RON,1.0,0.05469200943466824
2013-01-03,RON,2.0,0.05470062764636206
2013-01-03,RON,3.0,0.05520631937053599
2013-01-03,RON,4.0,0.055464555361723844
2013-01-03,RON,5.0,0.05568119686036621
2013-01-04,RON,0.75,0.06234322202896407
2013-01-04,RON,1.0,0.054674050748578416
2013-01-04,RON,2.0,0.05469351589140271
2013-01-04,RON,3.0,0.055200919808048324
2013-01-04,RON,4.0,0.05546411775461296
2013-01-04,RON,5.0,0.055679287402571616
2013-01-07,RON,0.75,0.062243136915582566
2013-01-07,RON,1.0,0.054461001114307184
2013-01-07,RON,2.0,0.05472119673727745
2013-01-07,RON,3.0,0.05518521644127065
2013-01-07,RON,4.0,0.05546263019538666
2013-01-07,RON,5.0,0.055672773880096775
2013-01-08,RON,0.75,0.06175913152610875
2013-01-08,RON,1.0,0.05444848159886237
2013-01-08,RON,2.0,0.05467357246930947
2013-01-08,RON,3.0,0.05517970234234654
2013-01-08,RON,4.0,0.055462766740465415
2013-01-08,RON,5.0,0.05567248752379389
2013-01-09,RON,0.75,0.061664104099180585
2013-01-09,RON,1.0,0.05367592237717985
2013-01-09,RON,2.0,0.05422227642636871
2013-01-09,RON,3.0,0.0549094985112177
2013-01-09,RON,4.0,0.055189755710670176
2013-01-09,RON,5.0,0.05539622658989391
2013-01-10,RON,0.75,0.06173784480066882
2013-01-10,RON,1.0,0.05417651621726826
2013-01-10,RON,2.0,0.05420516872466002
2013-01-10,RON,3.0,0.05491654284970061
2013-01-10,RON,4.0,0.05517790733000348
2013-01-10,RON,5.0,0.05539197079512149
2013-01-11,RON,0.75,0.061861078324071415
2013-01-11,RON,1.0,0.05420470993952179
2013-01-11,RON,2.0,0.05421467347643536
2013-01-11,RON,3.0,0.05492434031199105
2013-01-11,RON,4.0,0.05518647722274371
2013-01-11,RON,5.0,0.05539788037406595
2013-01-14,RON,0.75,0.0617841831371862
2013-01-14,RON,1.0,0.0539999297172486
2013-01-14,RON,2.0,0.05424984298717067
2013-01-14,RON,3.0,0.05491272524230685
2013-01-14,RON,4.0,0.055187843925748666
2013-01-14,RON,5.0,0.05539434115576103
2013-01-15,RON,0.75,0.06130023371649564
2013-01-15,RON,1.0,0.053988811610868784
2013-01-15,RON,2.0,0.05420169971628139
2013-01-15,RON,3.0,0.05490796175841409
2013-01-15,RON,4.0,0.055188220211365026
2013-01-15,RON,5.0,0.055394260950286864
2013-01-16,RON,0.75,0.06081578268321849
2013-01-16,RON,1.0,0.052741471154813695
2013-01-16,RON,2.0,0.05277957117691873
2013-01-16,RON,3.0,0.05346549660938759
2013-01-16,RON,4.0,0.053746684744339523
2013-01-16,RON,5.0,0.053953213410656405
2013-01-17,RON,0.75,0.06060267990192072
2013-01-17,RON,1.0,0.05230863184601451
2013-01-17,RON,2.0,0.051795523938785885
2013-01-17,RON,3.0,0.05251351600355326
2013-01-17,RON,4.0,0.05277315094485719
2013-01-17,RON,5.0,0.052987860741652015
2013-01-18,RON,0.75,0.06045085966965096
2013-01-18,RON,1.0,0.05364075257630693
2013-01-18,RON,2.0,0.05323663197236681
2013-01-18,RON,3.0,0.05393866397671509
2013-01-18,RON,4.0,0.05410709612499163
2013-01-18,RON,5.0,0.05432364450733693
2013-01-21,RON,0.75,0.06048345330649864
2013-01-21,RON,1.0,0.05347474510535886
2013-01-21,RON,2.0,0.05326832641209058
2013-01-21,RON,3.0,0.05393148677038623
2013-01-21,RON,4.0,0.054109886250022554
2013-01-21,RON,5.0,0.05432128403109113
2013-01-22,RON,0.75,0.06005797037460441
2013-01-22,RON,1.0,0.0532922370219627
2013-01-22,RON,2.0,0.053099903359932504
2013-01-22,RON,3.0,0.053861290182272696
2013-01-22,RON,4.0,0.054056430153921885
2013-01-22,RON,5.0,0.0542793584500821
2013-01-23,RON,0.75,0.0603061689737271
2013-01-23,RON,1.0,0.0534426933780849
2013-01-23,RON,2.0,0.05321095627449079
2013-01-23,RON,3.0,0.05388935363390108
2013-01-23,RON,4.0,0.05408610268934756
2013-01-23,RON,5.0,0.05430095833876705
2013-01-24,RON,0.75,0.06029680726929846
2013-01-24,RON,1.0,0.053664284252401544
2013-01-24,RON,2.0,0.053254403208066674
2013-01-24,RON,3.0,0.053948591404752055
2013-01-24,RON,4.0,0.05411234016177375
2013-01-24,RON,5.0,0.05432892384102808
2013-01-25,RON,0.75,0.060287458582240626
2013-01-25,RON,1.0,0.05417564945643216
2013-01-25,RON,2.0,0.05377313799073809
2013-01-25,RON,3.0,0.054447130589643976
2013-01-25,RON,4.0,0.05461163856826751
2013-01-25,RON,5.0,0.05482232193380185
2013-01-28,RON,0.75,0.06019927685056296
2013-01-28,RON,1.0,0.05400912045110839
2013-01-28,RON,2.0,0.05379321107622757
2013-01-28,RON,3.0,0.05412381414479153
2013-01-28,RON,4.0,0.054310222732968934
2013-01-28,RON,5.0,0.054305300516017584
2013-01-29,RON,0.75,0.06013481700110527
2013-01-29,RON,1.0,0.05396230252205751
2013-01-29,RON,2.0,0.053789681387666474
2013-01-29,RON,3.0,0.054105375421960006
2013-01-29,RON,4.0,0.054298257022842605
2013-01-29,RON,5.0,0.05429574251690522
2013-01-30,RON,0.75,0.0603563866575033
2013-01-30,RON,1.0,0.05411202424966291
2013-01-30,RON,2.0,0.053758837671327185
2013-01-30,RON,3.0,0.05411751715597273
2013-01-30,RON,4.0,0.054303507788374006
2013-01-30,RON,5.0,0.054299967839909605
2013-01-31,RON,0.75,0.06027907348165323
2013-01-31,RON,1.0,0.054184579845826426
2013-01-31,RON,2.0,0.053775099964127215
2013-01-31,RON,3.0,0.05414687833776753
2013-01-31,RON,4.0,0.054311249293438384
2013-01-31,RON,5.0,0.05431247297298422
2013-02-01,RON,0.75,0.06026918485840834
2013-02-01,RON,1.0,0.05417840457117458
2013-02-01,RON,2.0,0.05377164741709483
2013-02-01,RON,3.0,0.054144659555440185
2013-02-01,RON,4.0,0.05431208089218301
2013-02-01,RON,5.0,0.054311713376640945
2013-02-04,RON,0.75,0.06043656485524692
2013-02-04,RON,1.0,0.05397819212845685
2013-02-04,RON,2.0,0.05377176629364207
2013-02-04,RON,3.0,0.05411993225838145
2013-02-04,RON,4.0,0.05430039740007263
2013-02-04,RON,5.0,0.05429772459037288
2013-02-05,RON,0.75,0.06023024161519809
2013-02-05,RON,1.0,0.053964548916432535
2013-02-05,RON,2.0,0.05372639759737097
2013-02-05,RON,3.0,0.05411340018417473
2013-02-05,RON,4.0,0.05429822802231532
2013-02-05,RON,5.0,0.0542958229407637
2013-02-06,RON,0.75,0.06013607428276593
2013-02-06,RON,1.0,0.0540867186183811
2013-02-06,RON,2.0,0.05326267541936205
2013-02-06,RON,3.0,0.05331925836521097
2013-02-06,RON,4.0,0.05340824062776639
2013-02-06,RON,5.0,0.05341035024160414
2013-02-07,RON,0.75,0.060034696850963326
2013-02-07,RON,1.0,0.054138087072785585
2013-02-07,RON,2.0,0.05327327391962043
2013-02-07,RON,3.0,0.05334427339848103
2013-02-07,RON,4.0,0.05341320720721145
2013-02-07,RON,5.0,0.0534199475669672
2013-02-08,RON,0.75,0.06003188656402955
2013-02-08,RON,1.0,0.05413258444253618
2013-02-08,RON,2.0,0.05327155996235388
2013-02-08,RON,3.0,0.05334275830354529
2013-02-08,RON,4.0,0.053414528173826636
2013-02-08,RON,5.0,0.05341969180020934
2013-02-11,RON,0.75,0.059940940260060166
2013-02-11,RON,1.0,0.05395914448871218
2013-02-11,RON,2.0,0.05328100037945979
2013-02-11,RON,3.0,0.053324969478888914
2013-02-11,RON,4.0,0.05340806472020539
2013-02-11,RON,5.0,0.05341021603533923
2013-02-12,RON,0.75,0.059803045117017416
2013-02-12,RON,1.0,0.055335818889943225
2013-02-12,RON,2.0,0.05322361629179287
2013-02-12,RON,3.0,0.05328173402229276
2013-02-12,RON,4.0,0.05338415374954162
2013-02-12,RON,5.0,0.05338930760829685
2013-02-13,RON,0.75,0.05977195036271157
2013-02-13,RON,1.0,0.0554042407916209
2013-02-13,RON,2.0,0.053223627702071424
2013-02-13,RON,3.0,0.05327323703630797
2013-02-13,RON,4.0,0.05337854390774989
2013-02-13,RON,5.0,0.05338477674273874
2013-02-14,RON,0.75,0.059472905910955595
2013-02-14,RON,1.0,0.05536912233311282
2013-02-14,RON,2.0,0.053211559029905986
2013-02-14,RON,3.0,0.053270783548575486
2013-02-14,RON,4.0,0.053369411760579265
2013-02-14,RON,5.0,0.05338038995760936
2013-02-15,RON,0.75,0.05948998406214594
2013-02-15,RON,1.0,0.054915217256705715
2013-02-15,RON,2.0,0.052730082709016995
2013-02-15,RON,3.0,0.05279415048982373
2013-02-15,RON,4.0,0.052891918074449776
2013-02-15,RON,5.0,0.0529022035296285
2013-02-18,RON,0.75,0.05967724605800237
2013-02-18,RON,1.0,0.054841309189962294
2013-02-18,RON,2.0,0.05275172153371216
2013-02-18,RON,3.0,0.05279597327844954
2013-02-18,RON,4.0,0.05289781334020083
2013-02-18,RON,5.0,0.052904350868484024
2013-02-19,RON,0.75,0.059342287099194174
2013-02-19,RON,1.0,0.05474938794727656
2013-02-19,RON,2.0,0.05267781786295231
2013-02-19,RON,3.0,0.052763106334839396
2013-02-19,RON,4.0,0.05287367125876395
2013-02-19,RON,5.0,0.05288514640736089
2013-02-20,RON,0.75,0.059094971280036254
2013-02-20,RON,1.0,0.054300602742859444
2013-02-20,RON,2.0,0.052152336439265645
2013-02-20,RON,3.0,0.052247714016548236
2013-02-20,RON,4.0,0.05236668647204258
2013-02-20,RON,5.0,0.05238381012279349
2013-02-21,RON,0.75,0.05862629651607619
2013-02-21,RON,1.0,0.0541474610276517
2013-02-21,RON,2.0,0.05208296771012002
2013-02-21,RON,3.0,0.052209817579015654
2013-02-21,RON,4.0,0.05232908048025989
2013-02-21,RON,5.0,0.0523574531949375
2013-02-22,RON,0.75,0.05891995016073048
2013-02-22,RON,1.0,0.05421185167684723
2013-02-22,RON,2.0,0.052138234777470566
2013-02-22,RON,3.0,0.052239112185796924
2013-02-22,RON,4.0,0.05235544693915459
2013-02-22,RON,5.0,0.05237681081467091
2013-02-25,RON,0.75,0.05923373471324574
2013-02-25,RON,1.0,0.05439152378326021
2013-02-25,RON,2.0,0.05228665728254369
2013-02-25,RON,3.0,0.05232551984800157
2013-02-25,RON,4.0,0.05242473998844287
2013-02-25,RON,5.0,0.05242969211880532
2013-02-26,RON,0.75,0.05922345407805137
2013-02-26,RON,1.0,0.05391516143866923
2013-02-26,RON,2.0,0.05181251191773184
2013-02-26,RON,3.0,0.05184222080695256
2013-02-26,RON,4.0,0.05194165388547285
2013-02-26,RON,5.0,0.05194732410155002
2013-02-27,RON,0.75,0.05891023114304257
2013-02-27,RON,1.0,0.054009684511363766
2013-02-27,RON,2.0,0.051786441911035104
2013-02-27,RON,3.0,0.05183994765432102
2013-02-27,RON,4.0,0.05194066630348782
2013-02-27,RON,5.0,0.05194633070435599
2013-02-28,RON,0.75,0.058729030203992
2013-02-28,RON,1.0,0.05401521130494393
2013-02-28,RON,2.0,0.051302442549402444
2013-02-28,RON,3.0,0.05136166872004222
2013-02-28,RON,4.0,0.05145300534578473
2013-02-28,RON,5.0,0.05156960122708967
2013-03-01,RON,0.75,0.05863255214579487
2013-03-01,RON,1.0,0.05400568395638223
2013-03-01,RON,2.0,0.05178959282835373
2013-03-01,RON,3.0,0.05185195511497456
2013-03-01,RON,4.0,0.05194015876939143
2013-03-01,RON,5.0,0.05205537374620969
2013-03-04,RON,0.75,0.05858998230259355
2013-03-04,RON,1.0,0.05389691019189261
2013-03-04,RON,2.0,0.051799596250048575
2013-03-04,RON,3.0,0.05184029711687618
2013-03-04,RON,4.0,0.0519399355104545
2013-03-04,RON,5.0,0.05205242256621539
2013-03-05,RON,0.75,0.058687912992877705
2013-03-05,RON,1.0,0.052489647110330565
2013-03-05,RON,2.0,0.05080370092961092
2013-03-05,RON,3.0,0.05088894764652463
2013-03-05,RON,4.0,0.05098198872971825
2013-03-05,RON,5.0,0.05109463460168523
2013-03-06,RON,0.75,0.05814762130034675
2013-03-06,RON,1.0,0.052585005849878505
2013-03-06,RON,2.0,0.050823937717766644
2013-03-06,RON,3.0,0.050885045318232354
2013-03-06,RON,4.0,0.0509807809462413
2013-03-06,RON,5.0,0.05109318536690996
2013-03-07,RON,0.75,0.05835191126089433
2013-03-07,RON,1.0,0.052604683351524927
2013-03-07,RON,2.0,0.050815691200920686
2013-03-07,RON,3.0,0.05089686502507417
2013-03-07,RON,4.0,0.05097636578060544
2013-03-07,RON,5.0,0.05109455316863219
2013-03-08,RON,0.75,0.05745946342893737
2013-03-08,RON,1.0,0.05255445197265824
2013-03-08,RON,2.0,0.05082207007665953
2013-03-08,RON,3.0,0.05089358571450916
2013-03-08,RON,4.0,0.05097746517985252
2013-03-08,RON,5.0,0.051093219286080654
2013-03-11,RON,0.75,0.057035812576955565
2013-03-11,RON,1.0,0.05244287576853957
2013-03-11,RON,2.0,0.05084457380229718
2013-03-11,RON,3.0,0.05088361713649806
2013-03-11,RON,4.0,0.05098116956938427
2013-03-11,RON,5.0,0.05109279530435143
2013-03-12,RON,0.75,0.05578065558431219
2013-03-12,RON,1.0,0.05240956268684127
2013-03-12,RON,2.0,0.0508301293652063
2013-03-12,RON,3.0,0.05087667141431439
2013-03-12,RON,4.0,0.05097981223027166
2013-03-12,RON,5.0,0.05109091684017846
2013-03-13,RON,0.75,0.05507377534608406
2013-03-13,RON,1.0,0.05188316196401598
2013-03-13,RON,2.0,0.05031344958815909
2013-03-13,RON,3.0,0.05036229569812078
2013-03-13,RON,4.0,0.050474572953974506
2013-03-13,RON,5.0,0.050590003407148906
2013-03-14,RON,0.75,0.05456610856879586
2013-03-14,RON,1.0,0.051130061293511136
2013-03-14,RON,2.0,0.049692140734344734
2013-03-14,RON,3.0,0.04989254939759764
2013-03-14,RON,4.0,0.05012183515254202
2013-03-14,RON,5.0,0.05035982437967895
2013-03-15,RON,0.75,0.05420047799347047
2013-03-15,RON,1.0,0.05202125668807438
2013-03-15,RON,2.0,0.05016983093830586
2013-03-15,RON,3.0,0.0503517063974309
2013-03-15,RON,4.0,0.05059676140607158
2013-03-15,RON,5.0,0.05083407601007572
2013-03-18,RON,0.75,0.05451958719051743
2013-03-18,RON,1.0,0.052190391504227364
2013-03-18,RON,2.0,0.05026801046058135
2013-03-18,RON,3.0,0.050419108605325794
2013-03-18,RON,4.0,0.050648712052685396
2013-03-18,RON,5.0,0.050874386913118776
2013-03-19,RON,0.75,0.05441971285370245
2013-03-19,RON,1.0,0.05219088695420218
2013-03-19,RON,2.0,0.05025618719794262
2013-03-19,RON,3.0,0.0504193744428109
2013-03-19,RON,4.0,0.050647620111064794
2013-03-19,RON,5.0,0.050873630197544636
2013-03-20,RON,0.75,0.054676956759370454
2013-03-20,RON,1.0,0.05225214300463578
2013-03-20,RON,2.0,0.05025554822735281
2013-03-20,RON,3.0,0.05041942620924494
2013-03-20,RON,4.0,0.050646663031200204
2013-03-20,RON,5.0,0.05087314430255177
2013-03-21,RON,0.75,0.0545767989745241
2013-03-21,RON,1.0,0.052615272879717984
2013-03-21,RON,2.0,0.05038991075751407
2013-03-21,RON,3.0,0.050569441928783
2013-03-21,RON,4.0,0.05070264525495469
2013-03-21,RON,5.0,0.05083106724099805
2013-03-22,RON,0.75,0.05478638052622439
2013-03-22,RON,1.0,0.0535864627500422
2013-03-22,RON,2.0,0.051218819333901995
2013-03-22,RON,3.0,0.05135361842226905
2013-03-22,RON,4.0,0.05149541738414796
2013-03-22,RON,5.0,0.051616999989249304
2013-03-25,RON,0.75,0.05515022642647578
2013-03-25,RON,1.0,0.05381808439128179
2013-03-25,RON,2.0,0.05132844204318089
2013-03-25,RON,3.0,0.05143709969935262
2013-03-25,RON,4.0,0.05155498196376249
2013-03-25,RON,5.0,0.05166471422112484
2013-03-26,RON,0.75,0.05495255450770216
2013-03-26,RON,1.0,0.053799991528501276
2013-03-26,RON,2.0,0.051323247588954075
2013-03-26,RON,3.0,0.051433868266325254
2013-03-26,RON,4.0,0.05155166873096077
2013-03-26,RON,5.0,0.05166191876935495
2013-03-27,RON,0.75,0.054724279103394335
2013-03-27,RON,1.0,0.05378942177021666
2013-03-27,RON,2.0,0.05132885327021364
2013-03-27,RON,3.0,0.05142075265713768
2013-03-27,RON,4.0,0.05154642764195159
