Date,Currency,Term,Value
2013-01-02,RUB,0.75,0.0728091752526536
2013-01-02,RUB,1.0,0.07120294416086063
2013-01-02,RUB,2.0,0.07079271526951916
2013-01-02,RUB,3.0,0.07111171884924834
2013-01-02,RUB,4.0,0.07126948365519292
2013-01-02,RUB,5.0,0.07159497193032097
2013-01-03,RUB,0.75,0.07282878369453968
2013-01-03,RUB,1.0,0.07118948147940007
2013-01-03,RUB,2.0,0.07078043402062906
2013-01-03,RUB,3.0,0.07110174398009092
2013-01-03,RUB,4.0,0.07125682771561312
2013-01-03,RUB,5.0,0.0715828231037645
2013-01-04,RUB,0.75,0.07281177090574398
2013-01-04,RUB,1.0,0.071186833282377
2013-01-04,RUB,2.0,0.0707795348640555
2013-01-04,RUB,3.0,0.07110081936915479
2013-01-04,RUB,4.0,0.07125851614937595
2013-01-04,RUB,5.0,0.07158537277640027
2013-01-07,RUB,0.75,0.07281028069966997
2013-01-07,RUB,1.0,0.07119486188227533
2013-01-07,RUB,2.0,0.07079878247959515
2013-01-07,RUB,3.0,0.07110565583268369
2013-01-07,RUB,4.0,0.07126953336102657
2013-01-07,RUB,5.0,0.0715950835848608
2013-01-08,RUB,0.75,0.07280992453769922
2013-01-08,RUB,1.0,0.07119511736973651
2013-01-08,RUB,2.0,0.07078712395243925
2013-01-08,RUB,3.0,0.0711081878890871
2013-01-08,RUB,4.0,0.07126961469071073
2013-01-08,RUB,5.0,0.07159511810375724
2013-01-09,RUB,0.75,0.07273037949929648
2013-01-09,RUB,1.0,0.07047811819297164
2013-01-09,RUB,2.0,0.07003665517891651
2013-01-09,RUB,3.0,0.0703629334986596
2013-01-09,RUB,4.0,0.07052162484201899
2013-01-09,RUB,5.0,0.07084783541400708
2013-01-10,RUB,0.75,0.07190849111047522
2013-01-10,RUB,1.0,0.06997480834830189
2013-01-10,RUB,2.0,0.0696078565695938
2013-01-10,RUB,3.0,0.07004583698723371
2013-01-10,RUB,4.0,0.07041535747007828
2013-01-10,RUB,5.0,0.07074723900848805
2013-01-11,RUB,0.75,0.07152338073427746
2013-01-11,RUB,1.0,0.0701191337324699
2013-01-11,RUB,2.0,0.0697883656767862
2013-01-11,RUB,3.0,0.07012472813365264
2013-01-11,RUB,4.0,0.07039782166429827
2013-01-11,RUB,5.0,0.07073337879539722
2013-01-14,RUB,0.75,0.07183452637366963
2013-01-14,RUB,1.0,0.0701973422786207
2013-01-14,RUB,2.0,0.06983595435412542
2013-01-14,RUB,3.0,0.07005144259852697
2013-01-14,RUB,4.0,0.07032618697844864
2013-01-14,RUB,5.0,0.07076364685580344
2013-01-15,RUB,0.75,0.07189841015341156
2013-01-15,RUB,1.0,0.07019714109561849
2013-01-15,RUB,2.0,0.07011010297377064
2013-01-15,RUB,3.0,0.0704392667300985
2013-01-15,RUB,4.0,0.07070922120668562
2013-01-15,RUB,5.0,0.0710361510028702
2013-01-16,RUB,0.75,0.07210922850985003
2013-01-16,RUB,1.0,0.07022417223444817
2013-01-16,RUB,2.0,0.07031044435126832
2013-01-16,RUB,3.0,0.0705363149360015
2013-01-16,RUB,4.0,0.07080220276484102
2013-01-16,RUB,5.0,0.07112958919378459
2013-01-17,RUB,0.75,0.07185835905116358
2013-01-17,RUB,1.0,0.07010139319849451
2013-01-17,RUB,2.0,0.07000248078004909
2013-01-17,RUB,3.0,0.07013779474646357
2013-01-17,RUB,4.0,0.07040074542781515
2013-01-17,RUB,5.0,0.07084142307955295
2013-01-18,RUB,0.75,0.0718593408479927
2013-01-18,RUB,1.0,0.06992701192016482
2013-01-18,RUB,2.0,0.06972075235581196
2013-01-18,RUB,3.0,0.06995722052872393
2013-01-18,RUB,4.0,0.0702211087505912
2013-01-18,RUB,5.0,0.07076819705056568
2013-01-21,RUB,0.75,0.07184024513195215
2013-01-21,RUB,1.0,0.06995841159190815
2013-01-21,RUB,2.0,0.06976075396429118
2013-01-21,RUB,3.0,0.06997347666206613
2013-01-21,RUB,4.0,0.07024313285343184
2013-01-21,RUB,5.0,0.0707855240412408
2013-01-22,RUB,0.75,0.07184896710087556
2013-01-22,RUB,1.0,0.06987534486148553
2013-01-22,RUB,2.0,0.06975181249358771
2013-01-22,RUB,3.0,0.06988125722534236
2013-01-22,RUB,4.0,0.0700455061968968
2013-01-22,RUB,5.0,0.07048121918357904
2013-01-23,RUB,0.75,0.07096489829978689
2013-01-23,RUB,1.0,0.06894629098278046
2013-01-23,RUB,2.0,0.06872289572275449
2013-01-23,RUB,3.0,0.06884873289427634
2013-01-23,RUB,4.0,0.06911730084268322
2013-01-23,RUB,5.0,0.06955293143225673
2013-01-24,RUB,0.75,0.07000723290899075
2013-01-24,RUB,1.0,0.06811410255868772
2013-01-24,RUB,2.0,0.0682200865851755
2013-01-24,RUB,3.0,0.06835739524918277
2013-01-24,RUB,4.0,0.06882912732261895
2013-01-24,RUB,5.0,0.06926910394219586
2013-01-25,RUB,0.75,0.07005290514409192
2013-01-25,RUB,1.0,0.06842329924848571
2013-01-25,RUB,2.0,0.06833320595753986
2013-01-25,RUB,3.0,0.0685592229051962
2013-01-25,RUB,4.0,0.06892984469911281
2013-01-25,RUB,5.0,0.06936656795851866
2013-01-28,RUB,0.75,0.07012793323419393
2013-01-28,RUB,1.0,0.06867612959847126
2013-01-28,RUB,2.0,0.06837949050556301
2013-01-28,RUB,3.0,0.06858762473589204
2013-01-28,RUB,4.0,0.06905853293478616
2013-01-28,RUB,5.0,0.06948794760757047
2013-01-29,RUB,0.75,0.07000998820761645
2013-01-29,RUB,1.0,0.06858747749468429
2013-01-29,RUB,2.0,0.06838841172478138
2013-01-29,RUB,3.0,0.06859324066853
2013-01-29,RUB,4.0,0.06906054766753009
2013-01-29,RUB,5.0,0.069489659624728
2013-01-30,RUB,0.75,0.07057985834026646
2013-01-30,RUB,1.0,0.0687894133060345
2013-01-30,RUB,2.0,0.06845823255017827
2013-01-30,RUB,3.0,0.06887606361757251
2013-01-30,RUB,4.0,0.06914037151095571
2013-01-30,RUB,5.0,0.06957092400547564
2013-01-31,RUB,0.75,0.0705766633986341
2013-01-31,RUB,1.0,0.06894636061521248
2013-01-31,RUB,2.0,0.06882085459348736
