Date,Currency,Term,Value
2013-01-02,SEK,0.75,0.018494593184449484
2013-01-02,SEK,1.0,0.018809025268959577
2013-01-02,SEK,2.0,0.012462889771685873
2013-01-02,SEK,3.0,0.013294499283741577
2013-01-02,SEK,4.0,0.014448655718875885
2013-01-02,SEK,5.0,0.015763574801546307
2013-01-03,SEK,0.75,0.018271755293887092
2013-01-03,SEK,1.0,0.018652306366071344
2013-01-03,SEK,2.0,0.012616241229522186
2013-01-03,SEK,3.0,0.013449589924400188
2013-01-03,SEK,4.0,0.014682122508705243
2013-01-03,SEK,5.0,0.015944299705419458
2013-01-04,SEK,0.75,0.01865278447581828
2013-01-04,SEK,1.0,0.01920390249016952
2013-01-04,SEK,2.0,0.012766165579648985
2013-01-04,SEK,3.0,0.01379317226873504
2013-01-04,SEK,4.0,0.015105811328537241
2013-01-04,SEK,5.0,0.01644627266584418
2013-01-07,SEK,0.75,0.018557594748550208
2013-01-07,SEK,1.0,0.018950141740750007
2013-01-07,SEK,2.0,0.012721013253442192
2013-01-07,SEK,3.0,0.013799622304853775
2013-01-07,SEK,4.0,0.015119564020942972
2013-01-07,SEK,5.0,0.016460577542868535
2013-01-08,SEK,0.75,0.018355327399053056
2013-01-08,SEK,1.0,0.018648980486598198
2013-01-08,SEK,2.0,0.012128038996375802
2013-01-08,SEK,3.0,0.013214161837326432
2013-01-08,SEK,4.0,0.014527144065919524
2013-01-08,SEK,5.0,0.01591827790081072
2013-01-09,SEK,0.75,0.01816553278575996
2013-01-09,SEK,1.0,0.018432261847783255
2013-01-09,SEK,2.0,0.012016984398567186
2013-01-09,SEK,3.0,0.013122721506471847
2013-01-09,SEK,4.0,0.014478241381032327
2013-01-09,SEK,5.0,0.015920621022728874
2013-01-10,SEK,0.75,0.017965275091448178
2013-01-10,SEK,1.0,0.0183216044431753
2013-01-10,SEK,2.0,0.01231753840999636
2013-01-10,SEK,3.0,0.013498455199011165
2013-01-10,SEK,4.0,0.014981592551764903
2013-01-10,SEK,5.0,0.016449104842225733
2013-01-11,SEK,0.75,0.018302103904909956
2013-01-11,SEK,1.0,0.01880341444635318
2013-01-11,SEK,2.0,0.012468684591050015
2013-01-11,SEK,3.0,0.013744516035226651
2013-01-11,SEK,4.0,0.015257427333104423
2013-01-11,SEK,5.0,0.016776711562272815
2013-01-14,SEK,0.75,0.018176993555600773
2013-01-14,SEK,1.0,0.01858084787521847
2013-01-14,SEK,2.0,0.012253294014713008
2013-01-14,SEK,3.0,0.013503878122362908
2013-01-14,SEK,4.0,0.015000625931315164
2013-01-14,SEK,5.0,0.016519955898695444
2013-01-15,SEK,0.75,0.0180362961621234
2013-01-15,SEK,1.0,0.018418540659132995
2013-01-15,SEK,2.0,0.01229912750659966
2013-01-15,SEK,3.0,0.01353668867572003
2013-01-15,SEK,4.0,0.015025737297433523
2013-01-15,SEK,5.0,0.016468609549004965
2013-01-16,SEK,0.75,0.0179669198348861
2013-01-16,SEK,1.0,0.018314781916755892
2013-01-16,SEK,2.0,0.01243579119757816
2013-01-16,SEK,3.0,0.013693904977673461
2013-01-16,SEK,4.0,0.015074040768199504
2013-01-16,SEK,5.0,0.01651664344366849
2013-01-17,SEK,0.75,0.01788339374477998
2013-01-17,SEK,1.0,0.018350985789303328
2013-01-17,SEK,2.0,0.013055920746000762
2013-01-17,SEK,3.0,0.014317170709671702
2013-01-17,SEK,4.0,0.015723998415458847
2013-01-17,SEK,5.0,0.017141209185795273
2013-01-18,SEK,0.75,0.018482780883377542
2013-01-18,SEK,1.0,0.019186253938206107
2013-01-18,SEK,2.0,0.013185292574495177
2013-01-18,SEK,3.0,0.014511950121179179
2013-01-18,SEK,4.0,0.01597516692398602
2013-01-18,SEK,5.0,0.01739372004930058
2013-01-21,SEK,0.75,0.018481920944174526
2013-01-21,SEK,1.0,0.019110476819240742
2013-01-21,SEK,2.0,0.013265734751883942
2013-01-21,SEK,3.0,0.014641923360064129
2013-01-21,SEK,4.0,0.016113778661608322
2013-01-21,SEK,5.0,0.01753232010238446
2013-01-22,SEK,0.75,0.018216862496501427
2013-01-22,SEK,1.0,0.018715590461569082
2013-01-22,SEK,2.0,0.01293806253700025
2013-01-22,SEK,3.0,0.014452531202087364
2013-01-22,SEK,4.0,0.015992508029907065
2013-01-22,SEK,5.0,0.01746172475260838
2013-01-23,SEK,0.75,0.01789594510686738
2013-01-23,SEK,1.0,0.018278310804568407
2013-01-23,SEK,2.0,0.01255621446228989
2013-01-23,SEK,3.0,0.014040032024354908
2013-01-23,SEK,4.0,0.015596768974405168
2013-01-23,SEK,5.0,0.017091343879927036
2013-01-24,SEK,0.75,0.017945510502282783
2013-01-24,SEK,1.0,0.018503716571101708
2013-01-24,SEK,2.0,0.013028191282208801
2013-01-24,SEK,3.0,0.014362397722973465
2013-01-24,SEK,4.0,0.015871045124531462
2013-01-24,SEK,5.0,0.017316292777569766
2013-01-25,SEK,0.75,0.017861940476166824
2013-01-25,SEK,1.0,0.018437737491360743
2013-01-25,SEK,2.0,0.013443185426091336
2013-01-25,SEK,3.0,0.014881089552714787
2013-01-25,SEK,4.0,0.01649221008591359
2013-01-25,SEK,5.0,0.01799090879523185
2013-01-28,SEK,0.75,0.017627708390019883
2013-01-28,SEK,1.0,0.01812114298743387
2013-01-28,SEK,2.0,0.013678365659159185
2013-01-28,SEK,3.0,0.015284557606088933
2013-01-28,SEK,4.0,0.016982574224857123
2013-01-28,SEK,5.0,0.01855639225793158
2013-01-29,SEK,0.75,0.017451810262027145
2013-01-29,SEK,1.0,0.017857295931213917
2013-01-29,SEK,2.0,0.013540818451303956
2013-01-29,SEK,3.0,0.0152329624093
2013-01-29,SEK,4.0,0.016895772200708432
2013-01-29,SEK,5.0,0.01849276598571703
2013-01-30,SEK,0.75,0.01767402498032306
2013-01-30,SEK,1.0,0.018185674539968343
2013-01-30,SEK,2.0,0.013734768520445551
2013-01-30,SEK,3.0,0.015525368160523897
2013-01-30,SEK,4.0,0.017356994781806797
2013-01-30,SEK,5.0,0.01908392347652879
2013-01-31,SEK,0.75,0.017526890916342963
2013-01-31,SEK,1.0,0.018096126372330813
2013-01-31,SEK,2.0,0.013635704298923353
2013-01-31,SEK,3.0,0.01535202850809509
2013-01-31,SEK,4.0,0.017108745221385713
2013-01-31,SEK,5.0,0.018811019447883978
2013-02-01,SEK,0.75,0.01751205060683735
2013-02-01,SEK,1.0,0.018140656075414666
2013-02-01,SEK,2.0,0.013907066871234726
2013-02-01,SEK,3.0,0.015600172462969884
2013-02-01,SEK,4.0,0.0173095851246329
2013-02-01,SEK,5.0,0.019012381024162365
2013-02-04,SEK,0.75,0.017901676129441373
2013-02-04,SEK,1.0,0.018540888123224204
2013-02-04,SEK,2.0,0.01363196760289465
2013-02-04,SEK,3.0,0.015409734284180222
2013-02-04,SEK,4.0,0.017209134298203768
2013-02-04,SEK,5.0,0.018883708501902213
2013-02-05,SEK,0.75,0.017829790218524648
2013-02-05,SEK,1.0,0.018443653527117257
2013-02-05,SEK,2.0,0.013818854816437864
2013-02-05,SEK,3.0,0.015517045694660114
2013-02-05,SEK,4.0,0.017230985272418675
2013-02-05,SEK,5.0,0.01893161228518857
2013-02-06,SEK,0.75,0.017668696292768397
2013-02-06,SEK,1.0,0.018230736915866533
2013-02-06,SEK,2.0,0.013760170195922183
2013-02-06,SEK,3.0,0.015525819015264576
2013-02-06,SEK,4.0,0.01720647280321336
2013-02-06,SEK,5.0,0.018881238719087975
2013-02-07,SEK,0.75,0.017484839191799148
2013-02-07,SEK,1.0,0.01804729571859059
2013-02-07,SEK,2.0,0.013464342975837802
2013-02-07,SEK,3.0,0.015154881455429519
2013-02-07,SEK,4.0,0.01686155142431942
2013-02-07,SEK,5.0,0.01856274376020381
2013-02-08,SEK,0.75,0.017570430343794085
2013-02-08,SEK,1.0,0.018158675804841925
2013-02-08,SEK,2.0,0.013709619712514502
2013-02-08,SEK,3.0,0.015401402861925258
2013-02-08,SEK,4.0,0.017111740486444583
2013-02-08,SEK,5.0,0.018789086830417398
2013-02-11,SEK,0.75,0.017894033968240783
2013-02-11,SEK,1.0,0.018530890336198334
2013-02-11,SEK,2.0,0.013631328761333519
2013-02-11,SEK,3.0,0.015409712373796607
2013-02-11,SEK,4.0,0.01715865561384507
2013-02-11,SEK,5.0,0.018807723232729796
2013-02-12,SEK,0.75,0.017861971688783132
2013-02-12,SEK,1.0,0.018524534178228608
2013-02-12,SEK,2.0,0.013819468969656901
2013-02-12,SEK,3.0,0.015615849558565672
2013-02-12,SEK,4.0,0.017431662707110357
2013-02-12,SEK,5.0,0.019132168219532765
2013-02-13,SEK,0.75,0.017705864403446844
2013-02-13,SEK,1.0,0.018256108884989724
2013-02-13,SEK,2.0,0.01442153314971879
2013-02-13,SEK,3.0,0.016291322791830654
2013-02-13,SEK,4.0,0.018122207171203643
2013-02-13,SEK,5.0,0.019875455402430606
2013-02-14,SEK,0.75,0.0176972553340885
2013-02-14,SEK,1.0,0.018281285415348573
2013-02-14,SEK,2.0,0.014124589098683377
2013-02-14,SEK,3.0,0.015894166386169792
2013-02-14,SEK,4.0,0.017651313918788433
2013-02-14,SEK,5.0,0.019303468924894793
2013-02-15,SEK,0.75,0.017997236507388218
2013-02-15,SEK,1.0,0.018632725689541024
2013-02-15,SEK,2.0,0.014006531917555624
2013-02-15,SEK,3.0,0.015720976894264653
2013-02-15,SEK,4.0,0.017457597278536435
2013-02-15,SEK,5.0,0.019109858233546155
2013-02-18,SEK,0.75,0.018369676977108056
2013-02-18,SEK,1.0,0.01903764483796424
2013-02-18,SEK,2.0,0.013829600248335298
2013-02-18,SEK,3.0,0.015581229577897834
2013-02-18,SEK,4.0,0.017330578702290746
2013-02-18,SEK,5.0,0.01903067119834877
2013-02-19,SEK,0.75,0.018147417665094562
2013-02-19,SEK,1.0,0.018776857768402145
2013-02-19,SEK,2.0,0.01399176168915945
2013-02-19,SEK,3.0,0.015788236429062824
2013-02-19,SEK,4.0,0.017553498611761132
2013-02-19,SEK,5.0,0.0192544156672095
2013-02-20,SEK,0.75,0.018015765427038782
2013-02-20,SEK,1.0,0.018584722937732546
2013-02-20,SEK,2.0,0.014079384299184702
2013-02-20,SEK,3.0,0.015944966194380288
2013-02-20,SEK,4.0,0.01770142129484736
2013-02-20,SEK,5.0,0.019428012978001747
2013-02-21,SEK,0.75,0.017697079131869683
2013-02-21,SEK,1.0,0.018205257131309317
2013-02-21,SEK,2.0,0.01378047990227304
2013-02-21,SEK,3.0,0.015573524977530352
2013-02-21,SEK,4.0,0.0172809856449306
2013-02-21,SEK,5.0,0.01895720353394811
2013-02-22,SEK,0.75,0.01783270501691067
2013-02-22,SEK,1.0,0.018326641624779535
2013-02-22,SEK,2.0,0.013562016698512692
2013-02-22,SEK,3.0,0.015326707946983743
2013-02-22,SEK,4.0,0.017013613934044793
2013-02-22,SEK,5.0,0.018664151331244258
2013-02-25,SEK,0.75,0.01833564755423547
2013-02-25,SEK,1.0,0.018924125994033786
2013-02-25,SEK,2.0,0.013704744539605934
2013-02-25,SEK,3.0,0.015507050492382672
2013-02-25,SEK,4.0,0.01723144734355098
2013-02-25,SEK,5.0,0.01890613387784288
2013-02-26,SEK,0.75,0.01817639557212174
2013-02-26,SEK,1.0,0.0186781255664665
2013-02-26,SEK,2.0,0.013449461621365595
2013-02-26,SEK,3.0,0.015070546856610731
2013-02-26,SEK,4.0,0.016659921663438694
2013-02-26,SEK,5.0,0.01820608468395799
2013-02-27,SEK,0.75,0.017830150153744572
2013-02-27,SEK,1.0,0.018264660947722368
2013-02-27,SEK,2.0,0.013465397783269023
2013-02-27,SEK,3.0,0.014909218401637187
2013-02-27,SEK,4.0,0.016409764214730747
2013-02-27,SEK,5.0,0.01790505507668476
2013-02-28,SEK,0.75,0.01796572913167071
2013-02-28,SEK,1.0,0.018545727679672254
2013-02-28,SEK,2.0,0.013715014442406422
2013-02-28,SEK,3.0,0.015133171641604515
2013-02-28,SEK,4.0,0.016661484889952158
2013-02-28,SEK,5.0,0.018156684766018685
2013-03-01,SEK,0.75,0.01808802582686937
2013-03-01,SEK,1.0,0.018698268352236497
2013-03-01,SEK,2.0,0.014350950129830892
2013-03-01,SEK,3.0,0.015661975571907863
2013-03-01,SEK,4.0,0.0170797849195275
2013-03-01,SEK,5.0,0.018526846038408804
2013-03-04,SEK,0.75,0.01824219588973072
2013-03-04,SEK,1.0,0.018850433475331076
2013-03-04,SEK,2.0,0.01441882433066503
2013-03-04,SEK,3.0,0.015789641569191656
2013-03-04,SEK,4.0,0.017221726184061533
2013-03-04,SEK,5.0,0.018641683439286266
2013-03-05,SEK,0.75,0.018165442410451392
2013-03-05,SEK,1.0,0.018832943716547115
2013-03-05,SEK,2.0,0.014826788995459686
2013-03-05,SEK,3.0,0.01626593330461037
2013-03-05,SEK,4.0,0.017791431705523764
2013-03-05,SEK,5.0,0.019288582855184006
2013-03-06,SEK,0.75,0.018363749684229887
2013-03-06,SEK,1.0,0.019089657059715076
2013-03-06,SEK,2.0,0.014845856395925821
2013-03-06,SEK,3.0,0.016339840444667665
2013-03-06,SEK,4.0,0.017866124661929127
2013-03-06,SEK,5.0,0.019363155578450766
2013-03-07,SEK,0.75,0.01848060665574316
2013-03-07,SEK,1.0,0.019289995493998877
2013-03-07,SEK,2.0,0.014723095527223777
2013-03-07,SEK,3.0,0.01619143340820696
2013-03-07,SEK,4.0,0.017696293723840302
2013-03-07,SEK,5.0,0.019167607455062595
2013-03-08,SEK,0.75,0.01825608517316492
2013-03-08,SEK,1.0,0.01897336429622717
2013-03-08,SEK,2.0,0.01471973709308115
2013-03-08,SEK,3.0,0.01622668645365416
2013-03-08,SEK,4.0,0.017798141368073978
2013-03-08,SEK,5.0,0.01934784479027428
2013-03-11,SEK,0.75,0.0182032982670745
2013-03-11,SEK,1.0,0.018803717071020732
2013-03-11,SEK,2.0,0.014516998400888556
2013-03-11,SEK,3.0,0.016012194248580056
2013-03-11,SEK,4.0,0.0175454164542271
2013-03-11,SEK,5.0,0.019042270234397526
2013-03-12,SEK,0.75,0.017972557891381975
2013-03-12,SEK,1.0,0.018501370730479114
2013-03-12,SEK,2.0,0.014357296003038122
2013-03-12,SEK,3.0,0.015822207280606737
2013-03-12,SEK,4.0,0.017347427042991803
2013-03-12,SEK,5.0,0.018869791576166008
2013-03-13,SEK,0.75,0.018053787531836903
2013-03-13,SEK,1.0,0.01856027323311213
2013-03-13,SEK,2.0,0.014079902599114425
2013-03-13,SEK,3.0,0.015574955303559443
2013-03-13,SEK,4.0,0.017101014853849558
2013-03-13,SEK,5.0,0.01859728994018481
2013-03-14,SEK,0.75,0.01811636751821626
2013-03-14,SEK,1.0,0.0187064823866013
2013-03-14,SEK,2.0,0.014104089504135754
2013-03-14,SEK,3.0,0.015525514811929025
2013-03-14,SEK,4.0,0.017053459942432424
2013-03-14,SEK,5.0,0.0185757934860294
2013-03-15,SEK,0.75,0.01800259814184574
2013-03-15,SEK,1.0,0.018524319941861624
2013-03-15,SEK,2.0,0.013905611265482596
