Date,Currency,Term,Value
2013-01-02,SGD,0.75,0.006501330085634379
2013-01-02,SGD,1.0,0.004956793431355127
2013-01-02,SGD,2.0,0.005091605797088194
2013-01-02,SGD,3.0,0.0060343019074593895
2013-01-02,SGD,4.0,0.007465416084423195
2013-01-02,SGD,5.0,0.009158648562480698
2013-01-03,SGD,0.75,0.006477708644935866
2013-01-03,SGD,1.0,0.004870655072410269
2013-01-03,SGD,2.0,0.004993193202929774
2013-01-03,SGD,3.0,0.005872495548865046
2013-01-03,SGD,4.0,0.00730740828583307
2013-01-03,SGD,5.0,0.009014199539151876
2013-01-04,SGD,0.75,0.006537790929753818
2013-01-04,SGD,1.0,0.005064430914601622
2013-01-04,SGD,2.0,0.005243671396557831
2013-01-04,SGD,3.0,0.006270855887634277
2013-01-04,SGD,4.0,0.007761901300936573
2013-01-04,SGD,5.0,0.009592280233209164
2013-01-07,SGD,0.75,0.006568524949546329
2013-01-07,SGD,1.0,0.005056856455368112
2013-01-07,SGD,2.0,0.00531554070593677
2013-01-07,SGD,3.0,0.0062572021811751555
2013-01-07,SGD,4.0,0.007834301745694508
2013-01-07,SGD,5.0,0.009610274793811243
2013-01-08,SGD,0.75,0.006597960375726476
2013-01-08,SGD,1.0,0.004993164521617832
2013-01-08,SGD,2.0,0.0051826354883277755
2013-01-08,SGD,3.0,0.006111396868899159
2013-01-08,SGD,4.0,0.007614607920879894
2013-01-08,SGD,5.0,0.009390070912766899
2013-01-09,SGD,0.75,0.006536286173365812
2013-01-09,SGD,1.0,0.0048412152080966634
2013-01-09,SGD,2.0,0.0050395011134558125
2013-01-09,SGD,3.0,0.0059841023225838536
2013-01-09,SGD,4.0,0.007464911777475583
2013-01-09,SGD,5.0,0.009239653150530448
2013-01-10,SGD,0.75,0.006430492574739736
2013-01-10,SGD,1.0,0.0048779172427506606
2013-01-10,SGD,2.0,0.005037910880667701
2013-01-10,SGD,3.0,0.005968419407927662
2013-01-10,SGD,4.0,0.0074483275873052
2013-01-10,SGD,5.0,0.009278991746853748
2013-01-11,SGD,0.75,0.006448000283050564
2013-01-11,SGD,1.0,0.00492769159244593
2013-01-11,SGD,2.0,0.00504002595387539
2013-01-11,SGD,3.0,0.006018298159958433
2013-01-11,SGD,4.0,0.007553857188057975
2013-01-11,SGD,5.0,0.009415641580311955
2013-01-14,SGD,0.75,0.006561935666099747
2013-01-14,SGD,1.0,0.004819108943332172
2013-01-14,SGD,2.0,0.0050377900859495915
2013-01-14,SGD,3.0,0.005879926277530178
2013-01-14,SGD,4.0,0.007379431491595931
2013-01-14,SGD,5.0,0.009210191079615068
2013-01-15,SGD,0.75,0.006368039403417427
2013-01-15,SGD,1.0,0.004712536263399448
2013-01-15,SGD,2.0,0.004895034690066919
2013-01-15,SGD,3.0,0.005710360459085818
2013-01-15,SGD,4.0,0.0071830268919699505
2013-01-15,SGD,5.0,0.009039245062274779
2013-01-16,SGD,0.75,0.0061847263085199385
2013-01-16,SGD,1.0,0.004626469620879842
2013-01-16,SGD,2.0,0.004684557495157951
2013-01-16,SGD,3.0,0.005512305185691343
2013-01-16,SGD,4.0,0.006983522015466741
2013-01-16,SGD,5.0,0.008829168086189177
2013-01-17,SGD,0.75,0.0061202261698986744
2013-01-17,SGD,1.0,0.004619183305178962
2013-01-17,SGD,2.0,0.004727849802609799
2013-01-17,SGD,3.0,0.0055441657084870375
2013-01-17,SGD,4.0,0.00699886178362808
2013-01-17,SGD,5.0,0.008828924119437918
2013-01-18,SGD,0.75,0.006139781706325544
2013-01-18,SGD,1.0,0.004826801155059458
2013-01-18,SGD,2.0,0.004870089668939636
2013-01-18,SGD,3.0,0.0056953920258139236
2013-01-18,SGD,4.0,0.00715853109912993
2013-01-18,SGD,5.0,0.009013123255484949
2013-01-21,SGD,0.75,0.006422820473931327
2013-01-21,SGD,1.0,0.004858657558292881
2013-01-21,SGD,2.0,0.00500113181042385
2013-01-21,SGD,3.0,0.005762575255800427
2013-01-21,SGD,4.0,0.0072349137941910766
2013-01-21,SGD,5.0,0.009050391612159168
2013-01-22,SGD,0.75,0.006383395536234499
2013-01-22,SGD,1.0,0.004867506361609499
2013-01-22,SGD,2.0,0.00500882503030425
2013-01-22,SGD,3.0,0.005863898384019212
2013-01-22,SGD,4.0,0.0073658645891212194
2013-01-22,SGD,5.0,0.009191403241052203
2013-01-23,SGD,0.75,0.006359714981888481
2013-01-23,SGD,1.0,0.0048476521534878796
2013-01-23,SGD,2.0,0.0048695262104329
2013-01-23,SGD,3.0,0.005668552088842196
2013-01-23,SGD,4.0,0.007137257450735854
2013-01-23,SGD,5.0,0.008941937422387759
2013-01-24,SGD,0.75,0.006205689775207108
2013-01-24,SGD,1.0,0.00471954541337372
2013-01-24,SGD,2.0,0.00482765960281814
