Date,Currency,Term,Value
2013-01-02,THB,0.75,0.027356270293084243
2013-01-02,THB,1.0,0.026461803535590554
2013-01-02,THB,2.0,0.027997053048313097
2013-01-02,THB,3.0,0.029749024059873844
2013-01-02,THB,4.0,0.0314986918913259
2013-01-02,THB,5.0,0.03285897515369704
2013-01-03,THB,0.75,0.02746477961079911
2013-01-03,THB,1.0,0.02645833311054654
2013-01-03,THB,2.0,0.027977703925517725
2013-01-03,THB,3.0,0.029732519710779007
2013-01-03,THB,4.0,0.03147127020923132
2013-01-03,THB,5.0,0.03273572282206377
2013-01-04,THB,0.75,0.02738968182273387
2013-01-04,THB,1.0,0.026648096072722588
2013-01-04,THB,2.0,0.02848001123499965
2013-01-04,THB,3.0,0.0303346174584066
2013-01-04,THB,4.0,0.032182146710941766
2013-01-04,THB,5.0,0.033551203261325595
2013-01-07,THB,0.75,0.027828076137085093
2013-01-07,THB,1.0,0.0266431619709846
2013-01-07,THB,2.0,0.02840193392257967
2013-01-07,THB,3.0,0.030243443423580364
2013-01-07,THB,4.0,0.032103891687482455
2013-01-07,THB,5.0,0.03357194366366026
2013-01-08,THB,0.75,0.027948294018625357
2013-01-08,THB,1.0,0.026936616545153027
2013-01-08,THB,2.0,0.02867936185010804
2013-01-08,THB,3.0,0.03075004226404722
2013-01-08,THB,4.0,0.03250384976556594
2013-01-08,THB,5.0,0.03397077487545106
2013-01-09,THB,0.75,0.02804664722378603
2013-01-09,THB,1.0,0.027062697097879968
2013-01-09,THB,2.0,0.028789335839731874
2013-01-09,THB,3.0,0.030751046266394026
2013-01-09,THB,4.0,0.03250076264570625
2013-01-09,THB,5.0,0.033968350410237214
2013-01-10,THB,0.75,0.028154643864280387
2013-01-10,THB,1.0,0.027442850489535715
2013-01-10,THB,2.0,0.029073579796146398
2013-01-10,THB,3.0,0.03103149829602519
2013-01-10,THB,4.0,0.032768244252969606
2013-01-10,THB,5.0,0.03413917181458916
2013-01-11,THB,0.75,0.028566030813765127
2013-01-11,THB,1.0,0.027837963225778212
2013-01-11,THB,2.0,0.02946799031944266
