Date,Currency,Term,Value
2013-01-02,TRY,0.75,0.06175778012061291
2013-01-02,TRY,1.0,0.06305496257182136
2013-01-02,TRY,2.0,0.06498291155527336
2013-01-02,TRY,3.0,0.06680374053445085
2013-01-02,TRY,4.0,0.06803206844539905
2013-01-02,TRY,5.0,0.06907919697576533
2013-01-03,TRY,0.75,0.062122030824572294
2013-01-03,TRY,1.0,0.06375445083411262
2013-01-03,TRY,2.0,0.0657085088808386
2013-01-03,TRY,3.0,0.06762670733829744
2013-01-03,TRY,4.0,0.06885611135880823
2013-01-03,TRY,5.0,0.069909216694957
2013-01-04,TRY,0.75,0.0627030205290153
2013-01-04,TRY,1.0,0.06423328539201067
2013-01-04,TRY,2.0,0.06637656023311676
2013-01-04,TRY,3.0,0.06829550621055053
2013-01-04,TRY,4.0,0.06963135809490861
2013-01-04,TRY,5.0,0.07079336731808779
2013-01-07,TRY,0.75,0.061384116530434595
2013-01-07,TRY,1.0,0.06307761714281972
2013-01-07,TRY,2.0,0.06528203149354314
2013-01-07,TRY,3.0,0.06717886074487825
2013-01-07,TRY,4.0,0.06863092149200789
2013-01-07,TRY,5.0,0.06978339533653172
2013-01-08,TRY,0.75,0.06165171816709127
2013-01-08,TRY,1.0,0.063268922630421
2013-01-08,TRY,2.0,0.06526487359645557
2013-01-08,TRY,3.0,0.0670812523896611
2013-01-08,TRY,4.0,0.06852749278704245
2013-01-08,TRY,5.0,0.06968214775215556
2013-01-09,TRY,0.75,0.062048623610972534
2013-01-09,TRY,1.0,0.06370244717817368
2013-01-09,TRY,2.0,0.06555053134322956
2013-01-09,TRY,3.0,0.06726801137726279
2013-01-09,TRY,4.0,0.0684990021140764
2013-01-09,TRY,5.0,0.0695486064974335
2013-01-10,TRY,0.75,0.06270088024688267
2013-01-10,TRY,1.0,0.06414079734029084
2013-01-10,TRY,2.0,0.06628106898919439
2013-01-10,TRY,3.0,0.06810021284659866
2013-01-10,TRY,4.0,0.06942431009402755
2013-01-10,TRY,5.0,0.07070003187356473
2013-01-11,TRY,0.75,0.06209806501493041
2013-01-11,TRY,1.0,0.0636646487172059
2013-01-11,TRY,2.0,0.06571193968510657
2013-01-11,TRY,3.0,0.06762876057071567
2013-01-11,TRY,4.0,0.06906607249226018
2013-01-11,TRY,5.0,0.07012015363052844
2013-01-14,TRY,0.75,0.06186925864269546
2013-01-14,TRY,1.0,0.06392348562957553
2013-01-14,TRY,2.0,0.06613654823087105
2013-01-14,TRY,3.0,0.06812451653797665
2013-01-14,TRY,4.0,0.06958134251717057
2013-01-14,TRY,5.0,0.07062951771779001
2013-01-15,TRY,0.75,0.062084582118589776
2013-01-15,TRY,1.0,0.06402020304629509
2013-01-15,TRY,2.0,0.0662130965635786
2013-01-15,TRY,3.0,0.06822858975219047
2013-01-15,TRY,4.0,0.06968078618248917
2013-01-15,TRY,5.0,0.07094222204410884
2013-01-16,TRY,0.75,0.06196185936474493
2013-01-16,TRY,1.0,0.06386007481904388
2013-01-16,TRY,2.0,0.06602785213914242
2013-01-16,TRY,3.0,0.06794391697130638
2013-01-16,TRY,4.0,0.06938886787035424
2013-01-16,TRY,5.0,0.07065238368281807
2013-01-17,TRY,0.75,0.0618858105266176
2013-01-17,TRY,1.0,0.06316978800687788
2013-01-17,TRY,2.0,0.06550743190455008
2013-01-17,TRY,3.0,0.06763175106327114
2013-01-17,TRY,4.0,0.06917606903636755
2013-01-17,TRY,5.0,0.07044527307783832
2013-01-18,TRY,0.75,0.06181095916538217
2013-01-18,TRY,1.0,0.06343367173374773
2013-01-18,TRY,2.0,0.06589015721922409
2013-01-18,TRY,3.0,0.06799500777100295
2013-01-18,TRY,4.0,0.06956212240561095
2013-01-18,TRY,5.0,0.07082508326042318
2013-01-21,TRY,0.75,0.06146181768061824
2013-01-21,TRY,1.0,0.06326506021403684
2013-01-21,TRY,2.0,0.06566695966232686
2013-01-21,TRY,3.0,0.06776431374307962
2013-01-21,TRY,4.0,0.06931929897503657
2013-01-21,TRY,5.0,0.0705779602496177
2013-01-22,TRY,0.75,0.061397545559467165
2013-01-22,TRY,1.0,0.0630775777391607
2013-01-22,TRY,2.0,0.06565690295025851
2013-01-22,TRY,3.0,0.06787866341350353
2013-01-22,TRY,4.0,0.06952794540780195
2013-01-22,TRY,5.0,0.07089378178009162
2013-01-23,TRY,0.75,0.0606442238645606
2013-01-23,TRY,1.0,0.0621749548559025
2013-01-23,TRY,2.0,0.06519307898158899
2013-01-23,TRY,3.0,0.06761968821918951
2013-01-23,TRY,4.0,0.06957165642352654
2013-01-23,TRY,5.0,0.07115176802375503
2013-01-24,TRY,0.75,0.06144383833174514
2013-01-24,TRY,1.0,0.06225228133696833
2013-01-24,TRY,2.0,0.06533853005369138
2013-01-24,TRY,3.0,0.0678730028838023
2013-01-24,TRY,4.0,0.06981676059087843
2013-01-24,TRY,5.0,0.07140618803286532
2013-01-25,TRY,0.75,0.061586366926473075
2013-01-25,TRY,1.0,0.06235136214639526
2013-01-25,TRY,2.0,0.06553034447048386
2013-01-25,TRY,3.0,0.06826718470541489
2013-01-25,TRY,4.0,0.07032080281544353
2013-01-25,TRY,5.0,0.07190703502053973
2013-01-28,TRY,0.75,0.061225325963701255
