Date,Term,Value
2000-01-03 00:00,30,0.0311
2000-01-03 00:00,61,0.03145
2000-01-03 00:00,91,0.0324
2000-01-03 00:00,122,0.0331
2000-01-03 00:00,152,0.0336
2000-01-03 00:00,182,0.0345
2000-01-03 00:00,213,0.03515
2000-01-03 00:00,243,0.0357
2000-01-03 00:00,273,0.0365
2000-01-03 00:00,304,0.037
2000-01-03 00:00,335,0.0375
2000-01-03 00:00,365,0.0384
2000-01-03 00:00,547,
2000-01-03 00:00,730,
2000-01-03 00:00,1095,
2000-01-03 00:00,1460,
2000-01-03 00:00,1825,
2000-01-03 00:00,2190,
2000-01-03 00:00,2555,
2000-01-03 00:00,2920,
2000-01-03 00:00,3285,
2000-01-03 00:00,3650,
2000-01-03 00:00,4380,
2000-01-03 00:00,5475,
2000-01-03 00:00,7300,
2000-01-03 00:00,9125,
2000-01-03 00:00,10950,
2000-01-03 00:00,12775,
2000-01-03 00:00,14600,
2000-01-03 00:00,18250,
2000-01-04 00:00,30,0.0307
2000-01-04 00:00,61,0.0317
2000-01-04 00:00,91,0.0325
2000-01-04 00:00,122,0.0333
2000-01-04 00:00,152,0.0339
2000-01-04 00:00,182,0.0349
2000-01-04 00:00,213,0.03535
2000-01-04 00:00,243,0.03595
2000-01-04 00:00,273,0.0369
2000-01-04 00:00,304,0.03735
2000-01-04 00:00,335,0.03805
2000-01-04 00:00,365,0.0389
2000-01-04 00:00,547,
2000-01-04 00:00,730,
2000-01-04 00:00,1095,
2000-01-04 00:00,1460,
2000-01-04 00:00,1825,
2000-01-04 00:00,2190,
2000-01-04 00:00,2555,
2000-01-04 00:00,2920,
2000-01-04 00:00,3285,
2000-01-04 00:00,3650,
2000-01-04 00:00,4380,
2000-01-04 00:00,5475,
2000-01-04 00:00,7300,
2000-01-04 00:00,9125,
2000-01-04 00:00,10950,
2000-01-04 00:00,12775,
2000-01-04 00:00,14600,
2000-01-04 00:00,18250,
2000-01-05 00:00,30,0.0309
2000-01-05 00:00,61,0.0318
2000-01-05 00:00,91,0.0326
2000-01-05 00:00,122,0.0335
2000-01-05 00:00,152,0.0342
2000-01-05 00:00,182,0.035
2000-01-05 00:00,213,0.03535
2000-01-05 00:00,243,0.03595
2000-01-05 00:00,273,0.0372
2000-01-05 00:00,304,0.03735
2000-01-05 00:00,335,0.03805
2000-01-05 00:00,365,0.0391
2000-01-05 00:00,547,
2000-01-05 00:00,730,
2000-01-05 00:00,1095,
2000-01-05 00:00,1460,
2000-01-05 00:00,1825,
2000-01-05 00:00,2190,
2000-01-05 00:00,2555,
2000-01-05 00:00,2920,
2000-01-05 00:00,3285,
2000-01-05 00:00,3650,
2000-01-05 00:00,4380,
2000-01-05 00:00,5475,
2000-01-05 00:00,7300,
2000-01-05 00:00,9125,
2000-01-05 00:00,10950,
2000-01-05 00:00,12775,
2000-01-05 00:00,14600,
2000-01-05 00:00,18250,
2000-01-06 00:00,30,0.0307
2000-01-06 00:00,61,0.0316
2000-01-06 00:00,91,0.0326
2000-01-06 00:00,122,0.0334
2000-01-06 00:00,152,0.0341
2000-01-06 00:00,182,0.0348
2000-01-06 00:00,213,0.0353
2000-01-06 00:00,243,0.0359
2000-01-06 00:00,273,0.037
2000-01-06 00:00,304,0.03725
2000-01-06 00:00,335,0.03785
2000-01-06 00:00,365,0.0388
2000-01-06 00:00,547,0.0407
2000-01-06 00:00,730,0.0431
2000-01-06 00:00,1095,
2000-01-06 00:00,1460,
2000-01-06 00:00,1825,
2000-01-06 00:00,2190,
2000-01-06 00:00,2555,
2000-01-06 00:00,2920,
2000-01-06 00:00,3285,
2000-01-06 00:00,3650,
2000-01-06 00:00,4380,
2000-01-06 00:00,5475,
2000-01-06 00:00,7300,
2000-01-06 00:00,9125,
2000-01-06 00:00,10950,
2000-01-06 00:00,12775,
2000-01-06 00:00,14600,
2000-01-06 00:00,18250,
2000-01-07 00:00,30,0.0306
2000-01-07 00:00,61,0.0314
2000-01-07 00:00,91,0.0323
2000-01-07 00:00,122,0.0332
2000-01-07 00:00,152,0.0339
2000-01-07 00:00,182,0.0347
2000-01-07 00:00,213,0.03525
2000-01-07 00:00,243,0.03585
2000-01-07 00:00,273,0.0367
2000-01-07 00:00,304,0.03715
2000-01-07 00:00,335,0.03765
2000-01-07 00:00,365,0.0386
2000-01-07 00:00,547,0.04065
2000-01-07 00:00,730,0.04295
2000-01-07 00:00,1095,
2000-01-07 00:00,1460,
2000-01-07 00:00,1825,
