Date,Term,Value
2005-07-20,30,3.553442262660411e-13
2005-07-20,61,2.2866243968203137e-05
2005-07-20,91,-9.69286517800011e-05
2005-07-20,122,-6.466057413481371e-05
2005-07-20,152,-0.0002422760797627828
2005-07-20,182,-0.00024961024192300674
2005-07-20,213,-0.0002732383218601031
2005-07-20,243,-0.0006279719967647764
2005-07-20,273,-0.0008376831654457566
2005-07-20,304,-0.001005491896304625
2005-07-20,335,-0.001520627216051177
2005-07-20,365,-0.001477378396161879
2005-07-20,547,-0.0020976560477514866
2005-07-20,730,-0.0031466543231414464
2005-07-20,1095,-0.004574602392666518
2005-07-20,1460,-0.006115157455424285
2005-07-20,1825,-0.006716376281740384
2005-07-20,2190,-0.007645297612721324
2005-07-20,2555,-0.008368445745087712
2005-07-20,2920,-0.008374116176497838
2005-07-20,3285,-0.008491896352069879
2005-07-20,3650,-0.008491971664488215
2005-07-21,30,5.675229982220892e-06
2005-07-21,61,-2.8657540803857934e-05
2005-07-21,91,-4.752154634167158e-05
2005-07-21,122,-0.00014693124687175513
2005-07-21,152,-0.0003180962497637309
2005-07-21,182,-0.0002761639179795945
2005-07-21,213,-0.0005232620743117374
2005-07-21,243,-0.0006550087978276324
2005-07-21,273,-0.0009261474361658209
2005-07-21,304,-0.0011910516541528242
2005-07-21,335,-0.001301192765736571
2005-07-21,365,-0.0013939372989569057
2005-07-21,547,-0.002234592043864187
2005-07-21,730,-0.0031826901269092385
2005-07-21,1095,-0.004271806238548323
2005-07-21,1460,-0.005727014433891144
2005-07-21,1825,-0.00694568216979511
2005-07-21,2190,-0.007600642663647957
2005-07-21,2555,-0.00844952956279384
2005-07-21,2920,-0.008524983527529912
2005-07-21,3285,-0.008524228820080582
2005-07-21,3650,-0.008476185335092139
2005-07-22,30,1.611364287937636e-05
2005-07-22,61,2.009294539029316e-06
2005-07-22,91,-2.2884819039781235e-13
2005-07-22,122,-2.2884819039781235e-13
2005-07-22,152,-0.00018941718917718509
2005-07-22,182,-5.3128939848202245e-05
2005-07-22,213,-0.00023818854066149503
2005-07-22,243,-0.0005689549933163146
2005-07-22,273,-0.0006115799239571097
2005-07-22,304,-0.0009183255181071798
2005-07-22,335,-0.0008175025542029347
2005-07-22,365,-0.0009553014561980988
2005-07-22,547,-0.0020044585280105977
2005-07-22,730,-0.0030417129476278636
2005-07-22,1095,-0.004304326994893699
2005-07-22,1460,-0.0055602783869243486
2005-07-22,1825,-0.006785347519523102
2005-07-22,2190,-0.007660673310462721
2005-07-22,2555,-0.008404741777806628
2005-07-22,2920,-0.008418245029724786
2005-07-22,3285,-0.008526090995616707
2005-07-22,3650,-0.008687452011457215
2005-07-25,30,1.1069228531911113e-05
2005-07-25,61,1.7586381897204822e-05
2005-07-25,91,4.857255457226331e-05
2005-07-25,122,-0.00019212660807840093
2005-07-25,152,-0.00019124700122571253
2005-07-25,182,-0.00011874323163150319
2005-07-25,213,-0.00032782758556618163
2005-07-25,243,-0.0005606611787588103
2005-07-25,273,-0.0005663006540352691
2005-07-25,304,-0.0008088583428021053
2005-07-25,335,-0.0011091894482399348
2005-07-25,365,-0.0011510090327441873
2005-07-25,547,-0.0018974362429717666
2005-07-25,730,-0.0029321748187012622
2005-07-25,1095,-0.004204391731734786
2005-07-25,1460,-0.005587997802579323
2005-07-25,1825,-0.006665627531148213
2005-07-25,2190,-0.007468880135034793
2005-07-25,2555,-0.008221829971521391
2005-07-25,2920,-0.008320296604706845
2005-07-25,3285,-0.008395406980805036
2005-07-25,3650,-0.008397916441923572
2005-07-26,30,5.629456719426218e-06
2005-07-26,61,-6.456115279908012e-05
2005-07-26,91,-4.2213455652657245e-05
2005-07-26,122,-0.00012828919017187843
2005-07-26,152,-0.00020639608816755764
2005-07-26,182,-0.00014828055049921282
2005-07-26,213,-0.0003324327192047796
2005-07-26,243,-0.00046774364051153233
2005-07-26,273,-0.000835935875205935
2005-07-26,304,-0.000991482554721073
2005-07-26,335,-0.0014571911782829024
2005-07-26,365,-0.00146643755453333
2005-07-26,547,-0.0020594526455413494
2005-07-26,730,-0.0030740345678830494
2005-07-26,1095,-0.004073097928862172
2005-07-26,1460,-0.005364609395609135
2005-07-26,1825,-0.006647294577026643
2005-07-26,2190,-0.007372461454447778
2005-07-26,2555,-0.008074845382757982
2005-07-26,2920,-0.008174134384399834
