Date,Term,Value
2013-01-02,0,-2.247089902172872e-09
2013-01-02,1,-1.670733233731167e-07
2013-01-02,2,-8.36070552143707e-07
2013-01-02,7,-8.892064023333437e-06
2013-01-02,14,-1.0850532158409969e-05
2013-01-02,30,2.418569306169866e-05
2013-01-02,61,3.9561377906443575e-05
2013-01-02,91,4.347926376128703e-05
2013-01-02,122,2.6558868721573287e-05
2013-01-02,152,-4.580124001294164e-06
2013-01-02,182,-5.187485360608722e-05
2013-01-02,213,-0.0001172734819046041
2013-01-02,243,-0.00017065804203677572
2013-01-02,273,-0.00018583656787798854
2013-01-02,304,-0.00018421228126927654
2013-01-02,335,-0.00021470348724760436
2013-01-02,365,-0.0003199840041119449
2013-01-02,395,-0.0003960490521352734
2013-01-02,425,-0.00047910205125590525
2013-01-02,456,-0.000571843891217714
2013-01-02,486,-0.0006686886070051256
2013-01-02,516,-0.0007724538549593873
2013-01-02,547,-0.0008869235214940567
2013-01-02,577,-0.0009998159485259785
2013-01-02,607,-0.0011034546630324703
2013-01-02,638,-0.0012014106274121543
2013-01-02,668,-0.0012879309132976628
2013-01-02,698,-0.0013666241304986964
2013-01-02,730,-0.0014432182791196298
2013-01-02,1095,-0.002907744510018472
2013-01-02,1460,-0.005493104890821063
2013-01-02,1825,-0.008310379314419764
2013-01-02,2190,-0.010633369466472205
2013-01-02,2555,-0.012984240964181527
2013-01-02,2920,-0.014899049467281135
2013-01-02,3285,-0.015702382059850716
2013-01-02,3650,-0.016597355071931538
2013-01-02,4380,-0.015567100603609385
2013-01-02,5475,-0.013722133512952085
2013-01-02,7300,-0.010659394756768994
2013-01-02,9125,-0.006454809157817126
2013-01-02,10950,-0.003528742536059476
2013-01-02,14600,-0.0017172806590191117
2013-01-02,18250,0.0015987779874616567
2013-01-03,0,3.614883734362473e-09
2013-01-03,1,2.8421162872379474e-07
2013-01-03,2,1.3480575026866143e-06
2013-01-03,7,6.577254916814018e-06
2013-01-03,14,4.776632689585357e-06
2013-01-03,30,4.179301643972202e-05
2013-01-03,61,4.5111572045747166e-05
2013-01-03,91,4.808669034258965e-05
2013-01-03,122,2.1902373718857802e-05
2013-01-03,152,-1.8997423190438185e-05
2013-01-03,182,-8.004177366485558e-05
2013-01-03,213,-0.00016207023784829341
2013-01-03,243,-0.00020690654715440054
2013-01-03,273,-0.000229229633813317
2013-01-03,304,-0.0002935463523114487
2013-01-03,335,-0.0003123981286641776
2013-01-03,365,-0.00039880594213706315
2013-01-03,395,-0.0004365110384221618
2013-01-03,425,-0.0005021983775826584
2013-01-03,456,-0.0005958429432390147
2013-01-03,486,-0.0007112116455056348
2013-01-03,516,-0.0008497271972546386
2013-01-03,547,-0.0010163411217317285
2013-01-03,577,-0.0011883723369833432
2013-01-03,607,-0.0013442948381855325
2013-01-03,638,-0.0014894770655166697
2013-01-03,668,-0.0016154125641864268
2013-01-03,698,-0.0017278789828829274
2013-01-03,730,-0.0018342066607106768
2013-01-03,1095,-0.0033951281750785357
2013-01-03,1460,-0.006011188365626674
2013-01-03,1825,-0.008747197074333664
2013-01-03,2190,-0.0111047974553332
2013-01-03,2555,-0.013677853488395654
2013-01-03,2920,-0.015322877301599584
2013-01-03,3285,-0.016488893496771854
2013-01-03,3650,-0.016678287727639608
2013-01-03,4380,-0.015363934618831843
2013-01-03,5475,-0.013521903868687922
2013-01-03,7300,-0.010243911903317231
2013-01-03,9125,-0.005989601598833036
2013-01-03,10950,-0.002981942154756334
2013-01-03,14600,-0.0016601922681879558
2013-01-03,18250,-0.002251171948309545
2013-01-04,0,3.739228651537807e-09
2013-01-04,1,2.871810228146504e-07
2013-01-04,2,1.3927882803578887e-06
2013-01-04,7,2.8426664692776313e-06
2013-01-04,14,-4.99408470636814e-07
2013-01-04,30,3.084185804048262e-05
2013-01-04,61,2.8309885288282585e-05
2013-01-04,91,2.0203088114694248e-05
2013-01-04,122,-1.881515752663078e-05
2013-01-04,152,-7.461209700462736e-05
2013-01-04,182,-0.0001531605698251691
2013-01-04,213,-0.00025286181157079847
2013-01-04,243,-0.0002566478196811819
2013-01-04,273,-0.00024190810168061867
2013-01-04,304,-0.00038313347874854246
2013-01-04,335,-0.00038586544509772776
2013-01-04,365,-0.00044831363644805364
2013-01-04,395,-0.00046183691328495827
2013-01-04,425,-0.0005249338266813831
2013-01-04,456,-0.0006421238617621604
2013-01-04,486,-0.0008030448874676403
2013-01-04,516,-0.0010085913831792519
2013-01-04,547,-0.0012665793138889022
2013-01-04,577,-0.0015369387172889173
2013-01-04,607,-0.001762449627278619
2013-01-04,638,-0.001945404791077441
2013-01-04,668,-0.002077435830226405
2013-01-04,698,-0.002166661691815326
2013-01-04,730,-0.0022190127827236812
2013-01-04,1095,-0.003707901650598172
2013-01-04,1460,-0.006697461667516339
2013-01-04,1825,-0.009226601518651515
2013-01-04,2190,-0.011310053720009195
2013-01-04,2555,-0.013447587631593792
2013-01-04,2920,-0.015309778371925882
2013-01-04,3285,-0.016247052178329446
2013-01-04,3650,-0.016742080680647954
2013-01-04,4380,-0.015122127964036145
