Date,Term,Value
2013-01-01,0,0.005213782
2013-01-01,1,0.00529865
2013-01-01,2,0.005452697
2013-01-01,7,0.005313081
2013-01-01,14,0.00522516
2013-01-01,30,0.005511719
2013-01-01,61,0.005975727
2013-01-01,91,0.006307653
2013-01-01,122,0.006501101
2013-01-01,152,0.006574614
2013-01-01,182,0.00657481
2013-01-01,213,0.006535161
2013-01-01,243,0.006548409
2013-01-01,273,0.006615262
2013-01-01,304,0.006629936
2013-01-01,335,0.006671906
2013-01-01,365,0.006666158
2013-01-01,395,0.006705244
2013-01-01,425,0.006728512
2013-01-01,456,0.006736857
2013-01-01,486,0.006733822
2013-01-01,516,0.006722027
2013-01-01,547,0.006701853
2013-01-01,577,0.006683104
2013-01-01,607,0.006687035
2013-01-01,638,0.006716443
2013-01-01,668,0.006763805
2013-01-01,698,0.006832187
2013-01-01,730,0.006921902
2013-01-01,1095,0.007521673
2013-01-01,1460,0.007785762
2013-01-01,1825,0.007514919
2013-01-01,2190,0.007148061
2013-01-01,2555,0.006839476
2013-01-01,2920,0.007152748
2013-01-01,3285,0.007700814
2013-01-01,3650,0.008742945
2013-01-01,4380,0.011495131
2013-01-01,5475,0.014723413
2013-01-01,7300,0.019705571
2013-01-01,9125,0.02349449
2013-01-01,10950,0.026056629
2013-01-01,14600,0.027469062
2013-01-01,18250,0.025921138
2013-01-02,0,0.005220995
2013-01-02,1,0.005183691
2013-01-02,2,0.005128752
2013-01-02,7,0.004981057
2013-01-02,14,0.005187855
2013-01-02,30,0.005604754
2013-01-02,61,0.005989019
2013-01-02,91,0.006313301
2013-01-02,122,0.006504136
2013-01-02,152,0.00657731
2013-01-02,182,0.006579577
2013-01-02,213,0.00654311
2013-01-02,243,0.006526193
2013-01-02,273,0.006579226
2013-01-02,304,0.006624851
2013-01-02,335,0.006645615
2013-01-02,365,0.006643709
2013-01-02,395,0.006644485
2013-01-02,425,0.006642965
2013-01-02,456,0.006645062
2013-01-02,486,0.006653756
2013-01-02,516,0.006671086
2013-01-02,547,0.006698875
2013-01-02,577,0.006736164
2013-01-02,607,0.006784115
2013-01-02,638,0.006842123
2013-01-02,668,0.006905556
2013-01-02,698,0.006976268
2013-01-02,730,0.007055784
2013-01-02,1095,0.007749434
2013-01-02,1460,0.008106906
2013-01-02,1825,0.007928876
2013-01-02,2190,0.007592552
2013-01-02,2555,0.007106553
2013-01-02,2920,0.007462863
2013-01-02,3285,0.008284817
2013-01-02,3650,0.009428773
2013-01-02,4380,0.011924207
2013-01-02,5475,0.015405519
2013-01-02,7300,0.020291383
2013-01-02,9125,0.024034586
2013-01-02,10950,0.026564692
2013-01-02,14600,0.027388232
2013-01-02,18250,0.02682385
2013-01-03,0,0.005197287
2013-01-03,1,0.005255041
2013-01-03,2,0.005319686
2013-01-03,7,0.005298585
2013-01-03,14,0.005330098
2013-01-03,30,0.005660269
2013-01-03,61,0.005967935
2013-01-03,91,0.006294731
2013-01-03,122,0.006480166
2013-01-03,152,0.006553997
2013-01-03,182,0.006557177
2013-01-03,213,0.006523801
2013-01-03,243,0.006529115
2013-01-03,273,0.00657996
2013-01-03,304,0.006597102
2013-01-03,335,0.006638374
2013-01-03,365,0.006655885
2013-01-03,395,0.006680291
2013-01-03,425,0.006691547
2013-01-03,456,0.006698379
2013-01-03,486,0.00670518
2013-01-03,516,0.006715984
2013-01-03,547,0.006733674
2013-01-03,577,0.006762244
2013-01-03,607,0.006808961
2013-01-03,638,0.006872565
2013-01-03,668,0.006943155
2013-01-03,698,0.007022452
2013-01-03,730,0.007113019
2013-01-03,1095,0.007980963
2013-01-03,1460,0.008475759
2013-01-03,1825,0.008382066
2013-01-03,2190,0.007958321
2013-01-03,2555,0.007327043
2013-01-03,2920,0.007707715
2013-01-03,3285,0.008341324
2013-01-03,3650,0.009770635
2013-01-03,4380,0.012293918
2013-01-03,5475,0.015711667
2013-01-03,7300,0.020619913
2013-01-03,9125,0.024315782
2013-01-03,10950,0.026831843
2013-01-03,14600,0.027826576
2013-01-03,18250,0.025778779
2013-01-04,0,0.005087828
2013-01-04,1,0.005146452
2013-01-04,2,0.005226241
2013-01-04,7,0.005087425
2013-01-04,14,0.005155971
2013-01-04,30,0.00550177
2013-01-04,61,0.005843075
2013-01-04,91,0.006179389
2013-01-04,122,0.006371649
