Date,Term,Rate
2013-01-01,0,0.001455064
2013-01-01,1,0.001370297
2013-01-01,2,0.00121655
2013-01-01,7,0.001361067
2013-01-01,14,0.001457261
2013-01-01,30,0.001165612
2013-01-01,61,0.000678818
2013-01-01,91,0.000329294
2013-01-01,122,0.000125206
2013-01-01,152,4.92561E-05
2013-01-01,182,5.45358E-05
2013-01-01,213,0.000108238
2013-01-01,243,0.00011543
2013-01-01,273,6.99103E-05
2013-01-01,304,7.56266E-05
2013-01-01,335,5.27427E-05
2013-01-01,365,8.339E-05
2013-01-01,395,7.39964E-05
2013-01-01,425,8.43173E-05
2013-01-01,456,0.000114727
2013-01-01,486,0.00015915
2013-01-01,516,0.000216126
2013-01-01,547,0.000286951
2013-01-01,577,0.000358366
2013-01-01,607,0.000409951
2013-01-01,638,0.000440137
2013-01-01,668,0.000451991
2013-01-01,698,0.00044385
2013-01-01,730,0.000419063
2013-01-01,1095,0.000671345
2013-01-01,1460,0.001633882
2013-01-01,1825,0.003502399
2013-01-01,2190,0.005653068
2013-01-01,2555,0.007826653
2013-01-01,2920,0.009449791
2013-01-01,3285,0.010729541
2013-01-01,3650,0.011438946
2013-01-01,4380,0.01165697
2013-01-01,5475,0.011717921
2013-01-01,7300,0.010295538
2013-01-01,9125,0.008431998
2013-01-01,10950,0.006679736
2013-01-01,14600,0.00623158
2013-01-01,18250,0.007668867
2013-01-02,0,0.001512
2013-01-02,1,0.001549138
2013-01-02,2,0.001603578
2013-01-02,7,0.001745617
2013-01-02,14,0.001536238
2013-01-02,30,0.001100475
2013-01-02,61,0.000685522
2013-01-02,91,0.000341168
2013-01-02,122,0.000139787
2013-01-02,152,6.6321E-05
2013-01-02,182,7.3529E-05
2013-01-02,213,0.000130055
2013-01-02,243,0.000173369
2013-01-02,273,0.00014516
2013-01-02,304,0.00013003
2013-01-02,335,0.000138361
2013-01-02,365,0.000172809
2013-01-02,395,0.000205882
2013-01-02,425,0.000243025
2013-01-02,456,0.000281293
2013-01-02,486,0.000316331
2013-01-02,516,0.000348248
2013-01-02,547,0.000377899
2013-01-02,577,0.000402719
2013-01-02,607,0.000422064
2013-01-02,638,0.00043768
2013-01-02,668,0.000448365
2013-01-02,698,0.000453714
2013-01-02,730,0.000456654
2013-01-02,1095,0.0008059
2013-01-02,1460,0.001814312
2013-01-02,1825,0.003711689
2013-01-02,2190,0.005893728
2013-01-02,2555,0.008362856
2013-01-02,2920,0.009993765
2013-01-02,3285,0.011093817
2013-01-02,3650,0.011733508
2013-01-02,4380,0.012187661
2013-01-02,5475,0.011947662
2013-01-02,7300,0.010550245
2013-01-02,9125,0.008600848
2013-01-02,10950,0.00682742
2013-01-02,14600,0.006601257
2013-01-02,18250,0.007617255
2013-01-03,0,0.001480077
2013-01-03,1,0.001422154
2013-01-03,2,0.001357
2013-01-03,7,0.001372518
2013-01-03,14,0.001341808
2013-01-03,30,0.001000048
2013-01-03,61,0.000671087
2013-01-03,91,0.000333276
2013-01-03,122,0.000147502
2013-01-03,152,8.42443E-05
2013-01-03,182,0.000102429
2013-01-03,213,0.000169252
2013-01-03,243,0.000200569
2013-01-03,273,0.000175686
2013-01-03,304,0.000196617
