Date,Term,Value
2013-02-13,0,0.004740150862914863
2013-02-13,1,0.004448482738822764
2013-02-13,2,0.004932244055845496
2013-02-13,7,0.006038311407397826
2013-02-13,14,0.005011804969181487
2013-02-13,30,0.0044610363662219415
2013-02-13,61,0.005206103106329613
2013-02-13,91,0.004979810977015147
2013-02-13,122,0.004940920582953506
2013-02-13,152,0.004842219446503869
2013-02-13,182,0.004762782188373942
2013-02-13,213,0.004684187594692736
2013-02-13,243,0.004681896090757965
2013-02-13,273,0.004755229303101276
2013-02-13,304,0.004813492279794449
2013-02-13,335,0.004803606967653684
2013-02-13,365,0.004736657660817303
2013-02-13,395,0.004712245663852211
2013-02-13,425,0.004696753421128562
2013-02-13,456,0.004693725704281431
2013-02-13,486,0.004702757922895608
2013-02-13,516,0.004723800351887438
2013-02-13,547,0.0047576383611834805
2013-02-13,577,0.004795229079743167
2013-02-13,607,0.004822470290882275
2013-02-13,638,0.004841035584989094
2013-02-13,668,0.004849755333421286
2013-02-13,698,0.004848361198944141
2013-02-13,730,0.004832478099413227
2013-02-13,1095,0.004765308768382164
2013-02-13,1460,0.005208859989572141
2013-02-13,1825,0.0060815493304000575
2013-02-13,2190,0.007285863686161303
2013-02-13,2555,0.008374229630793173
2013-02-13,2920,0.009815668930548785
2013-02-13,3285,0.011334049714031423
2013-02-13,3650,0.012579521685462733
2013-02-13,4380,0.01534950723903675
2013-02-13,5475,0.01831501919345914
2013-02-13,7300,0.021651809831659485
2013-02-13,9125,0.023863270827585756
2013-02-13,10950,0.025331342883909643
2013-02-13,14600,0.026794080159414813
2013-02-13,18250,0.026111753662725494
2013-02-14,0,0.005035796777027568
2013-02-14,1,0.0050982607923817464
2013-02-14,2,0.005174117691751981
2013-02-14,7,0.005070092926323044
2013-02-14,14,0.004998998302850159
2013-02-14,30,0.0052865621041962955
2013-02-14,61,0.005164013111101976
2013-02-14,91,0.005113428158790611
2013-02-14,122,0.0050431910959010725
2013-02-14,152,0.004992158394003674
2013-02-14,182,0.004950112405628218
2013-02-14,213,0.0049195780615658
2013-02-14,243,0.004921757659815502
2013-02-14,273,0.004918708188788553
2013-02-14,304,0.004947322018550353
2013-02-14,335,0.0050139336028649124
2013-02-14,365,0.005019023375372909
2013-02-14,395,0.005022331239792123
2013-02-14,425,0.005012426359073926
2013-02-14,456,0.004990405753429178
2013-02-14,486,0.004958401703121713
2013-02-14,516,0.004916664959430286
2013-02-14,547,0.004864045987414132
2013-02-14,577,0.004811684779677161
2013-02-14,607,0.004774221818638909
2013-02-14,638,0.004751685675038437
2013-02-14,668,0.004744654421208488
2013-02-14,698,0.0047545490169150426
2013-02-14,730,0.004781168000645029
2013-02-14,1095,0.005027576403940335
2013-02-14,1460,0.005412029970045063
2013-02-14,1825,0.00638203721234164
2013-02-14,2190,0.007715132335978875
2013-02-14,2555,0.009064903559181946
2013-02-14,2920,0.010540086527132906
2013-02-14,3285,0.012183120860004103
2013-02-14,3650,0.013750132864845548
2013-02-14,4380,0.016471147531978113
2013-02-14,5475,0.019485771315223242
2013-02-14,7300,0.02308490689368226
2013-02-14,9125,0.025391261126946903
2013-02-14,10950,0.026463456360978257
2013-02-14,14600,0.027725755074986026
2013-02-14,18250,0.028191392773297335
2013-02-15,0,0.004990398578405949
2013-02-15,1,0.005035042713628503
2013-02-15,2,0.005100183811236657
2013-02-15,7,0.005275146230780501
2013-02-15,14,0.005202994299419449
2013-02-15,30,0.005060019743220349
2013-02-15,61,0.005089451591292964
2013-02-15,91,0.004985436548098231
2013-02-15,122,0.004914482420669309
2013-02-15,152,0.004843843461157986
2013-02-15,182,0.004780900614204166
2013-02-15,213,0.004728742969091085
2013-02-15,243,0.004816712182320595
2013-02-15,273,0.0048917631195377065
2013-02-15,304,0.004846839269184227
2013-02-15,335,0.004906219881859623
2013-02-15,365,0.004878876097886705
2013-02-15,395,0.004890534011892948
2013-02-15,425,0.004898975455857909
2013-02-15,456,0.004903924720973441
2013-02-15,486,0.0049040833621009795
2013-02-15,516,0.004899209248791895
2013-02-15,547,0.004888220752721415
2013-02-15,577,0.004872373656593001
2013-02-15,607,0.004855636331023259
2013-02-15,638,0.0048440732679864386
2013-02-15,668,0.004833690175830962
2013-02-15,698,0.004827755331964192
2013-02-15,730,0.004825393751485801
2013-02-15,1095,0.005003081085388456
2013-02-15,1460,0.005509216653972431
2013-02-15,1825,0.006510768420513269
2013-02-15,2190,0.007874350628776953
2013-02-15,2555,0.009214974888171145
2013-02-15,2920,0.010764194668666262
2013-02-15,3285,0.012371429612872032
2013-02-15,3650,0.013766123219151575
2013-02-15,4380,0.016695551475374985
2013-02-15,5475,0.019718418393546835
2013-02-15,7300,0.023220222387334573
2013-02-15,9125,0.025579561076265505
2013-02-15,10950,0.02674434713739841
2013-02-15,14600,0.02808886932878724
2013-02-15,18250,0.028569113862794808
2013-02-18,0,0.005167200684014219
2013-02-18,1,0.005358900984181382
2013-02-18,2,0.005186509689884046
2013-02-18,7,0.005105274734282865
2013-02-18,14,0.005465468080055315
2013-02-18,30,0.005340266475534659
2013-02-18,61,0.005110364344211576
2013-02-18,91,0.005057554417595831
2013-02-18,122,0.004989171924586514
2013-02-18,152,0.004943138812672943
2013-02-18,182,0.00490204893805435
2013-02-18,213,0.0048769066515992315
2013-02-18,243,0.004971519639555459
2013-02-18,273,0.005001053466594664
2013-02-18,304,0.00495575116303429
2013-02-18,335,0.005062303406979244
2013-02-18,365,0.005018229774334535
2013-02-18,395,0.00500641971861166
2013-02-18,425,0.004998058555484512
2013-02-18,456,0.004993625127944757
2013-02-18,486,0.004993268450205873
2013-02-18,516,0.004996872605157687
2013-02-18,547,0.005004551942666526
2013-02-18,577,0.005012329982214153
2013-02-18,607,0.005014182539636194
2013-02-18,638,0.005014718173487885
2013-02-18,668,0.00500708707884324
2013-02-18,698,0.0049974056815759345
2013-02-18,730,0.004983183998515865
2013-02-18,1095,0.005139743000971614
2013-02-18,1460,0.005764303528524006
2013-02-18,1825,0.006896911321568923
2013-02-18,2190,0.008411045958765948
2013-02-18,2555,0.00991406833803124
2013-02-18,2920,0.01153209885125987
2013-02-18,3285,0.013249109184809165
2013-02-18,3650,0.01487751885716004
2013-02-18,4380,0.01763132444251556
2013-02-18,5475,0.020689454024922657
2013-02-18,7300,0.02438717434960983
2013-02-18,9125,0.02663864381583901
2013-02-18,10950,0.027747436168948886
2013-02-18,14600,0.029031449850601798
2013-02-18,18250,0.029520115411687843
2013-02-19,0,0.0056019488504875925
2013-02-19,1,0.005632996148559935
2013-02-19,2,0.005635868117742513
2013-02-19,7,0.005788589577160504
2013-02-19,14,0.005905217837734062
2013-02-19,30,0.005708741656243831
2013-02-19,61,0.005531742965534793
2013-02-19,91,0.005426637914462363
2013-02-19,122,0.00531648868925833
2013-02-19,152,0.005215323576460884
2013-02-19,182,0.005112557870904434
2013-02-19,213,0.005015319435710558
2013-02-19,243,0.005146618579678903
2013-02-19,273,0.0051965822058898424
2013-02-19,304,0.005006113823804786
2013-02-19,335,0.00511443027793002
2013-02-19,365,0.005079995822935595
2013-02-19,395,0.0050612494275553786
2013-02-19,425,0.005032661779121194
2013-02-19,456,0.005000047557315463
2013-02-19,486,0.004968014931600434
2013-02-19,516,0.004938301069240505
2013-02-19,547,0.004912053811233801
2013-02-19,577,0.004894599879304759
2013-02-19,607,0.004890747486443275
2013-02-19,638,0.004907272867627071
2013-02-19,668,0.004926179215592172
2013-02-19,698,0.004952397198339672
2013-02-19,730,0.004986461675147781
2013-02-19,1095,0.0054288323109562536
2013-02-19,1460,0.006221651102915581
2013-02-19,1825,0.007692775114041625
2013-02-19,2190,0.00955839629160165
2013-02-19,2555,0.011288260693553927
2013-02-19,2920,0.01316841590658588
2013-02-19,3285,0.015022848756777535
2013-02-19,3650,0.016790759754410925
2013-02-19,4380,0.019747244158751755
2013-02-19,5475,0.02281896966003545
2013-02-19,7300,0.02650846274851287
2013-02-19,9125,0.02873059674404419
2013-02-19,10950,0.02983664765351774
2013-02-19,14600,0.03111641588158362
2013-02-19,18250,0.03133205728009196
2013-02-20,0,0.005989305362207958
2013-02-20,1,0.005955472448219822
2013-02-20,2,0.005844965872510456
2013-02-20,7,0.006165940080671786
2013-02-20,14,0.006739331748108865
2013-02-20,30,0.00635579955916102
2013-02-20,61,0.00606119496955469
2013-02-20,91,0.005970566584730325
2013-02-20,122,0.0058712583465159816
2013-02-20,152,0.005793168074699578
2013-02-20,182,0.005720738119081447
2013-02-20,213,0.005651976569659559
2013-02-20,243,0.005561156463596772
2013-02-20,273,0.005451884076910296
2013-02-20,304,0.00537486127048098
2013-02-20,335,0.005316003098426891
2013-02-20,365,0.0052716709742111805
2013-02-20,395,0.005261701077004295
2013-02-20,425,0.00522440098236223
2013-02-20,456,0.005162009290270832
2013-02-20,486,0.005082372868763078
2013-02-20,516,0.004987586197758499
2013-02-20,547,0.004877523736713419
2013-02-20,577,0.004778210754860028
2013-02-20,607,0.004720697327876192
2013-02-20,638,0.004698558790111226
2013-02-20,668,0.00470887030990893
2013-02-20,698,0.004748777241129166
2013-02-20,730,0.00481831311560699
2013-02-20,1095,0.0053317052978844445
2013-02-20,1460,0.006130393560128387
2013-02-20,1825,0.007791494113771863
2013-02-20,2190,0.009672421444226594
2013-02-20,2555,0.011662070748273405
2013-02-20,2920,0.013597688950086733
2013-02-20,3285,0.015556527790993573
2013-02-20,3650,0.017484006665100596
2013-02-20,4380,0.02051452947308941
2013-02-20,5475,0.02367884217096244
2013-02-20,7300,0.027350502555808988
2013-02-20,9125,0.029551578981538842
2013-02-20,10950,0.030633757006996633
2013-02-20,14600,0.031829812266984496
2013-02-20,18250,0.031924585757550555
2013-02-21,0,0.006242269147067583
2013-02-21,1,0.0063101805499169925
2013-02-21,2,0.006334380767286344
2013-02-21,7,0.00655300132918427
2013-02-21,14,0.007007710873031171
2013-02-21,30,0.007111666660591515
2013-02-21,61,0.006495491623802333
2013-02-21,91,0.006463532210950299
2013-02-21,122,0.006339832458602288
2013-02-21,152,0.006264582888888433
2013-02-21,182,0.006187901173309463
2013-02-21,213,0.006116593836142812
2013-02-21,243,0.006005310054792601
2013-02-21,273,0.005909023780973138
2013-02-21,304,0.005917873270949526
2013-02-21,335,0.005881384351078054
2013-02-21,365,0.005804148970661685
2013-02-21,395,0.005767892802959871
2013-02-21,425,0.005720184191833999
2013-02-21,456,0.0056583907944795205
2013-02-21,486,0.0055868688473496835
2013-02-21,516,0.005504702835207691
2013-02-21,547,0.005409860252386866
2013-02-21,577,0.005321242733028521
2013-02-21,607,0.00526159894052413
2013-02-21,638,0.0052259493020460086
2013-02-21,668,0.005219275085185179
2013-02-21,698,0.005241483746457042
2013-02-21,730,0.005289787740209863
2013-02-21,1095,0.005870476270541497
2013-02-21,1460,0.006805452288895593
2013-02-21,1825,0.00862612926961048
2013-02-21,2190,0.010741475345042235
2013-02-21,2555,0.012836675078483187
2013-02-21,2920,0.014997555344071354
2013-02-21,3285,0.017189653701373223
2013-02-21,3650,0.019035858054710336
2013-02-21,4380,0.022141437851785507
2013-02-21,5475,0.025377504472157718
2013-02-21,7300,0.02900641957834226
2013-02-21,9125,0.031055262395074227
2013-02-21,10950,0.03207456453992043
2013-02-21,14600,0.03326546871731356
2013-02-21,18250,0.03321368377881052
2013-02-22,0,0.005875707085230046
2013-02-22,1,0.005939858044604076
2013-02-22,2,0.0059586596057531836
2013-02-22,7,0.006238832565274832
2013-02-22,14,0.006670017063606914
2013-02-22,30,0.006606590620203431
2013-02-22,61,0.0060122451313627525
2013-02-22,91,0.0059963433821844615
