Date,Term,Value
2013-01-01,0,0.006891321648174549
2013-01-01,1,0.007734003020439539
2013-01-01,2,0.009396829545198998
2013-01-01,7,0.007734079222015043
2013-01-01,14,0.005316575374116222
2013-01-01,30,0.012259606955202139
2013-01-01,61,0.02258385921101129
2013-01-01,91,0.025213774061844593
2013-01-01,122,0.02001923018271763
2013-01-01,152,0.009708026772149655
2013-01-01,182,-0.006564897431805112
2013-01-01,213,-0.02899705294682693
2013-01-01,243,-0.028668564660540522
2013-01-01,273,-0.022083643285178648
2013-01-01,304,-0.028307416953190202
2013-01-01,335,-0.017116676502142818
2013-01-01,365,-0.04786093868195754
2013-01-01,395,-0.0419521977526234
2013-01-01,425,-0.04736257119981163
2013-01-01,456,-0.06691847281582514
2013-01-01,486,-0.09818594268209493
2013-01-01,516,-0.14112526220753555
2013-01-01,547,-0.19721889881191176
2013-01-01,577,-0.25503260680360684
2013-01-01,607,-0.29718922774544937
2013-01-01,638,-0.32108306848219537
2013-01-01,668,-0.3285573219012589
2013-01-01,698,-0.31889014040707775
2013-01-01,730,-0.2953230874232255
2013-01-01,1095,-0.3826753952683343
2013-01-01,1460,-0.6577486037355674
2013-01-01,1825,-0.8367245953914626
2013-01-01,2190,-0.7667775931484274
2013-01-01,2555,-0.7080293350151584
2013-01-01,2920,-0.623304527590906
2013-01-01,3285,-0.6126468040379619
2013-01-01,3650,-0.42598457624476
2013-01-01,4380,-0.1318932135791378
2013-01-01,5475,-0.06255527453944845
2013-01-01,7300,0.05042369689872639
2013-01-01,9125,0.1576465163380291
2013-01-01,10950,0.03132480674701357
2013-01-01,14600,0.20872334187149538
2013-01-01,18250,0.041319486020368605
2013-01-02,0,0.006637901000147512
2013-01-02,1,0.006318815601263345
2013-01-02,2,0.00576359273467526
2013-01-02,7,0.002344928906365223
2013-01-02,14,0.003179048747085823
2013-01-02,30,0.01631755760148452
2013-01-02,61,0.02194033698685386
2013-01-02,91,0.023043657755383796
2013-01-02,122,0.01640634034517933
2013-01-02,152,0.004411220938991467
2013-01-02,182,-0.013627313171854016
2013-01-02,213,-0.03848482474996531
2013-01-02,243,-0.05795914867587183
2013-01-02,273,-0.06344601775043573
2013-01-02,304,-0.0624360107550062
2013-01-02,335,-0.07539619713892558
2013-01-02,365,-0.11471468553516066
2013-01-02,395,-0.14035844106408984
2013-01-02,425,-0.1654218186088053
2013-01-02,456,-0.1904884503425443
2013-01-02,486,-0.2144633368044491
2013-01-02,516,-0.23853557090287464
2013-01-02,547,-0.26389911062627763
2013-01-02,577,-0.2873310734049073
2013-01-02,607,-0.30587380333095837
2013-01-02,638,-0.3191870170402423
2013-01-02,668,-0.3258753189058573
2013-01-02,698,-0.326207957767736
2013-01-02,730,-0.323010455955566
2013-01-02,1095,-0.4712568218903034
2013-01-02,1460,-0.7356470802099879
2013-01-02,1825,-0.8056137796385591
2013-01-02,2190,-0.7410151654602775
2013-01-02,2555,-0.7963507400436104
2013-01-02,2920,-0.6258056761734025
2013-01-02,3285,-0.5016014040239911
2013-01-02,3650,-0.4116840084081368
2013-01-02,4380,-0.11792922615458026
2013-01-02,5475,-0.04773846053241284
2013-01-02,7300,0.054978767005498266
