Date,Term,Value
2013-01-01,0,5.01271690246767E-05
2013-01-01,1,4.9806568618623E-05
2013-01-01,2,4.89960763727744E-05
2013-01-01,7,3.81015650677621E-06
2013-01-01,14,-6.89736519114692E-09
2013-01-01,30,-1.038876347548E-05
2013-01-01,61,-5.94785942972008E-05
2013-01-01,91,-8.0913320123643E-05
2013-01-01,122,-0.000104624635398
2013-01-01,152,-0.000109901508548
2013-01-01,182,-0.000117376070381
2013-01-01,213,-0.000118633110879
2013-01-01,243,-0.000115166019387
2013-01-01,273,-0.000121347398132
2013-01-01,304,-0.000131361577912
2013-01-01,335,-0.000156491391277
2013-01-01,365,-0.000185530052033
2013-01-01,395,-0.000224790324579
2013-01-01,425,-0.000272037072471
2013-01-01,456,-0.000322476437187
2013-01-01,486,-0.00036765631358
2013-01-01,516,-0.000405445022106
2013-01-01,547,-0.000433496972705
2013-01-01,577,-0.000451461711605
2013-01-01,607,-0.000462910317073
2013-01-01,638,-0.000470160579583
2013-01-01,668,-0.000474932087929
2013-01-01,698,-0.000479274040751
2013-01-01,730,-0.000485079920197
2013-01-01,1095,-0.000733350869769
2013-01-01,1460,-0.000959187008272
2013-01-01,1825,-0.001162556295605
2013-01-01,2190,-0.00123195597664
2013-01-01,2555,-0.00128721575622
2013-01-01,2920,-0.001279983761847
2013-01-01,3285,-0.001283483540284
2013-01-01,3650,-0.001162840594238
2013-01-01,4380,-0.00101721684426
2013-01-01,5475,-0.000836652024105
2013-01-01,7300,-0.00064542634861
2013-01-01,9125,-0.000511486242671
2013-01-01,10950,-0.000426711286086
2013-01-01,14600,-0.000320708425383
2013-01-01,18250,-0.000261274356534
2013-01-02,0,7.00408819278436E-06
2013-01-02,1,6.93051120811625E-06
2013-01-02,2,7.05051965014993E-06
2013-01-02,7,-2.49019476831662E-05
2013-01-02,14,-2.68196691815157E-05
2013-01-02,30,-4.28301168425458E-05
2013-01-02,61,-0.000105870900298
2013-01-02,91,-0.000153977238224
2013-01-02,122,-0.000187786119493
2013-01-02,152,-0.000208757560483
2013-01-02,182,-0.00023197007757
2013-01-02,213,-0.000255546282639
2013-01-02,243,-0.000276618233652
2013-01-02,273,-0.000301164017559
2013-01-02,304,-0.000332281244686
2013-01-02,335,-0.000368930154263
2013-01-02,365,-0.000402010530497
2013-01-02,395,-0.000433788656324
2013-01-02,425,-0.00046443417079
2013-01-02,456,-0.000493953134971
2013-01-02,486,-0.000519675379444
2013-01-02,516,-0.000542085831283
2013-01-02,547,-0.000561312022863
2013-01-02,577,-0.000583365475584
2013-01-02,607,-0.000605861824304
2013-01-02,638,-0.000625998820817
2013-01-02,668,-0.000643202599644
2013-01-02,698,-0.000658749912904
2013-01-02,730,-0.000674054355252
2013-01-02,1095,-0.000907592139397
2013-01-02,1460,-0.001136726802284
2013-01-02,1825,-0.001272093099943
2013-01-02,2190,-0.001344654299087
2013-01-02,2555,-0.001398287789414
2013-01-02,2920,-0.001368244779417
2013-01-02,3285,-0.001339450983338
2013-01-02,3650,-0.001233034059701
2013-01-02,4380,-0.001063946635791
2013-01-02,5475,-0.000872047693902
2013-01-02,7300,-0.000670813389408
2013-01-02,9125,-0.000530845523647
2013-01-02,10950,-0.000443180714892
2013-01-02,14600,-0.000333045999594
2013-01-02,18250,-0.000271753241184
2013-01-03,0,2.36593985257346E-05
2013-01-03,1,2.31931733737862E-05
2013-01-03,2,2.23827378468822E-05
2013-01-03,7,-2.88025759006766E-05
2013-01-03,14,-4.44867916676878E-05
2013-01-03,30,-7.81663557731932E-05
2013-01-03,61,-0.000155936599058
2013-01-03,91,-0.000206060280018
2013-01-03,122,-0.000255134486765
2013-01-03,152,-0.000287735402362
2013-01-03,182,-0.00031597238586
2013-01-03,213,-0.000336454429043
2013-01-03,243,-0.000350724583628
2013-01-03,273,-0.000370415170238
2013-01-03,304,-0.000391496100661
2013-01-03,335,-0.00042104168328
2013-01-03,365,-0.000452950262323
2013-01-03,395,-0.000490817598995
2013-01-03,425,-0.00053287608578
2013-01-03,456,-0.00057709325481
2013-01-03,486,-0.00061781680012
2013-01-03,516,-0.000654514322049
2013-01-03,547,-0.000686521251655
2013-01-03,577,-0.000717373383434
2013-01-03,607,-0.000745742768217
2013-01-03,638,-0.000769874972993
2013-01-03,668,-0.000789440541702
2013-01-03,698,-0.000806278076918
2013-01-03,730,-0.000822155978921
2013-01-03,1095,-0.00103750661652
2013-01-03,1460,-0.001256490115383
2013-01-03,1825,-0.001360985947229
2013-01-03,2190,-0.001452383346959
2013-01-03,2555,-0.001475612968839
2013-01-03,2920,-0.001458543041347
2013-01-03,3285,-0.001403363886541
2013-01-03,3650,-0.001277022793029
2013-01-03,4380,-0.001097487560165
2013-01-03,5475,-0.000897418874668
2013-01-03,7300,-0.000685327249531
2013-01-03,9125,-0.000542919244111
2013-01-03,10950,-0.000450652398132
2013-01-03,14600,-0.000338398461287
2013-01-03,18250,-0.000269138561844
2013-01-04,0,-0.000109032676096
2013-01-04,1,-0.000109878848469
2013-01-04,2,-0.000111090133029
2013-01-04,7,-0.000168876573839
2013-01-04,14,-0.000185084352219
2013-01-04,30,-0.000218799527125
2013-01-04,61,-0.000290763834349
