Date,FutureDate,Tenor,Rate
2013-01-01,2013-06-30,0,0.006630860449434
2013-01-01,2013-06-30,1,0.006630938060525
2013-01-01,2013-06-30,2,0.006631018610391
2013-01-01,2013-06-30,7,0.006665771202556
2013-01-01,2013-06-30,14,0.006674866942838
2013-01-01,2013-06-30,30,0.006683836409165
2013-01-01,2013-06-30,61,0.006710410479563
2013-01-01,2013-06-30,91,0.006712747277883
2013-01-01,2013-06-30,122,0.006723571634702
2013-01-01,2013-06-30,152,0.006723771944528
2013-01-01,2013-06-30,182,0.006733696565207
2013-01-01,2013-06-30,213,0.006745506085513
2013-01-01,2013-06-30,243,0.006756281059997
2013-01-01,2013-06-30,273,0.006770513703167
2013-01-01,2013-06-30,304,0.006791902089343
2013-01-01,2013-06-30,335,0.006822435634327
2013-01-01,2013-06-30,365,0.006862371658526
2013-01-01,2013-06-30,395,0.006912369692114
2013-01-01,2013-06-30,425,0.006970075843888
2013-01-01,2013-06-30,456,0.007034099152564
2013-01-01,2013-06-30,486,0.007097343315492
2013-01-01,2013-06-30,516,0.007159714937027
2013-01-01,2013-06-30,547,0.007221389285204
2013-01-01,2013-06-30,577,0.007280350571076
2013-01-01,2013-06-30,607,0.007338961594831
2013-01-01,2013-06-30,638,0.007398786921518
2013-01-01,2013-06-30,668,0.007456064329757
2013-01-01,2013-06-30,698,0.007512813059331
2013-01-01,2013-06-30,730,0.007572835755028
2013-01-01,2013-06-30,1095,0.008451792782586
2013-01-01,2013-06-30,1460,0.00971979729263
2013-01-01,2013-06-30,1825,0.011324625380572
2013-01-01,2013-06-30,2190,0.013123686425512
2013-01-01,2013-06-30,2555,0.01495862975707
2013-01-01,2013-06-30,2920,0.016791629379473
2013-01-01,2013-06-30,3285,0.018571705578611
2013-01-01,2013-06-30,3650,0.020219944963243
2013-01-01,2013-06-30,4380,0.022966475503199
2013-01-01,2013-06-30,5475,0.026100148190759
2013-01-01,2013-06-30,7300,0.029526527623769
2013-01-01,2013-06-30,9125,0.031368990089152
2013-01-01,2013-06-30,10950,0.032151474289963
2013-01-01,2013-06-30,14600,0.033030914223719
2013-01-01,2013-06-30,18250,0.032935847816824
