Date,Term,Value
2013-01-01,0,-0.000138651
2013-01-01,1,-0.000138891
2013-01-01,2,-0.000138944
2013-01-01,7,-0.000135808
2013-01-01,14,-0.000130006
2013-01-01,30,-0.000140744
2013-01-01,61,-0.0001726
2013-01-01,91,-0.000213352
2013-01-01,122,-0.000262048
2013-01-01,152,-0.000315866
2013-01-01,182,-0.000376149
2013-01-01,213,-0.000442484
2013-01-01,243,-0.000506356
2013-01-01,273,-0.000569825
2013-01-01,304,-0.000633713
2013-01-01,335,-0.000693409
2013-01-01,365,-0.000737769
2013-01-01,395,-0.000775789
2013-01-01,425,-0.000807861
2013-01-01,456,-0.000834947
2013-01-01,486,-0.000855696
2013-01-01,516,-0.000871371
2013-01-01,547,-0.000882484
2013-01-01,577,-0.000888676
2013-01-01,607,-0.000891253
2013-01-01,638,-0.000891001
2013-01-01,668,-0.000888637
2013-01-01,698,-0.000884756
2013-01-01,730,-0.000879472
2013-01-01,1095,-0.001214526
2013-01-01,1460,-0.001529576
2013-01-01,1825,-0.001789383
2013-01-01,2190,-0.001881246
2013-01-01,2555,-0.001923142
2013-01-01,2920,-0.00181116
2013-01-01,3285,-0.00177879
2013-01-01,3650,-0.001504951
2013-01-01,4380,-0.001088676
2013-01-01,5475,-0.000692189
2013-01-01,7300,-0.000307158
2013-01-01,9125,-3.03517E-05
2013-01-01,10950,0.000105067
2013-01-01,14600,0.000332213
2013-01-01,18250,0.000384867
2013-01-02,0,-0.000377842
2013-01-02,1,-0.000378948
2013-01-02,2,-0.000380424
2013-01-02,7,-0.00039096
2013-01-02,14,-0.000400375
2013-01-02,30,-0.000434858
2013-01-02,61,-0.000523646
2013-01-02,91,-0.000604169
2013-01-02,122,-0.000680369
2013-01-02,152,-0.000748113
2013-01-02,182,-0.00080983
2013-01-02,213,-0.000866278
2013-01-02,243,-0.000915673
2013-01-02,273,-0.000967017
2013-01-02,304,-0.001014644
2013-01-02,335,-0.001062723
2013-01-02,365,-0.001103646
2013-01-02,395,-0.001155865
2013-01-02,425,-0.001206551
2013-01-02,456,-0.001252989
2013-01-02,486,-0.001291388
2013-01-02,516,-0.001322751
2013-01-02,547,-0.001347279
2013-01-02,577,-0.001363411
2013-01-02,607,-0.001373449
2013-01-02,638,-0.001378921
2013-01-02,668,-0.001380665
2013-01-02,698,-0.001379882
2013-01-02,730,-0.001377161
2013-01-02,1095,-0.001699258
2013-01-02,1460,-0.002068127
2013-01-02,1825,-0.002240735
2013-01-02,2190,-0.002338414
2013-01-02,2555,-0.002347672
2013-01-02,2920,-0.002228412
2013-01-02,3285,-0.002076199
2013-01-02,3650,-0.001793113
2013-01-02,4380,-0.001419685
2013-01-02,5475,-0.00102307
2013-01-02,7300,-0.000631955
2013-01-02,9125,-0.000422943
2013-01-02,10950,-0.000281231
2013-01-02,14600,-0.00038916
2013-01-02,18250,0.000303335
2013-01-03,0,-0.000551016
2013-01-03,1,-0.000552258
2013-01-03,2,-0.000553879
2013-01-03,7,-0.000565027
2013-01-03,14,-0.000572013
2013-01-03,30,-0.000601407
2013-01-03,61,-0.000669944
2013-01-03,91,-0.000736797
2013-01-03,122,-0.000804299
2013-01-03,152,-0.000868781
2013-01-03,182,-0.000932347
2013-01-03,213,-0.000995043
2013-01-03,243,-0.001056738
2013-01-03,273,-0.001131249
2013-01-03,304,-0.001197065
2013-01-03,335,-0.001263131
2013-01-03,365,-0.001323735
2013-01-03,395,-0.001395749
2013-01-03,425,-0.001465989
2013-01-03,456,-0.001530843
2013-01-03,486,-0.001584029
2013-01-03,516,-0.001626209
2013-01-03,547,-0.001656941
2013-01-03,577,-0.001673948
2013-01-03,607,-0.001681446
2013-01-03,638,-0.001682789
2013-01-03,668,-0.001680736
2013-01-03,698,-0.001677696
2013-01-03,730,-0.001675507
2013-01-03,1095,-0.002038975
2013-01-03,1460,-0.002343078
2013-01-03,1825,-0.002448804
2013-01-03,2190,-0.002577151
2013-01-03,2555,-0.002661678
2013-01-03,2920,-0.002628209
2013-01-03,3285,-0.002535053
2013-01-03,3650,-0.002236581
2013-01-03,4380,-0.001842408
2013-01-03,5475,-0.001462457
2013-01-03,7300,-0.001069986
2013-01-03,9125,-0.000795983
2013-01-03,10950,-0.000693303
2013-01-03,14600,-0.000121463
2013-01-03,18250,-0.000457808
2013-01-04,0,-0.00075667
2013-01-04,1,-0.000758267
2013-01-04,2,-0.000760798
2013-01-04,7,-0.000768816
2013-01-04,14,-0.000770972
2013-01-04,30,-0.000788509
2013-01-04,61,-0.000829661
2013-01-04,91,-0.00088325
2013-01-04,122,-0.000950733
2013-01-04,152,-0.001028893
2013-01-04,182,-0.001119685
2013-01-04,213,-0.001223279
2013-01-04,243,-0.001329732
2013-01-04,273,-0.001441345
2013-01-04,304,-0.001541114
2013-01-04,335,-0.001638929
2013-01-04,365,-0.001718414
2013-01-04,395,-0.001791462
2013-01-04,425,-0.001860232
2013-01-04,456,-0.001925096
2013-01-04,486,-0.001980477
2013-01-04,516,-0.002027539
2013-01-04,547,-0.002066574
2013-01-04,577,-0.002095046
2013-01-04,607,-0.00211656
2013-01-04,638,-0.002133865
2013-01-04,668,-0.002147737
2013-01-04,698,-0.002160318
2013-01-04,730,-0.002173736
2013-01-04,1095,-0.002768868
2013-01-04,1460,-0.003228914
2013-01-04,1825,-0.003438852
2013-01-04,2190,-0.003584178
2013-01-04,2555,-0.003652371
2013-01-04,2920,-0.003635032
2013-01-04,3285,-0.003576625
2013-01-04,3650,-0.003290468
2013-01-04,4380,-0.002859771
2013-01-04,5475,-0.002362799
2013-01-04,7300,-0.001941611
2013-01-04,9125,-0.001634675
2013-01-04,10950,-0.001448113
2013-01-04,14600,-0.001238909
2013-01-04,18250,-0.001103066
2013-01-07,0,-0.000561351
2013-01-07,1,-0.000562283
2013-01-07,2,-0.000562489
2013-01-07,7,-0.00056482
2013-01-07,14,-0.000585218
2013-01-07,30,-0.000626209
2013-01-07,61,-0.000711573
2013-01-07,91,-0.000802014
2013-01-07,122,-0.000901943
2013-01-07,152,-0.001005781
2013-01-07,182,-0.001116613
2013-01-07,213,-0.001235606
2013-01-07,243,-0.001347362
2013-01-07,273,-0.001444904
2013-01-07,304,-0.001540055
2013-01-07,335,-0.001633166
2013-01-07,365,-0.001717494
2013-01-07,395,-0.001802282
2013-01-07,425,-0.001881213
2013-01-07,456,-0.001955127
2013-01-07,486,-0.002019288
2013-01-07,516,-0.002076227
2013-01-07,547,-0.002127497
2013-01-07,577,-0.002170101
2013-01-07,607,-0.00220707
2013-01-07,638,-0.002240672
2013-01-07,668,-0.002269779
2013-01-07,698,-0.002296382
2013-01-07,730,-0.002322782
2013-01-07,1095,-0.002956253
2013-01-07,1460,-0.00343619
2013-01-07,1825,-0.003627862
2013-01-07,2190,-0.003779546
2013-01-07,2555,-0.003828423
2013-01-07,2920,-0.00377524
2013-01-07,3285,-0.003687252
2013-01-07,3650,-0.003399191
2013-01-07,4380,-0.002994874
2013-01-07,5475,-0.002507061
2013-01-07,7300,-0.001968702
2013-01-07,9125,-0.001599504
2013-01-07,10950,-0.001394511
2013-01-07,14600,-0.001140847
2013-01-07,18250,-0.00100588
2013-01-08,0,-0.000249153
2013-01-08,1,-0.000249553
2013-01-08,2,-0.000249208
2013-01-08,7,-0.000248778
2013-01-08,14,-0.000265312
2013-01-08,30,-0.000297471
2013-01-08,61,-0.000389068
2013-01-08,91,-0.000479856
2013-01-08,122,-0.000573794
2013-01-08,152,-0.0006658
2013-01-08,182,-0.000758735
2013-01-08,213,-0.000854098
2013-01-08,243,-0.000940941
2013-01-08,273,-0.001014156
2013-01-08,304,-0.001086348
2013-01-08,335,-0.00115974
2013-01-08,365,-0.001228927
2013-01-08,395,-0.001312316
2013-01-08,425,-0.001391527
2013-01-08,456,-0.001464748
2013-01-08,486,-0.001527467
2013-01-08,516,-0.001582337
2013-01-08,547,-0.001630923
2013-01-08,577,-0.001670481
2013-01-08,607,-0.001704031
2013-01-08,638,-0.001733764
2013-01-08,668,-0.001758846
2013-01-08,698,-0.001781182
2013-01-08,730,-0.0018028
2013-01-08,1095,-0.002412153
2013-01-08,1460,-0.00286177
2013-01-08,1825,-0.003063527
2013-01-08,2190,-0.003192217
2013-01-08,2555,-0.003235441
2013-01-08,2920,-0.00318859
2013-01-08,3285,-0.003103446
2013-01-08,3650,-0.002811238
2013-01-08,4380,-0.002405416
2013-01-08,5475,-0.001939307
2013-01-08,7300,-0.001456991
2013-01-08,9125,-0.001117331
2013-01-08,10950,-0.000932075
2013-01-08,14600,-0.000679588
2013-01-08,18250,-0.000547665
2013-01-09,0,-0.00043237
2013-01-09,1,-0.000433345
2013-01-09,2,-0.000434731
2013-01-09,7,-0.000443987
2013-01-09,14,-0.000436189
2013-01-09,30,-0.000445199
2013-01-09,61,-0.000515129
2013-01-09,91,-0.00058841
2013-01-09,122,-0.000664106
2013-01-09,152,-0.000737607
2013-01-09,182,-0.000810968
2013-01-09,213,-0.000884876
2013-01-09,243,-0.000956955
2013-01-09,273,-0.001036818
2013-01-09,304,-0.001105139
2013-01-09,335,-0.001167835
2013-01-09,365,-0.001209935
2013-01-09,395,-0.001268641
2013-01-09,425,-0.001329355
2013-01-09,456,-0.001388431
2013-01-09,486,-0.001441157
2013-01-09,516,-0.001488833
2013-01-09,547,-0.001532239
2013-01-09,577,-0.00156837
2013-01-09,607,-0.001599319
2013-01-09,638,-0.001626544
2013-01-09,668,-0.001648832
2013-01-09,698,-0.00166757
2013-01-09,730,-0.001684056
2013-01-09,1095,-0.002201171
2013-01-09,1460,-0.002612404
2013-01-09,1825,-0.002748523
2013-01-09,2190,-0.002809084
2013-01-09,2555,-0.002725892
2013-01-09,2920,-0.002601263
2013-01-09,3285,-0.002432384
2013-01-09,3650,-0.002122766
2013-01-09,4380,-0.00168757
2013-01-09,5475,-0.001234453
2013-01-09,7300,-0.000854776
2013-01-09,9125,-0.000561303
2013-01-09,10950,-0.000403011
2013-01-09,14600,-0.000231654
2013-01-09,18250,-0.000256337
2013-01-10,0,-0.000698631
2013-01-10,1,-0.000700378
2013-01-10,2,-0.000702545
2013-01-10,7,-0.000716055
2013-01-10,14,-0.000718584
2013-01-10,30,-0.000739145
2013-01-10,61,-0.000778347
2013-01-10,91,-0.000826649
2013-01-10,122,-0.000885229
2013-01-10,152,-0.000950145
2013-01-10,182,-0.001023115
2013-01-10,213,-0.001105739
2013-01-10,243,-0.001176225
2013-01-10,273,-0.001207038
2013-01-10,304,-0.001263733
2013-01-10,335,-0.001324802
2013-01-10,365,-0.001380978
2013-01-10,395,-0.001458832
2013-01-10,425,-0.001536304
2013-01-10,456,-0.001609729
2013-01-10,486,-0.001673846
2013-01-10,516,-0.001730741
2013-01-10,547,-0.001781625
2013-01-10,577,-0.001823249
2013-01-10,607,-0.001858721
2013-01-10,638,-0.001890468
2013-01-10,668,-0.001917676
2013-01-10,698,-0.001942429
2013-01-10,730,-0.001967055
2013-01-10,1095,-0.002550066
2013-01-10,1460,-0.002989117
2013-01-10,1825,-0.003207478
2013-01-10,2190,-0.00341373
2013-01-10,2555,-0.003472168
2013-01-10,2920,-0.00341772
2013-01-10,3285,-0.003344537
2013-01-10,3650,-0.003033585
2013-01-10,4380,-0.002609863
2013-01-10,5475,-0.002103285
2013-01-10,7300,-0.001608486
2013-01-10,9125,-0.00125565
2013-01-10,10950,-0.001065563
2013-01-10,14600,-0.000865193
2013-01-10,18250,-0.000747546
2013-01-11,0,-0.000613878
2013-01-11,1,-0.00061547
2013-01-11,2,-0.000617991
2013-01-11,7,-0.000625962
2013-01-11,14,-0.000625074
2013-01-11,30,-0.000639416
2013-01-11,61,-0.000688577
2013-01-11,91,-0.000746507
2013-01-11,122,-0.000814376
2013-01-11,152,-0.00088826
2013-01-11,182,-0.000970087
2013-01-11,213,-0.001061324
2013-01-11,243,-0.001143068
2013-01-11,273,-0.001194373
2013-01-11,304,-0.001262775
2013-01-11,335,-0.001337952
2013-01-11,365,-0.001401609
2013-01-11,395,-0.001477211
2013-01-11,425,-0.001549931
2013-01-11,456,-0.001618853
2013-01-11,486,-0.001680343
2013-01-11,516,-0.001737316
2013-01-11,547,-0.001791942
2013-01-11,577,-0.001841063
2013-01-11,607,-0.001886743
2013-01-11,638,-0.001930524
2013-01-11,668,-0.001969736
2013-01-11,698,-0.002005965
2013-01-11,730,-0.00204144
2013-01-11,1095,-0.002766084
2013-01-11,1460,-0.003266076
2013-01-11,1825,-0.003532915
2013-01-11,2190,-0.003681362
2013-01-11,2555,-0.003803988
2013-01-11,2920,-0.003704394
2013-01-11,3285,-0.003643522
2013-01-11,3650,-0.003370337
2013-01-11,4380,-0.002966914
2013-01-11,5475,-0.002463542
2013-01-11,7300,-0.002038094
2013-01-11,9125,-0.001731762
2013-01-11,10950,-0.001534965
2013-01-11,14600,-0.001314376
2013-01-11,18250,-0.001168433
2013-01-14,0,-0.000559963
2013-01-14,1,-0.000561298
2013-01-14,2,-0.000563156
2013-01-14,7,-0.000569773
2013-01-14,14,-0.000568263
2013-01-14,30,-0.000586717
2013-01-14,61,-0.000651935
2013-01-14,91,-0.000715149
2013-01-14,122,-0.000778022
2013-01-14,152,-0.000836745
2013-01-14,182,-0.000893182
