Date,Term,Value
2013-05-22,0,0.00023389915940357175
2013-05-22,1,-0.0005852155045755431
2013-05-22,2,0.0017707071225409945
2013-05-22,7,0.0024020402845236427
2013-05-22,14,-0.0017305693486106468
2013-05-22,30,-0.00015484971562535374
2013-05-22,61,-0.000643485131046932
2013-05-22,91,8.612146903309089e-05
2013-05-22,122,1.2655483300721661e-05
2013-05-22,152,0.00024517391641928974
2013-05-22,182,0.0003567774241968717
2013-05-22,213,0.0005779629966709783
2013-05-22,243,-0.0008087020180776174
2013-05-22,273,-0.00023287777426802755
2013-05-22,304,0.002172269163788057
2013-05-22,335,-0.0011080502181827383
2013-05-22,365,0.0002715772031346552
2013-05-22,395,0.0008495608951207566
2013-05-22,425,0.0008698508367616318
2013-05-22,456,0.0008904222604382456
2013-05-22,486,0.0009107353599587626
2013-05-22,516,0.0009319026131990563
2013-05-22,547,0.0009525387560460044
2013-05-22,577,0.0010230034841547226
2013-05-22,607,0.0011152165646001989
2013-05-22,638,0.0012118980873515688
2013-05-22,668,0.0013053071100605238
2013-05-22,698,0.0014015414528803709
2013-05-22,730,0.0014935221538367566
2013-05-22,1095,0.0023856803351706216
2013-05-22,1460,0.003075729487861056
2013-05-22,1825,0.0027411118680587426
2013-05-22,2190,0.0032858201468737008
2013-05-22,2555,0.0031792969686943616
2013-05-22,2920,0.0028910435713818674
2013-05-22,3285,0.002422614034082079
2013-05-22,3650,0.002054302821603827
2013-05-22,4380,0.0017340473713396776
2013-05-22,5475,0.0017472566977558563
2013-05-22,7300,0.0014432026116313857
2013-05-22,9125,0.0013451484469866072
2013-05-22,10950,0.0013567512989518561
2013-05-22,14600,0.0012133831856062955
2013-05-22,18250,0.0012342644217698535
2013-05-23,0,0.00024135891982402072
2013-05-23,1,8.255716516518923e-05
2013-05-23,2,-0.00014189459619520724
2013-05-23,7,0.0002882010553569921
2013-05-23,14,-0.0004185792497451779
2013-05-23,30,-0.00036241765528122584
2013-05-23,61,-0.00028545262229949194
2013-05-23,91,-7.14966615428988e-05
2013-05-23,122,6.946220298514476e-05
2013-05-23,152,0.0002376438902735611
2013-05-23,182,0.0003891952537592214
2013-05-23,213,0.0005785108294171222
2013-05-23,243,-0.0006761390907647368
2013-05-23,273,-0.00020716953888587028
2013-05-23,304,0.0021983316008808147
2013-05-23,335,-0.0003103284831052606
2013-05-23,365,0.0013186671282448084
2013-05-23,395,0.0013305410699571104
2013-05-23,425,0.0009912640219817421
2013-05-23,456,0.0008062329250342743
2013-05-23,486,0.0006262290731533678
2013-05-23,516,0.0004507077799067761
