Date,Term,Value
2005-07-19,30,0.019550122
2005-07-19,61,0.019715612
2005-07-19,91,0.019327314
2005-07-19,122,0.02110444
2005-07-19,152,0.019431956
2005-07-19,182,0.019410398
2005-07-19,213,0.018889571
2005-07-19,243,0.018155449
2005-07-19,273,0.017876672
2005-07-19,304,0.017815945
2005-07-19,335,0.017338543
2005-07-19,365,0.01750251
2005-07-19,547,0.017888542
2005-07-19,730,0.01800466
2005-07-19,1095,0.019004672
2005-07-19,1460,0.021607735
2005-07-19,1825,0.023702593
2005-07-19,2190,0.024846609
2005-07-19,2555,0.026609264
2005-07-19,2920,0.027940456
2005-07-19,3285,0.02919886
2005-07-19,3650,0.030050327
2005-07-20,30,0.019564086
2005-07-20,61,0.0195696
2005-07-20,91,0.019478568
2005-07-20,122,0.020860058
2005-07-20,152,0.019280137
2005-07-20,182,0.019337458
2005-07-20,213,0.018488484
2005-07-20,243,0.018131257
2005-07-20,273,0.017750423
2005-07-20,304,0.017602851
2005-07-20,335,0.017553184
2005-07-20,365,0.017572877
2005-07-20,547,0.017742565
2005-07-20,730,0.017954093
2005-07-20,1095,0.019256163
2005-07-20,1460,0.021603291
2005-07-20,1825,0.023631694
2005-07-20,2190,0.025023694
2005-07-20,2555,0.026655929
2005-07-20,2920,0.028066962
2005-07-20,3285,0.029402575
2005-07-20,3650,0.030230735
2005-07-21,30,0.019628918
2005-07-21,61,0.0197039
2005-07-21,91,0.019628466
2005-07-21,122,0.021264973
2005-07-21,152,0.019545507
2005-07-21,182,0.019779538
2005-07-21,213,0.018944812
2005-07-21,243,0.018320762
2005-07-21,273,0.018226003
2005-07-21,304,0.018000687
2005-07-21,335,0.01816721
2005-07-21,365,0.0180956
2005-07-21,547,0.018004183
2005-07-21,730,0.018133983
2005-07-21,1095,0.019425705
2005-07-21,1460,0.021784757
2005-07-21,1825,0.023637915
2005-07-21,2190,0.025019588
2005-07-21,2555,0.026751657
2005-07-21,2920,0.028178594
2005-07-21,3285,0.029399345
2005-07-21,3650,0.030212575
2005-07-22,30,0.019564878
2005-07-22,61,0.01983651
2005-07-22,91,0.019713337
2005-07-22,122,0.020733885
2005-07-22,152,0.019520186
2005-07-22,182,0.019587716
2005-07-22,213,0.018721517
2005-07-22,243,0.018193744
2005-07-22,273,0.018138586
2005-07-22,304,0.017936694
2005-07-22,335,0.017660261
2005-07-22,365,0.017670987
2005-07-22,547,0.017733367
2005-07-22,730,0.017769405
2005-07-22,1095,0.018960721
2005-07-22,1460,0.021301039
2005-07-22,1825,0.023202615
2005-07-22,2190,0.024558523
2005-07-22,2555,0.026254468
2005-07-22,2920,0.027621905
2005-07-22,3285,0.028924681
2005-07-22,3650,0.029781608
2005-07-25,30,0.019484709
2005-07-25,61,0.019417774
2005-07-25,91,0.019499871
2005-07-25,122,0.020866945
2005-07-25,152,0.019481934
2005-07-25,182,0.019531366
2005-07-25,213,0.018739132
2005-07-25,243,0.018331513
2005-07-25,273,0.017823214
2005-07-25,304,0.017754186
2005-07-25,335,0.017306531
2005-07-25,365,0.017393159
2005-07-25,547,0.017667381
2005-07-25,730,0.017725573
2005-07-25,1095,0.019041564
2005-07-25,1460,0.021254936
2005-07-25,1825,0.023078594
2005-07-25,2190,0.024506723
2005-07-25,2555,0.026161043
2005-07-25,2920,0.027489977
2005-07-25,3285,0.02865579
2005-07-25,3650,0.029490146
2005-07-26,30,0.019544537
2005-07-26,61,0.019634461
2005-07-26,91,0.019495938
2005-07-26,122,0.020960377
2005-07-26,152,0.019364031
2005-07-26,182,0.019502668
2005-07-26,213,0.018550722
2005-07-26,243,0.018178512
2005-07-26,273,0.018083898
2005-07-26,304,0.017870428
2005-07-26,335,0.017485944
2005-07-26,365,0.017632781
2005-07-26,547,0.01794856
2005-07-26,730,0.017972133
2005-07-26,1095,0.019289684
2005-07-26,1460,0.021494637
2005-07-26,1825,0.023329815
2005-07-26,2190,0.024625059
2005-07-26,2555,0.026305952
2005-07-26,2920,0.027607042
2005-07-26,3285,0.028848751
2005-07-26,3650,0.029718261
2005-07-27,30,0.019524534
2005-07-27,61,0.019565709
2005-07-27,91,0.019133561
2005-07-27,122,0.02111128
2005-07-27,152,0.01993467
2005-07-27,182,0.019165374
2005-07-27,213,0.018605381
2005-07-27,243,0.018318903
2005-07-27,273,0.017910586
2005-07-27,304,0.017759971
2005-07-27,335,0.01770059
2005-07-27,365,0.017690591
2005-07-27,547,0.017652763
2005-07-27,730,0.017786709
2005-07-27,1095,0.019473732
2005-07-27,1460,0.021365402
2005-07-27,1825,0.023164582
2005-07-27,2190,0.024549894
2005-07-27,2555,0.026230789
2005-07-27,2920,0.027507154
2005-07-27,3285,0.028829887
2005-07-27,3650,0.029739356
2005-07-28,30,0.019559829
2005-07-28,61,0.019707464
