Date,Term,Rate
2005-07-19,30,0.001150864
2005-07-19,61,0.001248626
2005-07-19,91,0.001443275
2005-07-19,122,-0.000277537
2005-07-19,152,0.001320172
2005-07-19,182,0.001372574
2005-07-19,213,0.001805796
2005-07-19,243,0.002869018
2005-07-19,273,0.003080034
2005-07-19,304,0.003193455
2005-07-19,335,0.003660061
2005-07-19,365,0.003728008
2005-07-19,547,0.004133955
2005-07-19,730,0.004627256
2005-07-19,1095,0.004920911
2005-07-19,1460,0.004003246
2005-07-19,1825,0.0034891
2005-07-19,2190,0.003335863
2005-07-19,2555,0.002949767
2005-07-19,2920,0.002780431
2005-07-19,3285,0.002501529
2005-07-19,3650,0.002537284
2005-07-20,30,0.001214878
2005-07-20,61,0.001039388
2005-07-20,91,0.001432686
2005-07-20,122,-0.00031944
2005-07-20,152,0.001373044
2005-07-20,182,0.001419602
2005-07-20,213,0.001985429
2005-07-20,243,0.002729551
2005-07-20,273,0.003073328
2005-07-20,304,0.003224055
2005-07-20,335,0.003789457
2005-07-20,365,0.00373749
2005-07-20,547,0.004029458
2005-07-20,730,0.00467034
2005-07-20,1095,0.005183328
2005-07-20,1460,0.003992265
2005-07-20,1825,0.003347407
2005-07-20,2190,0.003503391
2005-07-20,2555,0.002980736
2005-07-20,2920,0.002749544
2005-07-20,3285,0.00250114
2005-07-20,3650,0.002539673
2005-07-21,30,0.001205914
2005-07-21,61,0.0012004
2005-07-21,91,0.001271432
2005-07-21,122,-8.51E-05
2005-07-21,152,0.001504863
2005-07-21,182,0.001480542
2005-07-21,213,0.002371516
2005-07-21,243,0.002758743
2005-07-21,273,0.003197577
2005-07-21,304,0.003432149
2005-07-21,335,0.003569816
2005-07-21,365,0.003672123
2005-07-21,547,0.004127435
2005-07-21,730,0.004665907
2005-07-21,1095,0.004866837
2005-07-21,1460,0.004076709
2005-07-21,1825,0.003508306
2005-07-21,2190,0.003416306
2005-07-21,2555,0.003064071
2005-07-21,2920,0.002773038
2005-07-21,3285,0.002457425
2005-07-21,3650,0.002524265
2005-07-22,30,0.001136082
2005-07-22,61,0.0010561
2005-07-22,91,0.001136534
2005-07-22,122,-0.000484973
2005-07-22,152,0.001249493
2005-07-22,182,0.001070462
2005-07-22,213,0.001945188
2005-07-22,243,0.002629238
2005-07-22,273,0.002793997
2005-07-22,304,0.003109313
2005-07-22,335,0.00305279
2005-07-22,365,0.0032344
2005-07-22,547,0.003995817
2005-07-22,730,0.004626017
2005-07-22,1095,0.004864295
2005-07-22,1460,0.003890243
2005-07-22,1825,0.003512085
2005-07-22,2190,0.003440412
2005-07-22,2555,0.002988343
2005-07-22,2920,0.002701406
2005-07-22,3285,0.002510655
2005-07-22,3650,0.002592425
2005-07-25,30,0.001200122
2005-07-25,61,0.00091849
2005-07-25,91,0.001039663
2005-07-25,122,1.91E-05
2005-07-25,152,0.001232814
2005-07-25,182,0.001195284
2005-07-25,213,0.002076483
2005-07-25,243,0.002619256
2005-07-25,273,0.002734414
2005-07-25,304,0.002996306
2005-07-25,335,0.003357739
2005-07-25,365,0.003419013
2005-07-25,547,0.003886633
2005-07-25,730,0.004550595
2005-07-25,1095,0.004869279
2005-07-25,1460,0.003908961
2005-07-25,1825,0.003427385
2005-07-25,2190,0.003381477
2005-07-25,2555,0.002965532
2005-07-25,2920,0.002728095
2005-07-25,3285,0.002445319
2005-07-25,3650,0.002498392
2005-07-26,30,0.001270291
2005-07-26,61,0.001327226
2005-07-26,91,0.001250129
2005-07-26,122,-0.000141945
2005-07-26,152,0.001269066
2005-07-26,182,0.001258634
2005-07-26,213,0.002070868
2005-07-26,243,0.002508487
2005-07-26,273,0.003076786
2005-07-26,304,0.003205814
2005-07-26,335,0.003723469
2005-07-26,365,0.003726841
2005-07-26,547,0.003992619
2005-07-26,730,0.004609427
2005-07-26,1095,0.004738436
2005-07-26,1460,0.003905064
2005-07-26,1825,0.003491406
2005-07-26,2190,0.003343277
2005-07-26,2555,0.002938957
2005-07-26,2920,0.002720023
2005-07-26,3285,0.00256421
2005-07-26,3650,0.002614854
2005-07-27,30,0.001215463
2005-07-27,61,0.001115539
2005-07-27,91,0.001274062
2005-07-27,122,-0.000175377
2005-07-27,152,0.001435969
2005-07-27,182,0.001337332
2005-07-27,213,0.002309278
2005-07-27,243,0.002721488
2005-07-27,273,0.002859102
2005-07-27,304,0.003154572
2005-07-27,335,0.003627056
2005-07-27,365,0.003597219
2005-07-27,547,0.00392144
2005-07-27,730,0.004617867
2005-07-27,1095,0.004773316
2005-07-27,1460,0.003875363
2005-07-27,1825,0.003430185
2005-07-27,2190,0.003404941
2005-07-27,2555,0.002954048
2005-07-27,2920,0.002742958
2005-07-27,3285,0.002501249
2005-07-27,3650,0.002536739
2005-07-28,30,0.001255466
2005-07-28,61,0.001214291
2005-07-28,91,0.001641439
2005-07-28,122,-0.00032128
2005-07-28,152,0.00086533
2005-07-28,182,0.001684626
2005-07-28,213,0.002274619
2005-07-28,243,0.002611097
2005-07-28,273,0.003089414
2005-07-28,304,0.003310029
2005-07-28,335,0.00344941
2005-07-28,365,0.003569409
2005-07-28,547,0.004177237
2005-07-28,730,0.004751291
2005-07-28,1095,0.004486268
2005-07-28,1460,0.003924598
2005-07-28,1825,0.003495418
2005-07-28,2190,0.003370106
2005-07-28,2555,0.002929211
2005-07-28,2920,0.002752846
2005-07-28,3285,0.002440113
2005-07-28,3650,0.002425644
2005-07-29,30,0.001215171
2005-07-29,61,0.001057536
2005-07-29,91,0.001879806
2005-07-29,122,9.57E-05
2005-07-29,152,0.001342989
2005-07-29,182,0.002126629
2005-07-29,213,0.002837035
2005-07-29,243,0.003200603
2005-07-29,273,0.003361923
2005-07-29,304,0.003590965
2005-07-29,335,0.003860246
2005-07-29,365,0.003927936
2005-07-29,547,0.00428117
2005-07-29,730,0.004778172
2005-07-29,1095,0.004177485
2005-07-29,1460,0.003917944
2005-07-29,1825,0.003595394
2005-07-29,2190,0.003423923
2005-07-29,2555,0.003043492
2005-07-29,2920,0.002677571
2005-07-29,3285,0.002405647
2005-07-29,3650,0.002465316
2005-08-01,30,0.001216341
2005-08-01,61,0.001070542
2005-08-01,91,0.001949525
2005-08-01,122,6.76E-05
2005-08-01,152,0.000962681
2005-08-01,182,0.002019874
2005-08-01,213,0.002793118
2005-08-01,243,0.003285454
2005-08-01,273,0.003678837
2005-08-01,304,0.003749144
2005-08-01,335,0.004132028
2005-08-01,365,0.004172844
2005-08-01,547,0.004350878
2005-08-01,730,0.004711405
2005-08-01,1095,0.004610176
2005-08-01,1460,0.004081841
2005-08-01,1825,0.003461665
2005-08-01,2190,0.003325746
2005-08-01,2555,0.003007008
2005-08-01,2920,0.002822657
2005-08-01,3285,0.002250734
2005-08-01,3650,0.002234785
2005-08-02,30,0.001227672
2005-08-02,61,0.001059592
2005-08-02,91,0.001740755
2005-08-02,122,0.000728532
2005-08-02,152,0.001283572
2005-08-02,182,0.002176656
2005-08-02,213,0.003015703
2005-08-02,243,0.003486973
2005-08-02,273,0.003784838
2005-08-02,304,0.004038311
2005-08-02,335,0.004066544
2005-08-02,365,0.004163312
2005-08-02,547,0.004428272
2005-08-02,730,0.004715009
2005-08-02,1095,0.004857558
2005-08-02,1460,0.004132464
2005-08-02,1825,0.00345351
2005-08-02,2190,0.003277054
2005-08-02,2555,0.002910912
2005-08-02,2920,0.002870463
2005-08-02,3285,0.002481619
2005-08-02,3650,0.002426344
2005-08-03,30,0.001225971
2005-08-03,61,0.001059955
2005-08-03,91,0.001677651
2005-08-03,122,0.000521655
2005-08-03,152,0.001655151
2005-08-03,182,0.001892012
2005-08-03,213,0.003029079
2005-08-03,243,0.003243659
2005-08-03,273,0.003707874
2005-08-03,304,0.00375692
2005-08-03,335,0.004277201
2005-08-03,365,0.004184972
2005-08-03,547,0.004261537
2005-08-03,730,0.004840819
2005-08-03,1095,0.004858621
2005-08-03,1460,0.003999389
2005-08-03,1825,0.003440419
2005-08-03,2190,0.003408998
2005-08-03,2555,0.002935569
2005-08-03,2920,0.002804893
2005-08-03,3285,0.002429457
2005-08-03,3650,0.002409999
2005-08-04,30,0.001369085
2005-08-04,61,0.001070947
2005-08-04,91,0.001741029
2005-08-04,122,0.000855067
2005-08-04,152,0.001458489
2005-08-04,182,0.002163964
2005-08-04,213,0.00317342
2005-08-04,243,0.00345315
2005-08-04,273,0.003713024
2005-08-04,304,0.004181862
2005-08-04,335,0.004024182
2005-08-04,365,0.004116384
2005-08-04,547,0.0044624
2005-08-04,730,0.00474297
2005-08-04,1095,0.004955015
2005-08-04,1460,0.004024913
2005-08-04,1825,0.003393814
2005-08-04,2190,0.003443153
2005-08-04,2555,0.003079404
2005-08-04,2920,0.002754077
2005-08-04,3285,0.002445206
2005-08-04,3650,0.00251548
2005-08-05,30,0.001506043
2005-08-05,61,0.001174527
2005-08-05,91,0.001896234
2005-08-05,122,0.00073726
2005-08-05,152,0.001603223
2005-08-05,182,0.002372672
2005-08-05,213,0.003460768
2005-08-05,243,0.003662567
2005-08-05,273,0.004101016
2005-08-05,304,0.004204581
2005-08-05,335,0.004449348
2005-08-05,365,0.004459221
2005-08-05,547,0.004674283
2005-08-05,730,0.005003192
2005-08-05,1095,0.004911113
2005-08-05,1460,0.003974224
2005-08-05,1825,0.003444211
2005-08-05,2190,0.003448775
2005-08-05,2555,0.003010296
2005-08-05,2920,0.002807622
2005-08-05,3285,0.002446923
2005-08-05,3650,0.002457134
2005-08-08,30,0.001216633
2005-08-08,61,0.001194313
2005-08-08,91,0.001878785
2005-08-08,122,0.001210025
2005-08-08,152,0.00171228
2005-08-08,182,0.002529254
2005-08-08,213,0.003319083
2005-08-08,243,0.003836549
2005-08-08,273,0.004169752
2005-08-08,304,0.00404843
2005-08-08,335,0.004547776
2005-08-08,365,0.004504614
2005-08-08,547,0.004488643
2005-08-08,730,0.004919184
2005-08-08,1095,0.004886993
2005-08-08,1460,0.004003513
2005-08-08,1825,0.003456274
2005-08-08,2190,0.003417611
2005-08-08,2555,0.002898281
2005-08-08,2920,0.002832922
2005-08-08,3285,0.002551528
2005-08-08,3650,0.002489742
2005-08-09,30,0.001352511
2005-08-09,61,0.0013234
2005-08-09,91,0.001975404
2005-08-09,122,0.000855602
2005-08-09,152,0.001765407
2005-08-09,182,0.002350112
2005-08-09,213,0.00326778
2005-08-09,243,0.003790815
2005-08-09,273,0.004100921
2005-08-09,304,0.004156735
2005-08-09,335,0.004355812
2005-08-09,365,0.004346482
2005-08-09,547,0.004537696
2005-08-09,730,0.004858998
2005-08-09,1095,0.005425545
2005-08-09,1460,0.003903611
2005-08-09,1825,0.003262264
2005-08-09,2190,0.003392404
2005-08-09,2555,0.002826043
2005-08-09,2920,0.002855871
2005-08-09,3285,0.002570736
2005-08-09,3650,0.002506254
2005-08-10,30,0.001283109
2005-08-10,61,0.001039263
2005-08-10,91,0.002468757
2005-08-10,122,0.000872767
2005-08-10,152,0.001593303
2005-08-10,182,0.002795414
2005-08-10,213,0.003293439
2005-08-10,243,0.00396582
2005-08-10,273,0.003912624
2005-08-10,304,0.003875981
2005-08-10,335,0.004596031
2005-08-10,365,0.004515996
2005-08-10,547,0.004403992
2005-08-10,730,0.004857783
2005-08-10,1095,0.004898298
2005-08-10,1460,0.004039001
2005-08-10,1825,0.003363731
2005-08-10,2190,0.003337116
2005-08-10,2555,0.002899598
2005-08-10,2920,0.002774469
2005-08-10,3285,0.002462597
2005-08-10,3650,0.00242401
2005-08-11,30,0.001341866
2005-08-11,61,0.001660429
2005-08-11,91,0.002057234
2005-08-11,122,0.000734235
2005-08-11,152,0.001856359
2005-08-11,182,0.002477028
2005-08-11,213,0.003299196
2005-08-11,243,0.003202831
2005-08-11,273,0.003850257
2005-08-11,304,0.003892836
2005-08-11,335,0.003958101
2005-08-11,365,0.003976425
2005-08-11,547,0.005051346
2005-08-11,730,0.006297225
2005-08-11,1095,0.002966747
2005-08-11,1460,0.004092422
2005-08-11,1825,0.004099711
2005-08-11,2190,0.003190741
2005-08-11,2555,0.00301469
2005-08-11,2920,0.002696104
2005-08-11,3285,0.002478497
2005-08-11,3650,0.0024832
