Date,Term,Value
2005-09-28,30,0.019433315523400368
2005-09-28,61,0.018934641566831223
2005-09-28,91,0.019337084605653632
2005-09-28,122,0.019343938426982434
2005-09-28,152,0.019347295754145444
2005-09-28,182,0.02002376373727971
2005-09-28,213,0.019410721694380583
2005-09-28,243,0.019593240031608717
2005-09-28,273,0.019723631467290465
2005-09-28,304,0.020000548596810476
2005-09-28,335,0.020222662810305984
2005-09-28,365,0.020473242176730966
2005-09-28,547,0.021402259228170392
2005-09-28,730,0.022206241881336304
2005-09-28,1095,0.023691429057101875
2005-09-28,1460,0.024104137894900332
2005-09-28,1825,0.0251481545199806
2005-09-28,2190,0.02586566559124146
2005-09-28,2555,0.026774302357359208
2005-09-28,2920,0.02753125322736816
2005-09-28,3285,0.0283585885224053
2005-09-28,3650,0.02907522786278361
2005-09-29,30,0.019752379253762036
2005-09-29,61,0.019566092312904855
2005-09-29,91,0.02017445996252296
2005-09-29,122,0.020085613194971163
2005-09-29,152,0.020004131547418064
2005-09-29,182,0.019971323568380217
2005-09-29,213,0.019965249168646275
2005-09-29,243,0.020308782448296987
2005-09-29,273,0.02041218172113062
2005-09-29,304,0.02061267623892752
2005-09-29,335,0.020964344285066758
2005-09-29,365,0.02124574790871839
2005-09-29,547,0.022308604735514263
2005-09-29,730,0.02320830244325113
2005-09-29,1095,0.024870137798877204
2005-09-29,1460,0.02525125922998466
2005-09-29,1825,0.026384979277278207
2005-09-29,2190,0.027131620965309293
2005-09-29,2555,0.028066282024155734
2005-09-29,2920,0.028961500134366606
2005-09-29,3285,0.029773105111904404
2005-09-29,3650,0.030499376604998744
2005-09-30,30,0.01930170116409578
2005-09-30,61,0.0193991929386672
2005-09-30,91,0.020385465829080927
2005-09-30,122,0.019987619677586606
2005-09-30,152,0.019948997630418405
2005-09-30,182,0.01988215101244222
2005-09-30,213,0.01985621286161464
2005-09-30,243,0.02008444751612009
2005-09-30,273,0.020361070302842354
2005-09-30,304,0.02058181681857646
2005-09-30,335,0.020649511288871446
2005-09-30,365,0.021056886416333177
2005-09-30,547,0.022294698154643713
2005-09-30,730,0.023143902345143522
2005-09-30,1095,0.02475219891972423
2005-09-30,1460,0.025464082973819385
2005-09-30,1825,0.026458647101949673
2005-09-30,2190,0.027193006866960228
2005-09-30,2555,0.028147185488845317
2005-09-30,2920,0.02899368402411788
2005-09-30,3285,0.029857542482387228
2005-09-30,3650,0.030546886815589574
2005-10-03,30,0.019647052869380736
2005-10-03,61,0.019809933971133776
2005-10-03,91,0.020266799913719432
2005-10-03,122,0.020105231046638347
2005-10-03,152,0.020017382326683878
2005-10-03,182,0.019934274240558707
2005-10-03,213,0.019902206418019187
2005-10-03,243,0.019998462321822404
2005-10-03,273,0.020217115891878187
2005-10-03,304,0.020586424925725946
2005-10-03,335,0.02053773856276673
2005-10-03,365,0.020959932300306235
2005-10-03,547,0.02234600184945709
2005-10-03,730,0.02311942191824063
2005-10-03,1095,0.024800148273483653
2005-10-03,1460,0.025450648170071526
2005-10-03,1825,0.02654212002399824
2005-10-03,2190,0.027282700687193986
2005-10-03,2555,0.028251989146167014
2005-10-03,2920,0.029014071791813003
2005-10-03,3285,0.029919152141472335
2005-10-03,3650,0.030623985677648746
2005-10-04,30,0.019557715086401736
2005-10-04,61,0.01960067950373865
2005-10-04,91,0.02028430156548163
2005-10-04,122,0.02020101348760074
2005-10-04,152,0.020065875810577713
2005-10-04,182,0.020084555507642092
2005-10-04,213,0.020312737513955025
2005-10-04,243,0.020167679037585207
2005-10-04,273,0.02052437524644494
2005-10-04,304,0.020775124441208746
2005-10-04,335,0.020960530463066097
2005-10-04,365,0.021244796834064356
2005-10-04,547,0.02239628757346843
2005-10-04,730,0.02330517788101915
2005-10-04,1095,0.024967744643129217
2005-10-04,1460,0.025592542263908783
