Date,Term,Value
2005-07-19,30,-0.0018716132042242777
2005-07-19,61,0.012958300310301988
2005-07-19,91,0.0284056601956182
2005-07-19,122,0.026134003636006292
2005-07-19,152,0.07411433769038683
2005-07-19,182,0.06498267885492053
2005-07-19,213,0.06036346009118121
2005-07-19,243,0.2525655183770451
2005-07-19,273,0.28527314594126624
2005-07-19,304,0.3429728482296897
2005-07-19,335,0.48444309972275323
2005-07-19,365,0.5089667185017862
2005-07-19,547,0.5836090724297259
2005-07-19,730,0.6117249090186625
2005-07-19,1095,0.47619528187497623
2005-07-19,1460,0.5652585650297828
2005-07-19,1825,0.40969502949619463
2005-07-19,2190,0.4015095359314232
2005-07-19,2555,0.29543813350731085
2005-07-19,2920,0.26017680776542995
2005-07-19,3285,0.17283397963765218
2005-07-19,3650,0.2108739662160555
2005-07-20,30,-1.321332446749771e-10
2005-07-20,61,0.0018676810194844218
2005-07-20,91,0.026131078188069413
2005-07-20,122,0.02296881166320862
2005-07-20,152,0.08016358861745582
2005-07-20,182,0.07746788379885512
2005-07-20,213,0.09520071283500837
2005-07-20,243,0.2192901236027626
2005-07-20,273,0.28330520885785526
2005-07-20,304,0.3544813669445916
2005-07-20,335,0.5276129067992708
2005-07-20,365,0.5107937116511887
2005-07-20,547,0.5487695902215747
2005-07-20,730,0.632694336769036
2005-07-20,1095,0.5782946678899479
2005-07-20,1460,0.5442847350364796
2005-07-20,1825,0.354234025426833
2005-07-20,2190,0.4617494658467603
2005-07-20,2555,0.2987611226329144
2005-07-20,2920,0.24287466281882852
2005-07-20,3285,0.16808473000387927
2005-07-20,3650,0.20796148316922408
2005-07-21,30,-8.944674526519443e-05
2005-07-21,61,0.009656651581322966
2005-07-21,91,0.011832911790215032
2005-07-21,122,0.054078429624396594
2005-07-21,152,0.09714110837633097
2005-07-21,182,0.09287356208344126
2005-07-21,213,0.17581675388171109
2005-07-21,243,0.22324893836134999
2005-07-21,273,0.3200832995326819
2005-07-21,304,0.4104505478102819
2005-07-21,335,0.4498548907935619
2005-07-21,365,0.4851430847515927
2005-07-21,547,0.576159356236726
