Date,FutureDate,Tenor,Rate
2000-01-03,2000-07-01,30,0.03831521824520089
2000-01-03,2000-07-01,61,0.03865979648551609
2000-01-03,2000-07-01,91,0.039711501580611555
2000-01-03,2000-07-01,122,0.040058228836908946
2000-01-03,2000-07-01,152,0.04039769102107928
2000-01-03,2000-07-01,182,0.04140656536956227
2000-01-03,2000-07-01,213,0.041610810810810986
2000-01-03,2000-07-01,243,0.041610810810810986
2000-01-03,2000-07-01,273,0.041610810810810986
2000-01-03,2000-07-01,304,0.041610810810810986
2000-01-03,2000-07-01,335,0.041610810810810986
2000-01-03,2000-07-01,365,0.041610810810810986
2000-01-04,2000-07-02,30,0.03766869097887014
2000-01-04,2000-07-02,61,0.038535933390722865
2000-01-04,2000-07-02,91,0.040079281219161364
2000-01-04,2000-07-02,122,0.040367512965967745
2000-01-04,2000-07-02,152,0.04103884893535834
2000-01-04,2000-07-02,182,0.042012504045611805
2000-01-04,2000-07-02,213,0.04219729729729717
2000-01-04,2000-07-02,243,0.04219729729729717
2000-01-04,2000-07-02,273,0.04219729729729717
2000-01-04,2000-07-02,304,0.04219729729729717
2000-01-04,2000-07-02,335,0.04219729729729717
2000-01-04,2000-07-02,365,0.04219729729729717
2000-01-05,2000-07-03,30,0.037160936604966714
2000-01-05,2000-07-03,61,0.038253374192179945
2000-01-05,2000-07-03,91,0.04060452303594461
2000-01-05,2000-07-03,122,0.040306050162911757
2000-01-05,2000-07-03,152,0.04092545346752228
2000-01-05,2000-07-03,182,0.04221770233286501
2000-01-05,2000-07-03,213,0.042467567567567685
2000-01-05,2000-07-03,243,0.042467567567567685
2000-01-05,2000-07-03,273,0.042467567567567685
2000-01-05,2000-07-03,304,0.042467567567567685
2000-01-05,2000-07-03,335,0.042467567567567685
2000-01-05,2000-07-03,365,0.042467567567567685
2000-01-06,2000-07-04,30,0.037737382980638015
2000-01-06,2000-07-04,61,0.03856072847268969
2000-01-06,2000-07-04,91,0.040436743397394295
2000-01-06,2000-07-04,122,0.04029579246945605
2000-01-06,2000-07-04,152,0.04075158046798445
2000-01-06,2000-07-04,182,0.04186218041756566
2000-01-06,2000-07-04,213,0.04208108108108121
2000-01-06,2000-07-04,243,0.04208108108108121
2000-01-06,2000-07-04,273,0.04208108108108121
2000-01-06,2000-07-04,304,0.04208108108108121
2000-01-06,2000-07-04,335,0.04208108108108121
2000-01-06,2000-07-04,365,0.04208108108108121
2000-01-07,2000-07-05,30,0.03794126016759175
2000-01-07,2000-07-05,61,0.03865200807196224
2000-01-07,2000-07-05,91,0.03988590594527198
2000-01-07,2000-07-05,122,0.04015089183664203
2000-01-07,2000-07-05,152,0.040490993287160694
2000-01-07,2000-07-05,182,0.041584188964574435
2000-01-07,2000-07-05,213,0.04180540540540556
2000-01-07,2000-07-05,243,0.04180540540540556
2000-01-07,2000-07-05,273,0.04180540540540556
2000-01-07,2000-07-05,304,0.04180540540540556
2000-01-07,2000-07-05,335,0.04180540540540556
2000-01-07,2000-07-05,365,0.04180540540540556
2000-01-10,2000-07-08,30,0.03892158373021782
2000-01-10,2000-07-08,61,0.03925064195174315
2000-01-10,2000-07-08,91,0.03960550539833088
2000-01-10,2000-07-08,122,0.04061844485152363
2000-01-10,2000-07-08,152,0.04132567276576762
2000-01-10,2000-07-08,182,0.041352342639286485
2000-01-10,2000-07-08,213,0.041343243243243406
2000-01-10,2000-07-08,243,0.041343243243243406
2000-01-10,2000-07-08,273,0.041343243243243406
2000-01-10,2000-07-08,304,0.041343243243243406
2000-01-10,2000-07-08,335,0.041343243243243406
2000-01-10,2000-07-08,365,0.041343243243243406
2000-01-11,2000-07-09,30,0.03844762565260897
2000-01-11,2000-07-09,61,0.03898470388252542
2000-01-11,2000-07-09,91,0.03990367230752482
2000-01-11,2000-07-09,122,0.040538687014392324
2000-01-11,2000-07-09,152,0.04121894761956893
2000-01-11,2000-07-09,182,0.04171306284183845
2000-01-11,2000-07-09,213,0.04180000000000005
2000-01-11,2000-07-09,243,0.04180000000000005
2000-01-11,2000-07-09,273,0.04180000000000005
2000-01-11,2000-07-09,304,0.04180000000000005
2000-01-11,2000-07-09,335,0.04180000000000005
2000-01-11,2000-07-09,365,0.04180000000000005
2000-01-12,2000-07-10,30,0.037601098386278356
2000-01-12,2000-07-10,61,0.03850269113207031
2000-01-12,2000-07-10,91,0.04029521449060771
2000-01-12,2000-07-10,122,0.040377497435379966
2000-01-12,2000-07-10,152,0.04102550829208327
2000-01-12,2000-07-10,182,0.042001362409470576
2000-01-12,2000-07-10,213,0.04218648648648677
2000-01-12,2000-07-10,243,0.04218648648648677
2000-01-12,2000-07-10,273,0.04218648648648677
2000-01-12,2000-07-10,304,0.04218648648648677
2000-01-12,2000-07-10,335,0.04218648648648677
2000-01-12,2000-07-10,365,0.04218648648648677
2000-01-13,2000-07-11,30,0.0380074638712942
2000-01-13,2000-07-11,61,0.03873538694263463
2000-01-13,2000-07-11,91,0.040212980852860514
2000-01-13,2000-07-11,122,0.040467239741923976
2000-01-13,2000-07-11,152,0.04111889279500765
2000-01-13,2000-07-11,182,0.04177945166800468
2000-01-13,2000-07-11,213,0.041899999999999785
2000-01-13,2000-07-11,243,0.041899999999999785
2000-01-13,2000-07-11,273,0.041899999999999785
2000-01-13,2000-07-11,304,0.041899999999999785
2000-01-13,2000-07-11,335,0.041899999999999785
2000-01-13,2000-07-11,365,0.041899999999999785
2000-01-14,2000-07-12,30,0.03892158373021782
2000-01-14,2000-07-12,61,0.03925064195174315
2000-01-14,2000-07-12,91,0.03984372194206094
2000-01-14,2000-07-12,122,0.04064505045026235
2000-01-14,2000-07-12,152,0.04132567276576762
2000-01-14,2000-07-12,182,0.04144231329762347
2000-01-14,2000-07-12,213,0.04145189189189171
2000-01-14,2000-07-12,243,0.04145189189189171
2000-01-14,2000-07-12,273,0.04145189189189171
2000-01-14,2000-07-12,304,0.04145189189189171
2000-01-14,2000-07-12,335,0.04145189189189171
2000-01-14,2000-07-12,365,0.04145189189189171
2000-01-17,2000-07-15,30,0.039327949215234546
2000-01-17,2000-07-15,61,0.03948333776230798
2000-01-17,2000-07-15,91,0.03999970484804455
2000-01-17,2000-07-15,122,0.040761398355544216
2000-01-17,2000-07-15,152,0.04141905726869204
2000-01-17,2000-07-15,182,0.04183520205479453
2000-01-17,2000-07-15,213,0.04190783783783771
2000-01-17,2000-07-15,243,0.04190783783783771
2000-01-17,2000-07-15,273,0.04190783783783771
2000-01-17,2000-07-15,304,0.04190783783783771
2000-01-17,2000-07-15,335,0.04190783783783771
2000-01-17,2000-07-15,365,0.04190783783783771
2000-01-18,2000-07-16,30,0.038887787433923245
2000-01-18,2000-07-16,61,0.039234020822416504
2000-01-18,2000-07-16,91,0.04007079684964948
2000-01-18,2000-07-16,122,0.04066334548433807
2000-01-18,2000-07-16,152,0.0413190024441303
2000-01-18,2000-07-16,182,0.04194657621012947
2000-01-18,2000-07-16,213,0.04206216216216222
2000-01-18,2000-07-16,243,0.04206216216216222
2000-01-18,2000-07-16,273,0.04206216216216222
2000-01-18,2000-07-16,304,0.04206216216216222
2000-01-18,2000-07-16,335,0.04206216216216222
2000-01-18,2000-07-16,365,0.04206216216216222
2000-01-19,2000-07-17,30,0.03848142194890368
2000-01-19,2000-07-17,61,0.03900132501185178
2000-01-19,2000-07-17,91,0.04015303048739641
2000-01-19,2000-07-17,122,0.04057360317779408
2000-01-19,2000-07-17,152,0.04122561794120642
2000-01-19,2000-07-17,182,0.04171863365990934
2000-01-19,2000-07-17,213,0.04180540540540556
2000-01-19,2000-07-17,243,0.04180540540540556
2000-01-19,2000-07-17,273,0.04180540540540556
2000-01-19,2000-07-17,304,0.04180540540540556
2000-01-19,2000-07-17,335,0.04180540540540556
2000-01-19,2000-07-17,365,0.04180540540540556
2000-01-20,2000-07-18,30,0.03799308892243933
2000-01-20,2000-07-18,61,0.03874715834518538
