Date,FutureDate,Tenor,Rate
2005-07-19,2006-07-19,30,0.022598194339905005
2005-07-19,2006-07-19,61,0.022712095890411007
2005-07-19,2006-07-19,91,0.022822323197350267
2005-07-19,2006-07-19,122,0.02293622474785502
2005-07-19,2006-07-19,152,0.023046452054794383
2005-07-19,2006-07-19,182,0.023156679361734208
2005-07-19,2006-07-19,213,0.023300551954369444
2005-07-19,2006-07-19,243,0.0234376883874913
2005-07-19,2006-07-19,273,0.02357158568874279
2005-07-19,2006-07-19,304,0.02370756197304005
2005-07-19,2006-07-19,335,0.02384178042684495
2005-07-19,2006-07-19,365,0.023970417425622434
2005-07-19,2006-07-19,547,0.024738577463550456
2005-07-19,2006-07-19,730,0.02549890011415522
2005-07-19,2006-07-19,1095,0.02687638077118211
2005-07-19,2006-07-19,1460,0.02830369625190261
2005-07-19,2006-07-19,1825,0.02956763736681887
2005-07-19,2006-07-19,2190,0.030767298642820882
2005-07-19,2006-07-19,2555,0.031826748477929996
2005-07-19,2006-07-19,2920,0.03279314164764077
2005-07-19,2006-07-19,3285,0.03364246279384407
2005-07-19,2006-07-19,3650,0.03374745814307457
2005-07-20,2006-07-20,30,0.02249702280596175
2005-07-20,2006-07-20,61,0.02260202054794545
2005-07-20,2006-07-20,91,0.022703631265994555
2005-07-20,2006-07-20,122,0.022808629007977956
2005-07-20,2006-07-20,152,0.022910239726027518
2005-07-20,2006-07-20,182,0.02301185044407631
2005-07-20,2006-07-20,213,0.023165250325269022
2005-07-20,2006-07-20,243,0.02331031830001666
2005-07-20,2006-07-20,273,0.023450155195010914
2005-07-20,2006-07-20,304,0.023590802826424007
2005-07-20,2006-07-20,335,0.02372861162574534
2005-07-20,2006-07-20,365,0.023859953324225802
2005-07-20,2006-07-20,547,0.02463857149996231
2005-07-20,2006-07-20,730,0.025401732115677263
2005-07-20,2006-07-20,1095,0.026971837392186702
2005-07-20,2006-07-20,1460,0.028412795138888863
2005-07-20,2006-07-20,1825,0.029673456811263283
2005-07-20,2006-07-20,2190,0.030912887652206972
2005-07-20,2006-07-20,2555,0.031993851516634045
2005-07-20,2006-07-20,2920,0.03296994779775494
2005-07-20,2006-07-20,3285,0.03382332582868256
2005-07-20,2006-07-20,3650,0.03392877473363773
2005-07-21,2006-07-21,30,0.022672168447988646
2005-07-21,2006-07-21,61,0.022784726027396555
2005-07-21,2006-07-21,91,0.02289365271714531
2005-07-21,2006-07-21,122,0.023006210296552487
2005-07-21,2006-07-21,152,0.023115136986301233
2005-07-21,2006-07-21,182,0.023224063676050125
2005-07-21,2006-07-21,213,0.023370989508878767
2005-07-21,2006-07-21,243,0.02351077330609589
2005-07-21,2006-07-21,273,0.023646842741146663
2005-07-21,2006-07-21,304,0.023784713756165924
2005-07-21,2006-07-21,335,0.023920569040014536
2005-07-21,2006-07-21,365,0.0240506064055859
2005-07-21,2006-07-21,547,0.024833647295942434
2005-07-21,2006-07-21,730,0.02560580098934542
2005-07-21,2006-07-21,1095,0.026948181760527583
2005-07-21,2006-07-21,1460,0.028404334094368353
2005-07-21,2006-07-21,1825,0.029680547184170465
2005-07-21,2006-07-21,2190,0.030922806633688498
2005-07-21,2006-07-21,2555,0.03202569661883018
2005-07-21,2006-07-21,2920,0.03301465325342467
2005-07-21,2006-07-21,3285,0.033869707001522066
2005-07-21,2006-07-21,3650,0.03397520547945208
2005-07-22,2006-07-22,30,0.02215171533945462
2005-07-22,2006-07-22,61,0.02224075342465877
2005-07-22,2006-07-22,91,0.022326919313563343
2005-07-22,2006-07-22,122,0.022415957398765767
2005-07-22,2006-07-22,152,0.022502123287671507
2005-07-22,2006-07-22,182,0.022588289176576872
2005-07-22,2006-07-22,213,0.022743854224641584
2005-07-22,2006-07-22,243,0.02288975051699206
2005-07-22,2006-07-22,273,0.023028456882322433
2005-07-22,2006-07-22,304,0.023166494431367944
2005-07-22,2006-07-22,335,0.023300630109955093
2005-07-22,2006-07-22,365,0.023427660139647796
2005-07-22,2006-07-22,547,0.024253960373844325
2005-07-22,2006-07-22,730,0.02504424277016748
2005-07-22,2006-07-22,1095,0.026413659309994952
2005-07-22,2006-07-22,1460,0.027822910007610367
2005-07-22,2006-07-22,1825,0.02910843607305939
2005-07-22,2006-07-22,2190,0.030359380707762576
2005-07-22,2006-07-22,2555,0.03145823140900196
2005-07-22,2006-07-22,2920,0.032440980783866064
2005-07-22,2006-07-22,3285,0.03331319888381534
2005-07-22,2006-07-22,3650,0.03342114155251141
2005-07-25,2006-07-25,30,0.022201747704352827
2005-07-25,2006-07-25,61,0.022292465753424605
2005-07-25,2006-07-25,91,0.022380257413819264
2005-07-25,2006-07-25,122,0.02247097546289316
2005-07-25,2006-07-25,152,0.0225587671232876
2005-07-25,2006-07-25,182,0.022646558783682293
2005-07-25,2006-07-25,213,0.022789846478187763
2005-07-25,2006-07-25,243,0.022924837138739527
2005-07-25,2006-07-25,273,0.023054146314704246
2005-07-25,2006-07-25,304,0.02318358376911038
2005-07-25,2006-07-25,335,0.023309937963170883
2005-07-25,2006-07-25,365,0.023430020491803365
2005-07-25,2006-07-25,547,0.024209273149217097
2005-07-25,2006-07-25,730,0.024959629946727516
2005-07-25,2006-07-25,1095,0.026338844495180133
2005-07-25,2006-07-25,1460,0.027742647926179625
2005-07-25,2006-07-25,1825,0.028998539954337887
2005-07-25,2006-07-25,2190,0.030218964992389654
2005-07-25,2006-07-25,2555,0.031297804957599464
2005-07-25,2006-07-25,2920,0.032271266647640795
2005-07-25,2006-07-25,3285,0.03312040377135128
2005-07-25,2006-07-25,3650,0.033225235920852365
2005-07-26,2006-07-26,30,0.022512071353304353
2005-07-26,2006-07-26,61,0.02261958904109637
2005-07-26,2006-07-26,91,0.022723638416378113
2005-07-26,2006-07-26,122,0.022831156104169786
2005-07-26,2006-07-26,152,0.02293520547945194
2005-07-26,2006-07-26,182,0.02303925485473415
2005-07-26,2006-07-26,213,0.02317722487146529
2005-07-26,2006-07-26,243,0.023308615490284033
2005-07-26,2006-07-26,273,0.023436714961976673
2005-07-26,2006-07-26,304,0.023566661868337654
2005-07-26,2006-07-26,335,0.023694822716271133
2005-07-26,2006-07-26,365,0.023817577413478994
2005-07-26,2006-07-26,547,0.024576008286224003
2005-07-26,2006-07-26,730,0.025321998953576872
2005-07-26,2006-07-26,1095,0.026583793569254204
2005-07-26,2006-07-26,1460,0.02795260987442924
2005-07-26,2006-07-26,1825,0.029192380136986294
2005-07-26,2006-07-26,2190,0.030388618404363254
2005-07-26,2006-07-26,2555,0.0314439658077843
2005-07-26,2006-07-26,2920,0.032404816400304404
2005-07-26,2006-07-26,3285,0.03327181887366819
2005-07-26,2006-07-26,3650,0.03337931506849315
2005-07-27,2006-07-27,30,0.022401844799035217
2005-07-27,2006-07-27,61,0.02249760273972711
2005-07-27,2006-07-27,91,0.022590271714586656
2005-07-27,2006-07-27,122,0.022686029655276354
2005-07-27,2006-07-27,152,0.022778698630137005
2005-07-27,2006-07-27,182,0.02287136760499768
2005-07-27,2006-07-27,213,0.023020824027450114
